Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	0.0000	50.0000	84.1272	0.0000	15.2387	65.7607	1.6372	1.4906	2.1900	6.1717	6.1672	6.5487	6.5445	0.2812	0.8530	5.2755	0.8103	0.0000	0.0000	0.0000	0.0000	0.1845	3.1960
2	50.0000	100.0000	187.2480	0.0000	33.3110	148.3679	2.8316	2.7375	1.4621	5.9673	6.1489	6.1438	6.3204	0.7796	0.8554	5.2398	0.8174	0.0000	0.0000	0.0000	0.0000	0.3677	3.1116
3	100.0000	150.0000	213.8670	0.0000	45.7425	159.7228	4.3119	4.0898	1.3577	7.2079	7.0019	7.3346	7.1323	0.1235	0.8533	5.1456	0.8116	0.0000	0.0000	0.0000	0.0000	0.5978	4.8707
4	150.0000	200.0000	168.3006	0.0000	39.0003	121.1664	3.2858	4.8481	1.4915	7.9511	7.8341	8.0898	7.9748	0.6304	0.8509	5.0344	0.7976	0.0000	0.0000	0.0000	0.0000	0.2785	6.0033
5	200.0000	250.0000	123.4424	0.0000	30.6043	84.2751	3.5858	4.9772	1.7471	7.3392	7.3838	7.5443	7.5877	0.3229	0.8481	5.0176	0.8035	0.0000	0.0000	0.0000	0.0000	0.7420	5.3514
6	250.0000	300.0000	88.1265	0.0000	23.4019	58.9037	2.6926	3.1282	1.9871	6.6942	7.4892	6.9829	7.7484	0.3307	0.8447	4.9484	0.7641	0.0000	0.0000	0.0000	0.0000	0.5147	5.5932
7	300.0000	350.0000	58.2519	0.0000	16.2971	36.5260	2.3145	3.1142	2.4207	8.6125	8.5799	8.9462	8.9148	0.5933	0.8443	4.8868	0.7755	0.0000	0.0000	0.0000	0.0000	0.7024	7.0454
8	350.0000	400.0000	38.8622	0.0000	11.0631	24.0279	1.4417	2.3296	2.8993	8.7301	8.1480	9.1989	8.6484	0.4848	0.8411	4.6975	0.7362	0.0000	0.0000	0.0000	0.0000	1.0127	7.2014
9	400.0000	450.0000	25.6492	0.0000	7.7613	15.7462	0.9609	1.1808	3.3550	8.4608	11.8820	9.1017	12.3465	0.5245	0.8412	4.7235	0.7499	0.0000	0.0000	0.0000	0.0000	0.5882	10.8675
10	450.0000	500.0000	17.1060	0.0000	5.7669	10.1991	0.3397	0.8003	3.9021	11.3482	6.4580	12.0003	7.5454	0.3171	0.8319	4.5816	0.7121	0.0000	0.0000	0.0000	0.0000	1.1373	10.2566
11	500.0000	550.0000	13.4784	0.0000	4.2158	8.2777	0.4676	0.5173	4.6255	8.1645	8.9508	9.3837	10.0753	1.0019	0.8392	4.8528	0.7164	0.0000	0.0000	0.0000	0.0000	1.3949	7.3887
12	550.0000	600.0000	9.2648	0.0000	2.9319	5.2777	0.4330	0.6222	5.3062	6.9822	7.3919	8.7697	9.0992	0.2329	0.8338	4.6016	0.7235	0.0000	0.0000	0.0000	0.0000	1.4008	5.7729
13	600.0000	650.0000	6.9452	0.0000	2.1181	3.9818	0.2146	0.6307	6.1091	6.4030	5.8190	8.8498	8.4369	1.2521	0.8290	4.3490	0.7093	0.0000	0.0000	0.0000	0.0000	2.2394	3.8357
14	650.0000	700.0000	5.2939	0.0000	1.5939	3.4405	0.1206	0.1388	6.9435	14.4741	6.9991	16.0534	9.8590	0.7455	0.8385	4.6254	0.6909	0.0000	0.0000	0.0000	0.0000	1.6821	13.5477
15	700.0000	750.0000	3.7831	0.0000	1.1691	2.1942	0.0888	0.3310	8.7015	9.2957	10.4376	12.7329	13.5890	2.8538	0.8253	5.2024	0.6404	0.0000	0.0000	0.0000	0.0000	2.2479	8.3190
16	750.0000	800.0000	2.9534	0.0000	0.8716	1.8273	0.0646	0.1898	9.4889	4.6338	14.9285	10.5599	17.6889	1.5461	0.8292	4.5021	0.6640	0.0000	0.0000	0.0000	0.0000	1.1722	14.0937
17	800.0000	850.0000	1.8836	0.0000	0.6741	1.1243	0.0105	0.0747	11.1882	17.8865	5.0280	21.0974	12.2661	1.5754	0.8230	4.8031	0.5506	0.0000	0.0000	0.0000	0.0000	2.7328	16.9826
18	850.0000	900.0000	1.6990	0.0000	0.5104	1.1176	0.0528	0.0182	11.7764	15.8084	28.8217	19.7127	31.1347	2.0064	0.8302	4.7836	0.5951	0.0000	0.0000	0.0000	0.0000	3.8812	28.0870
19	900.0000	950.0000	1.1122	0.0000	0.3847	0.6613	0.0274	0.0388	13.0343	29.7983	9.0987	32.5243	15.8959	4.2051	0.8387	4.2302	0.6439	0.0000	0.0000	0.0000	0.0000	22.3719	18.7280
20	950.0000	1000.0000	3.1596	0.0000	1.2758	1.5918	0.1844	0.1076	8.1769	16.8404	17.3919	18.7206	19.2182	0.3477	0.8230	4.3410	0.5419	0.0000	0.0000	0.0000	0.0000	3.6550	16.4351
