Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
2	50.0000	100.0000	230.1736	0.0000	18.3355	189.9237	12.4566	9.4577	1.3682	6.4269	6.6305	6.5709	6.7702	0.2443	0.8856	4.5744	0.8617	0.0000	0.0000	0.0000	0.0000	0.0956	4.7199
3	100.0000	150.0000	326.6129	0.0000	45.7053	265.4836	7.3245	8.0995	1.0991	7.4897	7.4102	7.5699	7.4913	0.5100	0.8544	5.5704	0.8209	0.0000	0.0000	0.0000	0.0000	0.1608	4.8953
4	150.0000	200.0000	244.1972	0.0000	59.4077	176.1135	2.6117	6.0644	1.2101	7.2670	7.2763	7.3671	7.3762	0.3684	0.8345	5.0226	0.7667	0.0000	0.0000	0.0000	0.0000	0.2435	5.2693
5	200.0000	250.0000	132.1602	0.0000	47.9767	77.9438	1.8075	4.4323	1.5874	6.9168	7.4873	7.0966	7.6537	0.1399	0.8280	4.8887	0.7335	0.0000	0.0000	0.0000	0.0000	0.3391	5.6753
6	250.0000	300.0000	61.4596	0.0000	30.3100	29.1252	0.6218	1.4026	2.1675	7.4545	7.0627	7.7633	7.3878	0.8410	0.8247	4.7753	0.7120	0.0000	0.0000	0.0000	0.0000	0.2029	5.5533
7	300.0000	350.0000	28.9970	0.0000	17.6353	10.5053	0.0974	0.7590	2.9896	8.6983	7.9329	9.1977	8.4775	2.1543	0.8171	4.8667	0.6872	0.0000	0.0000	0.0000	0.0000	0.1245	7.0185
8	350.0000	400.0000	13.0826	0.0000	9.4648	3.3577	0.0041	0.2560	3.8021	8.3324	7.9166	9.1589	8.7822	0.1153	0.8188	4.6861	0.6854	0.0000	0.0000	0.0000	0.0000	0.3685	6.8001
9	400.0000	450.0000	6.6302	0.0000	5.3614	0.9353	0.1322	0.2013	5.4061	8.4920	8.3363	10.0668	9.9358	3.3525	0.8187	4.7749	0.6697	0.0000	0.0000	0.0000	0.0000	1.3738	6.2556
10	450.0000	500.0000	4.2152	0.0000	3.4732	0.4758	0.0085	0.2576	7.4942	7.2628	7.9008	10.4361	10.8897	1.5937	0.8133	4.8875	0.6450	0.0000	0.0000	0.0000	0.0000	0.3397	6.0312
11	500.0000	550.0000	2.2693	0.0000	2.0324	0.1751	0.0008	0.0610	9.1994	9.5025	6.8341	13.2260	11.4601	0.9849	0.8166	4.8976	0.6266	0.0000	0.0000	0.0000	0.0000	0.0420	8.0772
12	550.0000	600.0000	1.7208	0.0000	1.5515	0.0609	0.0002	0.1081	11.0738	5.8947	9.9905	12.5450	14.9144	3.8801	0.8108	4.6874	0.5681	0.0000	0.0000	0.0000	0.0000	2.7064	7.4627
13	600.0000	650.0000	0.9243	0.0000	0.8329	0.0725	0.0000	0.0189	12.2552	13.3785	8.6592	18.1432	15.0057	5.2679	0.8032	4.3882	0.6134	0.0000	0.0000	0.0000	0.0000	1.9822	11.6769
14	650.0000	700.0000	0.6976	0.0000	0.6796	0.0148	0.0000	0.0033	15.8568	12.2613	6.6744	20.0444	17.2043	2.4072	0.7958	4.7399	0.5984	0.0000	0.0000	0.0000	0.0000	0.0879	11.1563
15	700.0000	750.0000	0.5801	0.0000	0.3445	0.0029	0.0000	0.2327	32.1875	10.0621	6.6061	33.7236	32.8584	4.7116	0.7982	4.7675	0.4234	0.0000	0.0000	0.0000	0.0000	0.0190	7.4499
16	750.0000	800.0000	0.2142	0.0000	0.2128	0.0000	0.0000	0.0015	20.6541	4.0566	11.7627	21.0487	23.7688	2.6680	0.8219	3.6826	0.7193	0.0000	0.0000	0.0000	0.0000	5.5411	9.2922
17	800.0000	850.0000	0.2171	0.0000	0.2148	0.0000	0.0004	0.0019	25.5919	7.5415	7.3243	26.6800	26.6194	4.9435	0.8217	5.5011	0.7414	0.0000	0.0000	0.0000	0.0000	0.0010	1.1689
18	850.0000	900.0000	0.1247	0.0000	0.1241	0.0000	0.0000	0.0006	27.4824	5.9779	18.1997	28.1250	32.9622	1.4294	0.7977	5.7570	0.4456	0.0000	0.0000	0.0000	0.0000	0.0948	17.2360
19	900.0000	950.0000	0.0709	0.0000	0.0704	0.0000	0.0000	0.0005	37.8870	14.6160	18.2923	40.6085	42.0717	17.8103	0.7994	4.1728	0.5267	0.0000	0.0000	0.0000	0.0000	0.0000	0.0114
20	950.0000	1000.0000	0.2066	0.0000	0.1998	0.0000	0.0000	0.0067	21.9454	14.7343	8.2008	26.4330	23.4277	4.8960	0.7973	4.2996	0.5294	0.0000	0.0000	0.0000	0.0000	0.2001	13.1805
