Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	0.0000	50.0000	176.4627	0.0000	16.3948	157.5611	0.9722	1.5345	1.5429	6.4308	7.0646	6.6133	7.2311	0.3871	0.0000	0.0000	0.0000	0.3009	0.0000	0.8726	0.3350	0.3181	6.9861
2	50.0000	100.0000	365.8333	0.0000	43.3295	317.5595	1.2832	3.6611	1.0582	7.1378	6.9939	7.2159	7.0735	0.3096	0.0000	0.0000	0.0000	0.3136	0.0000	0.9377	0.3419	0.0847	7.0539
3	100.0000	150.0000	338.9514	0.0000	52.9360	279.1312	1.0694	5.8149	1.0794	6.0352	5.2298	6.1310	5.3400	0.3708	0.0000	0.0000	0.0000	0.3587	0.0000	1.0062	0.3781	0.0955	5.9155
4	150.0000	200.0000	238.5042	0.0000	51.6746	181.7041	0.2633	4.8622	1.2416	4.4609	4.9658	4.6304	5.1186	0.1625	0.0000	0.0000	0.0000	0.4115	0.0000	1.0796	0.4178	0.0443	4.8104
5	200.0000	250.0000	155.7545	0.0000	43.1186	108.0772	0.4635	4.0952	1.4886	3.6181	4.3311	3.9123	4.5798	0.4081	0.0000	0.0000	0.0000	0.4661	0.0000	1.1843	0.4712	0.0569	4.0955
6	250.0000	300.0000	99.5336	0.0000	33.3314	61.3041	0.1930	4.7051	1.7902	2.7468	3.5242	3.2787	3.9529	0.2901	0.0000	0.0000	0.0000	0.5555	0.0000	1.3311	0.5546	0.0493	3.1597
7	300.0000	350.0000	58.7909	0.0000	23.0111	33.3028	0.0121	2.4649	2.2273	2.9692	2.6984	3.7118	3.4989	0.8184	0.0000	0.0000	0.0000	0.7446	0.0000	1.6358	0.7218	0.1422	2.1680
8	350.0000	400.0000	37.4949	0.0000	16.4104	19.0963	0.1387	1.8494	2.5706	3.2175	3.4110	4.1183	4.2712	0.4370	0.0000	0.0000	0.0000	1.1723	0.0000	2.2918	1.1087	0.1884	1.9127
9	400.0000	450.0000	24.4086	0.0000	11.6619	11.5634	0.0667	1.1165	2.9819	4.4635	4.1461	5.3679	5.1070	2.0307	0.0000	0.0000	0.0000	1.5441	0.0000	2.9033	1.4332	0.2459	1.6945
10	450.0000	500.0000	16.6660	0.0000	8.2644	7.6632	0.0000	0.7385	3.3973	4.2444	4.2638	5.4366	5.4517	0.5667	0.0000	0.0000	0.0000	1.7307	0.0000	3.1935	1.6049	0.1313	1.5774
11	500.0000	550.0000	10.1110	0.0000	5.9616	3.7233	0.0082	0.4179	3.9668	4.5399	4.8499	6.0288	6.2655	0.6293	0.0000	0.0000	0.0000	1.9077	0.0000	3.5154	1.7736	0.4135	2.1065
12	550.0000	600.0000	6.6388	0.0000	4.2328	2.0864	0.0000	0.3196	4.3398	5.2582	5.1439	6.8178	6.7300	1.6817	0.0000	0.0000	0.0000	2.2259	0.0000	3.9517	2.0433	0.0420	1.4275
13	600.0000	650.0000	5.3705	0.0000	3.1092	1.9570	0.0000	0.3042	5.2704	5.3774	5.0643	7.5295	7.3092	1.4709	0.0000	0.0000	0.0000	2.1808	0.0000	3.9537	2.0191	0.0968	1.5096
14	650.0000	700.0000	3.2920	0.0000	2.2535	0.9385	0.0125	0.0876	5.2095	5.6130	5.4504	7.6580	7.5396	0.3180	0.0000	0.0000	0.0000	2.3997	0.0000	4.2222	2.1869	0.1643	1.7349
15	700.0000	750.0000	2.5466	0.0000	1.6744	0.8309	0.0000	0.0412	6.5841	5.6129	5.6275	8.6518	8.6613	1.6059	0.0000	0.0000	0.0000	2.3398	0.0000	4.3092	2.1603	0.1555	1.0842
16	750.0000	800.0000	1.8748	0.0000	1.2529	0.4835	0.0337	0.1047	7.3810	6.6251	6.2105	9.9183	9.6463	3.0259	0.0000	0.0000	0.0000	2.4640	0.0000	4.4233	2.2848	0.6241	1.8680
17	800.0000	850.0000	1.2968	0.0000	0.9306	0.2451	0.0000	0.1211	9.9449	7.8611	7.3613	12.6767	12.3729	5.1187	0.0000	0.0000	0.0000	2.5263	0.0000	4.6561	2.3260	0.0602	1.4562
18	850.0000	900.0000	0.9280	0.0000	0.7033	0.1208	0.0000	0.1039	9.0346	5.7786	5.7692	10.7246	10.7195	0.9701	0.0000	0.0000	0.0000	2.5314	0.0000	4.4854	2.2881	0.0141	1.1176
19	900.0000	950.0000	0.7262	0.0000	0.5181	0.1950	0.0000	0.0130	11.8000	6.1252	7.1377	13.2950	13.7908	4.2810	0.0000	0.0000	0.0000	2.5625	0.0000	4.5256	2.3456	0.0511	1.1523
20	950.0000	1000.0000	2.2777	0.0000	1.7240	0.3673	0.0000	0.1865	6.7762	6.8017	7.0242	9.6010	9.7599	2.7130	0.0000	0.0000	0.0000	2.9443	0.0000	5.0672	2.6201	0.0864	1.4541
