Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-3.1400	-3.0144	12.9630	0.0000	2.0146	10.2311	0.2601	0.4572	11.3812	6.4734	7.3791	13.0934	13.5641	0.8349	0.8594	4.8743	0.7067	0.0000	0.0000	0.0000	0.0000	0.2839	5.5226
2	-3.0144	-2.8888	16.9898	0.0000	4.5776	11.3092	0.0716	1.0314	13.0184	10.8595	8.1826	16.9531	15.3764	7.5063	0.8621	4.8787	0.8394	0.0000	0.0000	0.0000	0.0000	0.4203	6.0277
3	-2.8888	-2.7632	12.5411	0.0000	2.0074	9.8041	0.1576	0.5720	10.7778	12.5848	4.6481	16.5692	11.7374	3.7856	0.8523	4.2801	0.7684	0.0000	0.0000	0.0000	0.0000	8.8127	6.8371
4	-2.7632	-2.6376	15.5963	0.0000	3.3791	11.1442	0.5288	0.5442	11.9831	6.5583	6.8828	13.6604	13.8191	3.5663	0.8541	5.1874	0.7480	0.0000	0.0000	0.0000	0.0000	0.0818	2.8674
5	-2.6376	-2.5120	13.7748	0.0000	1.6335	11.4144	0.0263	0.7006	10.0643	5.9250	7.4324	11.6789	12.5112	2.5382	0.8624	5.2304	0.7906	0.0000	0.0000	0.0000	0.0000	0.9656	4.5176
6	-2.5120	-2.3864	8.8098	0.0000	5.4643	10.3042	-7.5732	0.6145	93.4629	19.2589	24.0919	95.4265	96.5181	22.2133	0.9023	8.3745	0.8618	0.0000	0.0000	0.0000	0.0000	0.5725	12.6126
7	-2.3864	-2.2608	12.2051	0.0000	1.4333	9.9776	0.0230	0.7711	11.7095	6.1675	14.9057	13.2345	18.9550	3.0373	0.8610	4.4722	0.8920	0.0000	0.0000	0.0000	0.0000	0.7292	13.8683
8	-2.2608	-2.1352	13.3983	0.0000	2.3002	10.0625	0.3423	0.6932	11.6363	8.2178	7.7056	14.2455	13.9563	5.3450	0.8236	5.5785	0.8092	0.0000	0.0000	0.0000	0.0000	0.5542	3.8147
9	-2.1352	-2.0096	13.7108	0.0000	1.6804	11.1616	0.1682	0.7005	10.8468	6.9892	8.7236	12.9035	13.9195	0.4858	0.8626	4.5049	0.7920	0.0000	0.0000	0.0000	0.0000	0.4615	7.4256
10	-2.0096	-1.8840	14.9711	0.0000	3.1303	11.1839	0.2482	0.4087	11.7933	6.1495	5.7961	13.3003	13.1406	0.6322	0.8636	4.9811	0.7242	0.0000	0.0000	0.0000	0.0000	0.3600	3.3473
