Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
32	1.9468	2.0096	1.5934	0.0000	1.4670	0.0220	0.0588	0.0456	92.1509	11.2870	9.4575	92.8395	92.6349	11.1708	0.3975	1.4559	0.5767	0.0000	0.0000	0.0000	0.0000	0.0000	0.0119
33	2.0096	2.0724	8.7046	12.0000	7.9514	0.1816	0.1527	0.4188	40.0066	5.6326	11.9282	40.4012	41.7470	5.5813	0.3916	0.4362	0.4814	0.0000	0.0000	0.0000	0.0000	0.0028	11.6057
34	2.0724	2.1352	9.8215	7.0000	8.8847	0.2439	0.1458	0.5471	43.3323	13.2623	11.7748	45.3164	44.9036	12.9592	0.5273	2.4764	1.2393	0.0000	0.0000	0.0000	0.0000	0.0006	0.0062
35	2.1352	2.1980	13.2493	15.0000	11.8018	0.3381	0.2226	0.8868	29.4418	3.3201	3.4540	29.6284	29.6437	1.8288	0.4389	2.7840	0.7942	0.0000	0.0000	0.0000	0.0000	0.0011	0.1058
36	2.1980	2.2608	5.2009	24.0000	3.2969	0.3711	0.3348	1.1982	69.7736	31.5187	41.4455	76.5622	81.1547	40.2070	0.4667	2.6276	1.1930	0.0000	0.0000	0.0000	0.0000	0.0044	9.6222
37	2.2608	2.3236	9.3896	29.0000	7.0166	0.4774	0.2176	1.6779	54.7394	12.3305	7.0016	56.1110	55.1853	12.2752	0.4134	0.5105	0.9107	0.0000	0.0000	0.0000	0.0000	0.0022	0.3162
38	2.3236	2.3864	13.4170	19.0000	10.1469	0.5146	0.4183	2.3371	41.8404	11.5068	10.9207	43.3939	43.2422	11.0928	0.4280	2.8812	0.9320	0.0000	0.0000	0.0000	0.0000	0.0023	0.0478
39	2.3864	2.4492	25.0409	26.0000	21.8244	0.8751	0.7161	1.6253	30.3305	9.3383	12.6647	31.7355	32.8684	12.0574	0.4460	2.9401	1.1112	0.0000	0.0000	0.0000	0.0000	0.0562	2.2206
40	2.4492	2.5120	25.0585	40.0000	20.9545	0.9742	0.6002	2.5296	26.0812	2.5915	4.6798	26.2096	26.4977	1.2614	0.4424	2.4488	0.6929	0.0000	0.0000	0.0000	0.0000	0.0008	3.6928
41	2.5120	2.5748	21.2268	35.0000	15.8181	1.6673	0.4724	3.2691	32.4958	4.9854	2.6085	32.8760	32.6004	4.2573	0.4492	2.4150	0.8337	0.0000	0.0000	0.0000	0.0000	0.1108	0.2505
42	2.5748	2.6376	29.4063	69.0000	23.4631	1.1898	0.9515	3.8018	30.5525	3.5774	6.1698	30.7612	31.1692	5.7362	0.4160	1.4277	0.8919	0.0000	0.0000	0.0000	0.0000	0.2527	1.4686
43	2.6376	2.7004	41.7459	95.0000	33.2837	1.7505	1.6492	5.0625	23.5288	6.8580	3.8800	24.5079	23.8466	4.4789	0.4368	3.4023	0.8050	0.0000	0.0000	0.0000	0.0000	3.5584	1.3765
44	2.7004	2.7632	50.5774	96.0000	40.1206	2.0729	2.0644	6.3194	23.4117	9.1538	5.9052	25.1376	24.1450	4.2926	0.4228	2.4578	0.6366	0.0000	0.0000	0.0000	0.0000	2.8124	7.6642
45	2.7632	2.8260	99.1735	144.0000	85.1433	2.2735	1.9466	9.8100	15.2305	4.5898	5.6397	15.9071	16.2412	0.9397	0.4088	3.5135	0.7086	0.0000	0.0000	0.0000	0.0000	0.7096	4.2738
46	2.8260	2.8888	146.3777	211.0000	127.0580	1.7125	3.5984	14.0089	12.8622	5.3459	6.0563	13.9289	14.2167	4.3528	0.4233	2.9587	0.8364	0.0000	0.0000	0.0000	0.0000	0.1946	4.5076
47	2.8888	2.9516	188.9374	326.0000	165.6663	2.8561	4.7907	15.6243	10.9279	4.4482	4.1470	11.7985	11.6883	0.4022	0.4258	2.6899	0.7271	0.0000	0.0000	0.0000	0.0000	0.5432	3.4328
48	2.9516	3.0144	282.9608	388.0000	250.0935	2.6706	3.8302	26.3665	8.8816	4.3589	4.7130	9.8936	10.0546	2.0384	0.4200	2.3576	0.8289	0.0000	0.0000	0.0000	0.0000	0.3958	3.4109
49	3.0144	3.0772	354.9239	534.0000	313.9195	2.7827	5.4044	32.8172	7.7704	3.5194	3.2533	8.5303	8.4239	1.0916	0.4170	2.3230	0.7719	0.0000	0.0000	0.0000	0.0000	0.8979	2.3455
50	3.0772	3.1400	432.8165	582.0000	384.7108	3.3150	6.5412	38.2495	6.9225	5.2805	4.7559	8.7066	8.3988	4.0898	0.4240	2.2664	0.7922	0.0000	0.0000	0.0000	0.0000	0.6279	2.2833
