Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
4	-4.4000	-4.2000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0001	100.0000	25.3976	37.5716	103.1748	106.8252	37.5566	0.0000	0.0000	0.0000	0.8716	0.0000	0.3152	0.5187	0.0000	0.0000
6	-4.0000	-3.8000	0.0001	0.0000	0.0000	0.0000	0.0000	0.0001	100.0000	25.4398	20.3816	103.1852	102.0559	25.4378	0.0000	0.0000	0.0000	0.0280	0.0000	0.3152	0.0526	0.0000	0.0000
7	-3.8000	-3.6000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	100.0000	57.2700	47.9042	115.2382	110.8820	57.2688	0.0000	0.0000	0.0000	0.0212	0.0000	0.3593	0.0617	0.0000	0.0000
8	-3.6000	-3.4000	0.0003	0.0000	0.0000	0.0000	0.0000	0.0003	100.0000	37.1499	40.5680	106.6776	107.9155	40.5677	0.0000	0.0000	0.0000	0.0274	0.0000	0.1510	0.0686	0.0000	0.0000
11	-3.0000	-2.8000	0.0014	0.0000	0.0000	0.0000	0.0000	0.0014	92.5803	21.9977	21.7385	95.1579	95.0983	21.9532	0.0000	0.0000	0.0000	0.3130	0.0000	1.2539	0.5372	0.0000	0.0000
12	-2.8000	-2.6000	0.0671	0.0000	0.0000	0.0000	0.0668	0.0003	99.5026	50.9346	48.7721	111.7815	110.8128	50.9236	0.0000	0.0000	0.0000	0.8693	0.0000	0.3229	0.5174	0.0000	0.0000
13	-2.6000	-2.4000	3.9629	6.0000	3.6179	0.1597	0.1800	0.0053	64.8027	9.4199	12.9503	65.4838	66.0841	12.8808	0.0000	0.0000	0.0000	0.8447	0.0000	0.8799	0.5592	0.0027	0.0027
14	-2.4000	-2.2000	9.0970	37.0000	7.3012	0.3003	1.1229	0.3726	81.2736	39.4545	6.1214	90.3441	81.5038	5.7732	0.0028	0.0000	0.0000	0.4176	0.0000	1.9914	0.2742	13.5827	36.9858
15	-2.2000	-2.0000	57.4495	87.0000	49.5076	1.3109	3.3284	3.3026	18.7666	3.7136	4.3262	19.1305	19.2588	0.5992	0.0004	0.0000	0.0000	0.6735	0.0000	1.6260	0.4769	0.0002	3.8832
16	-2.0000	-1.8000	53.6304	104.0000	41.5293	1.9000	6.5012	3.6998	26.0745	8.1502	9.0613	27.3186	27.6041	6.5176	0.0004	0.0000	0.0000	0.2958	0.0000	1.5092	0.3344	2.2017	5.8676
17	-1.8000	-1.6000	107.2674	131.0000	87.3500	2.6554	9.6956	7.5665	12.1848	6.0340	3.7297	13.5970	12.7429	0.3143	0.0002	0.0000	0.0000	0.3698	0.0000	1.5922	0.3818	1.1472	5.7886
18	-1.6000	-1.4000	89.6130	142.0000	67.6427	4.6601	9.8200	7.4903	16.0186	6.0035	3.4693	17.1067	16.3900	2.6953	0.0007	0.0000	0.0000	0.6644	0.0000	1.9787	0.6845	1.5868	5.0709
19	-1.4000	-1.2000	95.7570	169.0000	69.6195	4.7020	11.7712	9.6642	13.5771	2.8720	4.8322	13.8776	14.4114	1.8460	0.0002	0.0000	0.0000	0.2485	0.0000	1.2538	0.2784	1.4122	4.0319
20	-1.2000	-1.0000	115.1281	172.0000	86.1267	5.7956	13.3174	9.8884	12.1925	4.0373	4.0199	12.8436	12.8381	3.3465	0.0003	0.0000	0.0000	0.6339	0.0000	1.5904	0.6418	1.2819	2.8059
21	-1.0000	-0.8000	109.6438	201.0000	76.6056	6.8769	16.4278	9.7336	11.9492	2.6831	4.5679	12.2467	12.7925	2.3403	0.0001	0.0000	0.0000	0.6419	0.0000	1.5062	0.6244	0.8867	3.5120
22	-0.8000	-0.6000	132.9465	189.0000	97.0269	7.2360	17.9914	10.6922	10.6513	7.3970	4.6888	12.9679	11.6377	4.6369	0.0002	0.0000	0.0000	0.3127	0.0000	0.8630	0.3075	1.0578	5.5820
23	-0.6000	-0.4000	128.9017	176.0000	89.0712	7.8156	18.9943	13.0206	11.0836	3.7305	1.7433	11.6946	11.2199	1.4414	0.0005	0.0000	0.0000	0.3578	0.0000	0.8284	0.3194	0.5413	3.3125
24	-0.4000	-0.2000	126.8432	194.0000	88.9605	7.3518	16.8529	13.6780	10.5046	1.9091	3.3472	10.6767	11.0250	1.5831	0.0003	0.0000	0.0000	0.2852	0.0000	0.8701	0.3013	0.2432	3.1968
