Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-2.5000	-2.2500	0.9998	0.0000	0.0000	0.7574	0.1646	0.0778	22.9666	4.2960	5.5335	23.3649	23.6238	5.1342	0.4058	1.9070	0.6773	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2	-2.2500	-2.0000	3.0353	5.0000	0.0000	2.2854	0.4470	0.3028	12.9590	5.9045	6.4027	14.2407	14.4544	5.9885	0.3980	2.1777	0.4808	0.0000	0.0000	0.0000	0.0000	1.3153	2.8189
3	-2.0000	-1.7500	4.9845	8.0000	0.0000	4.2528	0.4265	0.3052	9.9624	4.1838	2.5748	10.8053	10.2898	3.3279	0.4018	2.2076	0.5909	0.0000	0.0000	0.0000	0.0000	1.0049	0.2597
4	-1.7500	-1.5000	5.4096	9.0000	0.0000	4.7913	0.5595	0.0588	9.5402	2.6081	3.2034	9.8902	10.0636	1.8572	0.3928	2.3947	0.6088	0.0000	0.0000	0.0000	0.0000	0.0000	0.7438
5	-1.5000	-1.2500	7.0774	6.0000	0.0000	5.4388	1.0447	0.5939	8.2433	3.8467	2.3602	9.0966	8.5745	1.6069	0.4098	2.0075	0.6442	0.0000	0.0000	0.0000	0.0000	0.8163	2.6336
6	-1.2500	-1.0000	9.5169	13.0000	0.0000	7.5776	1.4917	0.4477	6.7873	3.7630	3.4639	7.7606	7.6201	2.1329	0.4096	2.5343	0.6609	0.0000	0.0000	0.0000	0.0000	0.0519	1.7940
7	-1.0000	-0.7500	10.9180	9.0000	0.0000	8.7049	1.7749	0.4382	6.5415	2.8166	2.6413	7.1221	7.0546	0.9213	0.4100	2.4939	0.6981	0.0000	0.0000	0.0000	0.0000	0.0000	0.4575
8	-0.7500	-0.5000	11.7297	15.0000	0.0000	9.5245	1.5370	0.6681	6.3116	3.1139	3.0520	7.0380	7.0108	1.3645	0.4220	2.6446	0.8141	0.0000	0.0000	0.0000	0.0000	0.0935	0.0913
9	-0.5000	-0.2500	12.8434	19.0000	0.0000	9.9228	2.0487	0.8719	5.8783	2.5979	2.8334	6.4268	6.5256	0.8889	0.4184	2.4358	0.8006	0.0000	0.0000	0.0000	0.0000	0.0000	0.6990
10	-0.2500	0.0000	13.2820	17.0000	0.5596	10.6572	1.2525	0.8127	7.0479	2.6465	2.7300	7.5284	7.5581	0.1864	0.4193	2.4799	0.8086	0.0000	0.0000	0.0000	0.0000	0.3295	0.5742
11	0.0000	0.2500	13.9280	20.0000	0.0000	11.2917	1.3206	1.3157	5.7483	2.8794	2.6883	6.4291	6.3459	1.1543	0.4184	2.3275	0.7992	0.0000	0.0000	0.0000	0.0000	0.2397	0.8559
12	0.2500	0.5000	12.4675	23.0000	0.0000	9.7574	1.6650	1.0452	6.2668	2.5336	3.0385	6.7596	6.9646	1.5579	0.4194	2.3575	0.8280	0.0000	0.0000	0.0000	0.0000	0.0004	0.6215
13	0.5000	0.7500	11.6539	13.0000	-1.0732	10.8221	1.0372	0.8679	11.3242	5.2363	3.7320	12.4762	11.9233	4.3599	0.4153	2.6309	0.7377	0.0000	0.0000	0.0000	0.0000	0.2735	1.3127
14	0.7500	1.0000	10.9481	6.0000	0.0000	8.3385	1.5820	1.0276	6.5744	2.8628	3.0135	7.1707	7.2321	1.0982	0.4217	2.6546	0.8064	0.0000	0.0000	0.0000	0.0000	0.0000	0.4298
15	1.0000	1.2500	10.0544	10.0000	0.0000	7.8610	1.5487	0.6447	7.0714	3.2282	3.5242	7.7734	7.9009	2.2605	0.4134	2.5308	0.6553	0.0000	0.0000	0.0000	0.0000	0.2571	1.0381
16	1.2500	1.5000	9.5593	11.0000	0.0000	7.1425	1.4809	0.9359	7.2434	3.1273	2.5019	7.8897	7.6634	1.9648	0.4108	2.2609	0.6262	0.0000	0.0000	0.0000	0.0000	0.4426	0.2255
17	1.5000	1.7500	6.6012	2.0000	0.0000	4.9984	0.9707	0.6321	8.3854	2.9844	2.4101	8.9006	8.7249	1.8941	0.4077	2.1432	0.6027	0.0000	0.0000	0.0000	0.0000	0.0487	0.4400
18	1.7500	2.0000	5.2331	11.0000	0.0000	4.4326	0.5237	0.2768	9.0756	7.6291	6.8732	11.8562	11.3846	7.2447	0.4059	2.1944	0.6255	0.0000	0.0000	0.0000	0.0000	0.0000	2.8901
19	2.0000	2.2500	2.7264	8.0000	0.0000	1.9720	0.6386	0.1158	13.0208	4.3927	4.2574	13.7418	13.6991	3.7506	0.4012	2.1723	0.5905	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
20	2.2500	2.5000	1.3026	0.0000	0.0000	0.9034	0.2382	0.1610	20.1634	3.4656	4.8626	20.4591	20.7415	4.0702	0.3976	2.5945	0.4341	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
