Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	0.0000	10.0000	0.7653	0.0000	0.0000	0.6204	0.1407	0.0042	24.3199	6.5227	7.5167	25.1794	25.4550	7.2823	0.4077	1.6873	0.6748	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2	10.0000	20.0000	2.1597	0.0000	0.0000	1.8095	0.3425	0.0077	16.7473	7.2807	6.0658	18.2614	17.8119	6.6451	0.4188	1.6308	0.7011	0.0000	0.0000	0.0000	0.0000	0.0061	2.3504
3	20.0000	30.0000	2.5439	0.0000	-1.1307	3.2395	0.3088	0.1263	47.5112	3.6898	3.5318	47.6543	47.6423	1.0684	0.3926	3.4359	0.7169	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
5	40.0000	50.0000	5.1805	0.0000	-1.4134	5.6628	0.7326	0.1985	29.5627	12.3070	8.2446	32.0221	30.6908	11.9561	0.4233	2.8182	0.6260	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
6	50.0000	60.0000	10.5446	0.0000	1.6160	8.0134	0.5261	0.3891	14.6497	2.7596	3.7796	14.9073	15.1294	2.6108	0.4251	2.5706	0.8247	0.0000	0.0000	0.0000	0.0000	0.0000	0.3826
7	60.0000	70.0000	8.4948	0.0000	-0.5523	7.9541	0.8606	0.2324	12.5469	2.9470	2.9699	12.8884	12.8936	0.3005	0.4198	2.8166	0.7587	0.0000	0.0000	0.0000	0.0000	0.0000	0.2122
8	70.0000	80.0000	8.5834	0.0000	-0.6049	7.9113	0.7637	0.5133	25.1260	1.7910	2.5320	25.1897	25.2532	1.8886	0.4181	1.4197	0.8089	0.0000	0.0000	0.0000	0.0000	0.0304	0.6018
9	80.0000	90.0000	9.6808	0.0000	0.4071	8.4271	0.8361	0.0105	8.1173	3.1496	3.0471	8.7069	8.6703	1.1582	0.4245	2.7648	0.7818	0.0000	0.0000	0.0000	0.0000	0.0000	0.3782
10	90.0000	100.0000	7.2373	0.0000	-2.4545	8.4132	1.1421	0.1365	28.7602	7.9729	9.0258	29.8449	30.1432	8.8245	0.4192	1.5141	0.7481	0.0000	0.0000	0.0000	0.0000	0.0000	0.9368
11	100.0000	110.0000	14.8863	0.0000	4.1965	9.6582	0.8862	0.1454	20.4952	8.5638	7.3208	22.2124	21.7634	8.0024	0.4188	2.8663	0.8032	0.0000	0.0000	0.0000	0.0000	0.0000	0.5136
12	110.0000	120.0000	9.9106	0.0000	0.0000	9.2484	0.6109	0.0513	7.1277	3.0189	3.0949	7.7406	7.7706	0.9456	0.4133	2.7062	0.7406	0.0000	0.0000	0.0000	0.0000	0.0000	1.2393
13	120.0000	130.0000	13.5223	0.0000	4.4583	7.2594	1.4282	0.3764	22.7508	6.9059	6.7025	23.7759	23.7176	6.1180	0.4102	3.1150	0.6213	0.0000	0.0000	0.0000	0.0000	0.0000	0.0558
14	130.0000	140.0000	12.4141	0.0000	3.0081	8.2406	0.9815	0.1839	20.9703	3.9440	4.4202	21.3380	21.4311	3.2738	0.4296	2.7714	0.9350	0.0000	0.0000	0.0000	0.0000	0.1507	1.2101
15	140.0000	150.0000	9.2486	0.0000	1.2943	7.1370	0.5494	0.2679	14.7122	2.9134	2.8831	14.9979	14.9920	1.5981	0.4144	2.2315	0.7476	0.0000	0.0000	0.0000	0.0000	0.0000	0.6815
16	150.0000	160.0000	5.2432	0.0000	-2.8506	7.3335	0.6432	0.1172	76.5296	26.4168	42.9397	80.9607	87.7530	42.9177	0.4153	0.9635	0.8763	0.0000	0.0000	0.0000	0.0000	0.4602	1.4691
17	160.0000	170.0000	9.2608	0.0000	1.5458	6.9810	0.5086	0.2255	16.0436	2.9864	2.8674	16.3192	16.2979	0.9620	0.4103	2.7274	0.6216	0.0000	0.0000	0.0000	0.0000	0.0000	0.4780
18	170.0000	180.0000	9.6128	0.0000	1.2852	7.6906	0.4128	0.2242	16.7003	15.8419	9.3526	23.0188	19.1408	15.5740	0.4145	2.1891	0.6964	0.0000	0.0000	0.0000	0.0000	0.8651	1.4889
19	180.0000	190.0000	9.7250	0.0000	2.4106	6.2575	0.8255	0.2313	17.9711	3.9299	4.8527	18.3958	18.6148	4.1773	0.4192	2.2837	0.7726	0.0000	0.0000	0.0000	0.0000	0.0000	0.3328
20	190.0000	200.0000	7.3758	0.0000	1.7406	5.1509	0.2568	0.2275	33.4540	7.2171	5.2975	34.2236	33.8708	6.7881	0.4355	2.0239	1.0419	0.0000	0.0000	0.0000	0.0000	0.0000	0.7986
21	200.0000	210.0000	4.7522	0.0000	-0.1276	4.6915	0.1406	0.0477	33.8397	2.4859	4.5055	33.9309	34.1383	3.3992	0.4175	1.9684	0.8486	0.0000	0.0000	0.0000	0.0000	0.0000	1.9938
22	210.0000	220.0000	6.5993	0.0000	1.0918	5.1683	0.0880	0.2512	18.5518	5.6273	5.8237	19.3865	19.4444	4.4378	0.4270	3.6297	0.8638	0.0000	0.0000	0.0000	0.0000	0.8379	1.6535
23	220.0000	230.0000	8.2922	0.0000	3.4254	4.5930	0.1921	0.0817	25.6129	15.3015	15.8426	29.8355	30.1166	15.5331	0.4194	2.9146	0.8053	0.0000	0.0000	0.0000	0.0000	0.0000	0.9120
24	230.0000	240.0000	7.1432	0.0000	2.8795	4.0127	0.0576	0.1934	24.9979	2.2947	2.8925	25.1030	25.1647	1.7609	0.4035	2.1754	0.6087	0.0000	0.0000	0.0000	0.0000	0.0000	0.0007
25	240.0000	250.0000	10.6172	0.0000	5.4428	4.5596	0.4092	0.2056	24.1356	10.5572	4.3599	26.3435	24.5262	10.3123	0.4041	2.1059	0.6569	0.0000	0.0000	0.0000	0.0000	0.2468	0.7640
26	250.0000	260.0000	6.1500	0.0000	1.6311	4.0403	0.1940	0.2847	20.3288	3.3679	4.0930	20.6059	20.7368	3.2687	0.4043	2.2958	0.6292	0.0000	0.0000	0.0000	0.0000	0.3450	0.3450
27	260.0000	270.0000	5.8441	0.0000	2.0035	3.5298	0.1054	0.2053	25.8250	7.8177	7.0886	26.9824	26.7802	7.5193	0.4077	1.9922	0.6648	0.0000	0.0000	0.0000	0.0000	0.0000	0.0020
28	270.0000	280.0000	5.0357	0.0000	1.4912	3.2019	0.1415	0.2011	30.6400	4.2732	2.7121	30.9366	30.7598	3.2040	0.4050	2.3261	0.7097	0.0000	0.0000	0.0000	0.0000	0.0000	1.3844
29	280.0000	290.0000	15.9138	0.0000	1.6998	2.5106	11.5988	0.1046	73.0230	3.7588	3.3583	73.1197	73.1002	1.6495	0.4807	2.9098	1.6059	0.0000	0.0000	0.0000	0.0000	0.0000	0.3617
30	290.0000	300.0000	5.6423	0.0000	2.6079	2.6873	0.0994	0.2477	28.9444	5.4304	3.7737	29.4494	29.1894	4.2926	0.4263	3.0700	0.8228	0.0000	0.0000	0.0000	0.0000	0.8827	0.5173
31	300.0000	310.0000	2.0973	0.0000	-0.2595	2.0978	0.1326	0.1264	37.6167	4.3691	1.7622	37.8696	37.6580	3.9979	0.4141	1.5031	0.8214	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
32	310.0000	320.0000	3.6754	0.0000	1.6780	1.8190	0.0990	0.0794	34.7771	6.1203	7.6012	35.3116	35.5981	7.3842	0.4040	1.6116	0.7020	0.0000	0.0000	0.0000	0.0000	0.0005	0.5809
33	320.0000	330.0000	1.2111	0.0000	-0.3047	1.2122	0.2213	0.0823	129.2029	4.5267	5.0271	129.2822	129.3006	4.9197	0.4039	0.2826	0.8829	0.0000	0.0000	0.0000	0.0000	0.0000	3.5974
34	330.0000	340.0000	3.6770	0.0000	2.5802	1.1201	0.0000	-0.0233	54.8496	15.3025	23.8320	56.9442	59.8033	14.9750	0.3973	3.1076	0.3188	0.0000	0.0000	0.0000	0.0000	0.0000	19.7622
35	340.0000	350.0000	2.4479	0.0000	1.0785	1.2640	0.0766	0.0289	32.5222	7.6005	5.9925	33.3985	33.0697	7.4054	0.4229	1.5111	0.6818	0.0000	0.0000	0.0000	0.0000	0.0000	0.4132
36	350.0000	360.0000	2.8892	0.0000	1.6875	0.9888	0.0122	0.2006	51.1154	15.1356	16.4463	53.3092	53.6961	16.3696	0.3981	1.3888	0.6563	0.0000	0.0000	0.0000	0.0000	0.0008	0.8304
37	360.0000	370.0000	1.1188	0.0000	0.0000	0.9993	0.0426	0.0769	18.7585	3.1056	3.1733	19.0138	19.0250	2.0143	0.4076	2.3129	0.7047	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
38	370.0000	380.0000	2.2891	0.0000	1.3315	0.9443	0.0000	0.0133	59.0822	5.0548	3.9594	59.2980	59.2147	3.9404	0.4709	2.7844	1.4318	0.0000	0.0000	0.0000	0.0000	0.0000	0.0060
39	380.0000	390.0000	0.6484	0.0000	0.0896	0.5019	0.0327	0.0242	29.2056	23.0906	7.8620	37.2309	30.2453	22.9362	0.3955	2.5977	0.4491	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
40	390.0000	400.0000	1.0283	0.0000	0.0000	0.9344	0.0000	0.0939	20.2908	9.6253	8.8340	22.4580	22.1305	8.9375	0.4078	2.3707	0.5659	0.0000	0.0000	0.0000	0.0000	0.0000	2.6110
41	400.0000	410.0000	0.7274	0.0000	0.0000	0.7051	0.0000	0.0223	22.3550	13.1641	11.3762	25.9430	25.0832	12.9158	0.3991	2.4394	0.6040	0.0000	0.0000	0.0000	0.0000	0.0000	0.0186
42	410.0000	420.0000	1.1023	0.0000	0.2872	0.7724	0.0000	0.0426	30.7844	6.9933	2.7165	31.5688	30.9041	6.3174	0.4021	1.8321	0.6748	0.0000	0.0000	0.0000	0.0000	1.5848	1.5848
43	420.0000	430.0000	0.6939	0.0000	0.0000	0.5323	0.0000	0.1616	26.2106	4.1759	4.5085	26.5412	26.5955	3.6189	0.3973	2.5964	0.5755	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
44	430.0000	440.0000	0.5992	0.0000	0.0000	0.3946	0.0637	0.1409	26.3318	6.8146	6.3264	27.1993	27.0811	6.2404	0.4131	2.6111	0.7131	0.0000	0.0000	0.0000	0.0000	0.0000	0.0078
46	450.0000	460.0000	2.2328	0.0000	1.6936	0.5245	0.0000	0.0146	76.1594	13.3649	13.8592	77.3231	77.4101	13.6471	0.3972	2.3753	0.1846	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
47	460.0000	470.0000	1.5650	0.0000	1.1264	0.4243	0.0000	0.0143	51.7466	15.0257	11.6361	53.8839	53.0387	14.9418	0.3989	1.3782	0.6752	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
