Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
2	50.0000	100.0000	0.4084	0.0000	0.0000	0.0000	0.0000	0.4084	48.4371	2.3715	7.2741	48.4951	48.9803	6.8767	0.4883	2.3207	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
3	100.0000	150.0000	20.4273	0.0000	3.1746	12.7138	3.4773	1.0616	12.1825	3.3417	3.6558	12.6325	12.7192	1.7831	0.4533	3.0732	0.5953	0.0000	0.0000	0.0000	0.0000	0.0279	0.4252
4	150.0000	200.0000	20.7145	0.0000	-0.1929	28.5854	-8.4913	0.8133	77.1717	23.2741	13.3110	80.6049	78.3113	23.2304	0.3691	0.8005	0.3005	0.0000	0.0000	0.0000	0.0000	0.2837	1.0789
5	200.0000	250.0000	35.5824	0.0000	4.0128	36.5779	-6.4764	1.4681	34.4958	5.5502	6.2030	34.9395	35.0491	6.0072	0.4324	1.1657	0.9007	0.0000	0.0000	0.0000	0.0000	0.2863	0.8304
6	250.0000	300.0000	50.9828	0.0000	3.8645	34.1294	11.1867	1.8023	23.8685	2.6679	2.7067	24.0171	24.0215	0.7875	0.4393	2.3779	0.8601	0.0000	0.0000	0.0000	0.0000	0.0001	0.7285
7	300.0000	350.0000	44.6995	0.0000	9.2243	30.8645	2.9968	1.6139	8.7809	3.9787	3.5083	9.6402	9.4558	2.9804	0.4089	2.3805	0.7292	0.0000	0.0000	0.0000	0.0000	0.0965	0.7563
8	350.0000	400.0000	28.2121	0.0000	1.8826	22.9809	2.2670	1.0817	18.9372	2.2779	2.7115	19.0737	19.1303	1.7066	0.4091	1.9269	0.6952	0.0000	0.0000	0.0000	0.0000	0.0175	0.2758
9	400.0000	450.0000	28.0580	0.0000	12.4637	13.8855	0.8115	0.8973	19.4549	4.7879	3.5761	20.0354	19.7809	4.2239	0.4060	2.0876	0.6263	0.0000	0.0000	0.0000	0.0000	0.0001	2.5910
10	450.0000	500.0000	26.3901	0.0000	7.1472	8.9348	9.7649	0.5432	45.7633	10.0259	10.8783	46.8487	47.0384	10.4288	0.4478	2.8148	1.1628	0.0000	0.0000	0.0000	0.0000	0.0000	0.3185
11	500.0000	550.0000	7.9711	0.0000	2.7037	4.6093	0.2058	0.4523	28.8094	2.7037	3.1553	28.9360	28.9817	1.9143	0.3977	2.4240	0.5072	0.0000	0.0000	0.0000	0.0000	0.2192	0.5444
12	550.0000	600.0000	9.9114	0.0000	7.1298	2.1741	0.0639	0.5436	32.9780	7.6691	9.3979	33.8580	34.2910	9.0716	0.4139	2.1936	0.7830	0.0000	0.0000	0.0000	0.0000	0.0000	0.6563
13	600.0000	650.0000	9.8440	0.0000	2.1889	1.2015	6.1385	0.3151	64.8430	13.2117	9.4318	66.1753	65.5254	12.8017	0.4654	2.9525	1.3153	0.0000	0.0000	0.0000	0.0000	0.0000	0.0025
14	650.0000	700.0000	2.7797	0.0000	1.6651	1.0532	0.0254	0.0360	60.3429	9.4579	8.5478	61.0796	60.9453	9.2521	0.4008	1.8323	0.5768	0.0000	0.0000	0.0000	0.0000	0.0000	0.0500
15	700.0000	750.0000	1.9271	0.0000	1.2875	0.6098	0.0000	0.0298	67.2920	10.4145	10.0436	68.0931	68.0374	9.4814	0.3983	4.2819	0.2669	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
16	750.0000	800.0000	0.3936	0.0000	0.0000	0.3059	0.0000	0.0877	31.3077	3.0425	5.4454	31.4552	31.7778	4.7873	0.3956	2.4860	0.6306	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
17	800.0000	850.0000	0.3385	0.0000	0.0000	0.2439	0.0000	0.0946	30.0449	8.8333	10.9343	31.3165	31.9728	10.6766	0.3973	2.2476	0.5996	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
18	850.0000	900.0000	0.2545	0.0000	0.0000	0.2398	0.0000	0.0146	33.0615	2.4200	7.3609	33.1500	33.8711	7.0973	0.3973	1.8398	0.5183	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
19	900.0000	950.0000	0.2203	0.0000	0.0000	0.1286	0.0000	0.0916	51.3507	5.4130	7.6027	51.6352	51.9105	6.8243	0.3972	3.2983	0.4413	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
20	950.0000	1000.0000	0.4258	0.0000	0.0000	0.2825	0.0000	0.1433	32.5958	3.5398	5.2500	32.7874	33.0159	4.7245	0.3972	2.1899	0.5368	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
