Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
2	-2.4000	-2.3000	0.7926	0.0000	0.0000	0.7338	0	0.0589	28.0470	2.0598	2.1930	28.1225	28.1326	2.0553	0.0000	0.0000	0.0000	0.1322	0.0000	0.7403	0.1514	0.0000	0.0000
3	-2.3000	-2.2000	0.8144	0.0000	0.0000	0.8081	0	0.0063	25.3220	1.2446	0.9741	25.3526	25.3408	0.8501	0.0000	0.0000	0.0000	0.1925	0.0000	0.8673	0.1923	0.0000	0.3579
4	-2.2000	-2.1000	1.7330	0.0000	0.0000	1.7216	0	0.0114	15.2995	1.2391	1.5507	15.3496	15.3779	1.1563	0.0000	0.0000	0.0000	0.2594	0.0000	0.9645	0.2815	0.0000	0.0000
5	-2.1000	-2.0000	1.1853	0.0000	0.0000	1.1545	0	0.0307	21.7780	0.8195	2.1690	21.7934	21.8857	2.0716	0.0000	0.0000	0.0000	0.0878	0.0000	0.6268	0.1223	0.0000	0.0000
6	-2.0000	-1.9000	2.3198	0.0000	0.0000	2.2454	0	0.0744	14.4650	0.9158	4.9294	14.4940	15.2819	4.8846	0.0000	0.0000	0.0000	0.0906	0.0000	0.6510	0.1059	0.0000	0.0000
7	-1.9000	-1.8000	3.7606	0.0000	0.9122	2.6107	0	0.2377	39.0449	19.6513	16.9136	43.7113	42.5509	19.5457	0.0000	0.0000	0.0000	0.1676	0.0000	0.8449	0.1818	0.0000	1.8347
8	-1.8000	-1.7000	2.9157	0.0000	0.0000	2.8891	0	0.0266	12.7788	1.3355	1.7107	12.8484	12.8928	1.4237	0.0000	0.0000	0.0000	0.1900	0.0000	0.9128	0.1959	0.2563	0.8971
9	-1.7000	-1.6000	3.1500	0.0000	0.0000	2.8679	0	0.2821	11.9888	3.6826	4.9488	12.5416	12.9700	4.8618	0.0000	0.0000	0.0000	0.2244	0.0000	0.8716	0.2256	0.0000	0.0000
10	-1.6000	-1.5000	5.0713	0.0000	1.1985	3.5472	0	0.3256	25.0881	6.2807	4.1668	25.8623	25.4317	6.0387	0.0000	0.0000	0.0000	0.2642	0.0000	1.5024	0.2737	0.3318	0.7612
11	-1.5000	-1.4000	4.6376	0.0000	0.7055	3.7278	0	0.2042	15.7337	3.1209	2.7914	16.0403	15.9794	1.8646	0.0000	0.0000	0.0000	0.9044	0.0000	2.1448	0.9186	0.0000	1.1941
12	-1.4000	-1.3000	4.5363	0.0000	0.2422	3.6338	0	0.6603	12.8354	7.0094	4.1986	14.6246	13.5046	6.7833	0.0000	0.0000	0.0000	0.3169	0.0000	1.2826	0.3173	1.1284	0.0000
13	-1.3000	-1.2000	5.1211	0.0000	1.4939	3.3508	0	0.2763	30.3544	4.4158	4.1023	30.6739	30.6303	4.0645	0.0000	0.0000	0.0000	0.3832	0.0000	1.5501	0.3700	0.3824	0.5895
14	-1.2000	-1.1000	4.5054	0.0000	0.0000	4.3561	0	0.1493	10.6996	2.3013	2.2786	10.9443	10.9396	1.8399	0.0000	0.0000	0.0000	0.3876	0.0000	1.2354	0.3813	0.0000	1.8060
15	-1.1000	-1.0000	4.3232	0.0000	-1.1361	5.1256	0	0.3337	28.8751	5.5308	4.2160	29.4000	29.1813	4.6298	0.0000	0.0000	0.0000	0.5277	0.0000	1.5619	0.4812	1.5291	1.9664
16	-1.0000	-0.9000	6.0850	0.0000	0.0000	5.8016	0	0.2833	8.4516	2.0535	3.2562	8.6975	9.0572	2.7506	0.0000	0.0000	0.0000	0.4332	0.0000	1.6588	0.4306	0.0000	0.8705
17	-0.9000	-0.8000	4.9261	0.0000	0.0000	4.4715	0	0.4546	10.3102	2.1269	1.3688	10.5273	10.4007	1.2221	0.0000	0.0000	0.0000	0.3543	0.0000	1.1865	0.3686	0.0025	1.1666
18	-0.8000	-0.7000	9.3197	0.0000	2.2110	6.6369	0	0.4719	23.9962	2.4053	1.5337	24.1164	24.0451	1.8957	0.0000	0.0000	0.0000	0.4291	0.0000	1.3554	0.4072	0.0702	0.0001
19	-0.7000	-0.6000	6.3274	0.0000	0.5214	5.2803	0	0.5257	11.7466	2.5332	2.4218	12.0167	11.9937	1.4711	0.0000	0.0000	0.0000	0.6831	0.0000	1.6920	0.6402	0.0000	0.7615
20	-0.6000	-0.5000	6.1935	0.0000	-0.3327	6.1641	0	0.3621	10.5342	1.8845	2.4480	10.7014	10.8149	1.5288	0.0000	0.0000	0.0000	0.4870	0.0000	1.3008	0.4320	0.0209	1.2470
21	-0.5000	-0.4000	9.4063	0.0000	2.8767	6.0382	0	0.4914	22.7287	2.9032	2.5052	22.9133	22.8663	1.9252	0.0000	0.0000	0.0000	0.3903	0.0000	1.2720	0.3785	0.0000	2.5512
22	-0.4000	-0.3000	5.5653	0.0000	-0.8821	5.8046	0	0.6428	18.7835	8.9677	4.6996	20.8144	19.3625	8.7703	0.0000	0.0000	0.0000	0.4700	0.0000	1.4537	0.4860	0.0783	1.4846
23	-0.3000	-0.2000	7.5439	0.0000	1.3932	5.5767	0	0.5739	13.6096	6.3743	5.9695	15.0284	14.8612	6.1626	0.0000	0.0000	0.0000	0.5548	0.0000	1.4040	0.5043	0.5161	0.5177
24	-0.2000	-0.1000	7.9038	0.0000	0.6373	6.8554	0	0.4111	10.9119	2.3216	3.0861	11.1561	11.3399	2.7328	0.0000	0.0000	0.0000	0.4677	0.0000	1.2901	0.4428	0.0015	0.8721
25	-0.1000	0.0000	6.7015	0.0000	-0.1457	6.2623	0	0.5849	9.4261	2.5860	2.8073	9.7744	9.8352	2.3703	0.0000	0.0000	0.0000	0.4299	0.0000	1.3868	0.4168	0.3254	0.3280
26	0.0000	0.1000	9.9457	0.0000	2.2071	7.1216	0	0.6170	18.6203	4.1605	4.3593	19.0795	19.1238	4.1222	0.0000	0.0000	0.0000	0.4235	0.0000	1.2995	0.4026	0.0006	0.2252
27	0.1000	0.2000	5.5517	0.0000	0.0000	4.9649	0	0.5868	9.2719	2.7301	2.0837	9.6655	9.5032	1.8455	0.0000	0.0000	0.0000	0.7442	0.0000	1.7328	0.6543	0.0000	0.3176
