Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-3.1400	-3.0144	4.8070	0.0000	0.2422	3.7796	0.6369	0.1483	10.7395	2.8073	1.8684	11.1003	10.9008	2.3851	0.0000	0.0000	0.0000	0.4416	0.0000	1.3494	0.4200	0.0143	1.1483
2	-3.0144	-2.8888	5.4454	0.0000	1.4043	3.6774	0.3330	0.0308	23.1131	2.0623	3.4953	23.2050	23.3759	3.1868	0.0000	0.0000	0.0000	0.3832	0.0000	1.3344	0.3859	0.0023	0.5305
3	-2.8888	-2.7632	3.3575	0.0000	0.0000	2.9109	0.4149	0.0318	12.0464	2.3908	1.4002	12.2814	12.1275	1.8992	0.0000	0.0000	0.0000	0.3324	0.0000	1.0231	0.3242	0.6506	0.8400
4	-2.7632	-2.6376	7.3703	0.0000	2.5455	4.1191	0.6115	0.0942	21.8443	5.0422	2.5921	22.4186	21.9975	4.8116	0.0000	0.0000	0.0000	0.4740	0.0000	1.3231	0.4653	0.0000	0.2836
5	-2.6376	-2.5120	11.8464	0.0000	0.0000	3.6406	7.9980	0.2078	64.3903	15.5469	22.0042	66.2406	68.0463	20.9978	0.0000	0.0000	0.0000	3.0362	0.0000	4.9943	3.0306	0.0000	0.6185
6	-2.5120	-2.3864	3.6802	0.0000	0.0000	3.2280	0.3293	0.1229	11.4357	4.5296	5.1751	12.3001	12.5522	4.7855	0.0000	0.0000	0.0000	0.5708	0.0000	1.4318	0.5454	0.0000	1.1077
7	-2.3864	-2.2608	3.4462	0.0000	-0.5291	3.4188	0.4935	0.0630	19.9731	1.8527	3.2505	20.0588	20.2358	0.8638	0.0000	0.0000	0.0000	0.4949	0.0000	1.4666	0.5392	0.0987	2.8082
9	-2.1352	-2.0096	4.3394	0.0000	0.0000	3.6152	0.7352	-0.0109	10.3855	2.3615	1.3407	10.6506	10.4717	1.4657	0.0000	0.0000	0.0000	0.3551	0.0000	1.2435	0.3612	0.0000	1.2749
10	-2.0096	-1.8840	3.8275	0.0000	0.0000	3.1639	0.4909	0.1727	11.5746	4.1721	4.4483	12.3035	12.3999	3.9024	0.0000	0.0000	0.0000	0.4178	0.0000	1.3525	0.4025	0.2648	1.5427
11	-1.8840	-1.7584	4.5760	0.0000	0.7384	3.1865	0.4520	0.1991	18.4981	3.6233	2.9760	18.8496	18.7360	3.0497	0.0000	0.0000	0.0000	0.4136	0.0000	1.3196	0.4162	0.0000	1.3198
12	-1.7584	-1.6328	4.2772	0.0000	0.0000	3.3613	0.7457	0.1702	11.4701	5.5774	4.9327	12.7542	12.4858	5.2992	0.0000	0.0000	0.0000	0.4658	0.0000	1.6239	0.4149	0.0000	0.0038
13	-1.6328	-1.5072	2.6791	0.0000	-1.3760	3.4977	0.5000	0.0574	41.3304	8.7113	8.5920	42.2385	42.2141	8.4249	0.0000	0.0000	0.0000	0.4242	0.0000	1.5628	0.4947	0.0000	2.3761
14	-1.5072	-1.3816	3.6223	0.0000	0.1322	2.7604	0.5975	0.1322	11.9665	2.7368	4.0434	12.2755	12.6312	3.7838	0.0000	0.0000	0.0000	0.3733	0.0000	1.1875	0.3292	0.0000	0.6201
15	-1.3816	-1.2560	6.1161	0.0000	1.6575	3.7356	0.5498	0.1731	28.1083	3.1209	25.0320	28.2811	37.6388	3.5822	0.0000	0.0000	0.0000	0.3801	0.0000	1.1755	0.3698	0.0000	24.7412
16	-1.2560	-1.1304	5.0495	0.0000	0.8365	3.3523	0.7837	0.0770	26.2706	2.9713	1.3895	26.4381	26.3074	1.5240	0.0000	0.0000	0.0000	0.3706	0.0000	1.2909	0.3824	0.0024	2.1345
17	-1.1304	-1.0048	3.7505	0.0000	0.2366	3.1625	0.1440	0.2074	17.3237	12.4070	28.7882	21.3083	33.5987	28.6660	0.0000	0.0000	0.0000	0.1285	0.0000	0.9207	0.1867	2.0627	1.3707
18	-1.0048	-0.8792	4.8666	0.0000	1.1708	2.8875	0.5932	0.2152	25.5866	4.4436	3.4644	25.9696	25.8201	4.2251	0.0000	0.0000	0.0000	0.2802	0.0000	1.2808	0.2975	0.1345	0.2616
19	-0.8792	-0.7536	4.4289	0.0000	0.1497	3.1037	0.9039	0.2715	11.1475	30.6260	5.5392	32.5917	12.4479	9.3562	0.0000	0.0000	0.0000	0.6086	0.0000	1.6077	0.5766	0.0000	29.1054
20	-0.7536	-0.6280	4.3682	0.0000	0.0000	3.7667	0.4990	0.1025	10.6963	2.6710	1.5175	11.0248	10.8034	0.5711	0.0000	0.0000	0.0000	0.4422	0.0000	1.3800	0.4217	0.0000	2.1285
21	-0.6280	-0.5024	3.0992	0.0000	-0.7107	3.2747	0.4182	0.1170	36.3692	2.9053	4.8366	36.4850	36.6894	4.6402	0.0000	0.0000	0.0000	0.3619	0.0000	1.2673	0.3771	0.0000	0.0005
22	-0.5024	-0.3768	4.0012	0.0000	0.0000	3.3948	0.5654	0.0410	11.0449	1.9410	1.2036	11.2141	11.1103	1.5182	0.0000	0.0000	0.0000	0.3544	0.0000	1.1090	0.3270	0.0003	0.0003
23	-0.3768	-0.2512	4.2185	0.0000	0.0000	3.7109	0.3601	0.1475	10.5029	5.0351	4.0267	11.6475	11.2484	4.7882	0.0000	0.0000	0.0000	0.5409	0.0000	1.3722	0.5002	0.0042	0.0071
24	-0.2512	-0.1256	3.9554	0.0000	0.0000	3.6993	0.1889	0.0672	11.2824	1.7611	2.8846	11.4190	11.6453	1.9454	0.0000	0.0000	0.0000	0.4168	0.0000	1.5152	0.3926	0.9844	0.9844
25	-0.1256	0.0000	5.5186	0.0000	1.7130	3.2897	0.4056	0.1104	31.9920	5.8803	5.2096	32.5279	32.4134	5.7604	0.0000	0.0000	0.0000	0.2581	0.0000	1.1137	0.2652	0.0000	0.1361
