Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-3.1400	-3.0144	226.6691	248.0000	214.8041	6.3708	0.0199	5.4743	11.9897	31.9566	13.4141	34.1318	17.9914	0.9796	0.8536	5.6185	0.6944	0.0000	0.0000	0.0000	0.0000	12.3666	28.9025
2	-3.0144	-2.8888	259.8102	287.0000	248.9075	6.1505	0.0554	4.6968	11.1530	7.6197	6.2285	13.5074	12.7743	3.2609	0.8331	4.5595	0.7536	0.0000	0.0000	0.0000	0.0000	3.6420	3.4802
3	-2.8888	-2.7632	272.6946	274.0000	259.7542	6.5523	0.1686	6.2195	9.9880	7.9100	10.2466	12.7408	14.3092	1.0138	0.8556	4.9711	0.8376	0.0000	0.0000	0.0000	0.0000	5.8140	7.7579
4	-2.7632	-2.6376	286.2262	277.0000	275.2468	5.9627	0.1039	4.9129	9.5256	14.4212	9.4907	17.2832	13.4466	3.5882	0.8352	4.9599	0.7216	0.0000	0.0000	0.0000	0.0000	6.0147	12.1738
5	-2.6376	-2.5120	242.3063	268.0000	231.3355	5.6973	0.1229	5.1506	11.1844	25.2572	5.5919	27.6228	12.5044	2.2889	0.8295	4.4133	0.6207	0.0000	0.0000	0.0000	0.0000	17.6554	17.3328
6	-2.5120	-2.3864	273.5820	268.0000	263.6801	5.3625	0.1330	4.4064	9.7421	17.6689	13.5899	20.1767	16.7211	2.7485	0.8557	4.6426	0.6904	0.0000	0.0000	0.0000	0.0000	8.6287	16.7769
7	-2.3864	-2.2608	344.3287	255.0000	333.4518	5.6672	0.1447	5.0651	8.3391	4.6599	20.3566	9.5528	21.9985	0.9403	0.8508	4.5168	0.7678	0.0000	0.0000	0.0000	0.0000	9.1822	17.5622
8	-2.2608	-2.1352	280.1824	280.0000	268.7973	6.5384	0.0000	4.8467	10.0251	13.7370	5.1185	17.0062	11.2562	1.4892	0.8500	4.9034	0.6875	0.0000	0.0000	0.0000	0.0000	6.0397	11.2553
9	-2.1352	-2.0096	282.1143	245.0000	271.2275	5.4699	0.0627	5.3541	10.1604	7.5055	9.1999	12.6320	13.7067	4.2448	0.8570	4.5668	0.8018	0.0000	0.0000	0.0000	0.0000	4.0101	7.2568
10	-2.0096	-1.8840	287.5727	263.0000	275.9445	6.0018	0.0657	5.5607	9.4189	21.1386	5.4842	23.1421	10.8992	0.9038	0.8516	4.9351	0.7004	0.0000	0.0000	0.0000	0.0000	2.2038	20.5249
11	-1.8840	-1.7584	285.8326	236.0000	274.9879	5.9219	0.0363	4.8865	9.6575	6.4562	11.9770	11.6168	15.3856	2.4072	0.8524	5.0760	0.8264	0.0000	0.0000	0.0000	0.0000	2.9517	10.7316
12	-1.7584	-1.6328	273.8655	256.0000	261.2324	5.9102	0.2330	6.4899	10.2253	20.4079	6.0917	22.8263	11.9023	3.3736	0.8577	4.9746	0.8480	0.0000	0.0000	0.0000	0.0000	7.3390	18.0288
13	-1.6328	-1.5072	367.2664	271.0000	354.2617	6.8764	0.2734	5.8549	7.8455	5.0898	22.3810	9.3519	23.7162	2.3968	0.8483	4.6528	0.7505	0.0000	0.0000	0.0000	0.0000	7.8966	20.2700
14	-1.5072	-1.3816	288.2911	304.0000	274.4790	5.0728	4.5218	4.2175	9.7523	29.6646	5.0326	31.2266	10.9742	0.5152	0.8494	4.9988	0.7898	0.0000	0.0000	0.0000	0.0000	11.4141	26.8957
15	-1.3816	-1.2560	327.9319	274.0000	315.9861	5.9618	0.1986	5.7854	8.1635	5.4600	10.2784	9.8211	13.1259	1.2172	0.8429	5.2041	0.7328	0.0000	0.0000	0.0000	0.0000	4.2437	7.7831
16	-1.2560	-1.1304	250.1455	274.0000	237.3160	6.3215	0.0389	6.4690	10.9988	25.3899	6.3147	27.6699	12.6827	3.6858	0.8443	4.2961	0.7702	0.0000	0.0000	0.0000	0.0000	13.9469	20.4153
17	-1.1304	-1.0048	300.6363	258.0000	290.1863	5.3346	0.1110	5.0045	9.5028	7.1770	15.4926	11.9085	18.1749	3.8615	0.8467	5.1830	0.7655	0.0000	0.0000	0.0000	0.0000	2.9037	14.2016
18	-1.0048	-0.8792	267.9092	277.0000	255.4415	6.8010	0.2206	5.4460	10.2369	10.6513	15.7763	14.7731	18.8066	4.3339	0.8507	5.0629	0.8539	0.0000	0.0000	0.0000	0.0000	4.1967	14.3015
19	-0.8792	-0.7536	284.7150	233.0000	273.2246	6.1497	0.1412	5.1995	9.6138	4.9357	13.2655	10.8068	16.3829	0.9797	0.8441	4.8069	0.7364	0.0000	0.0000	0.0000	0.0000	11.4156	4.6483
20	-0.7536	-0.6280	240.3088	228.0000	228.8489	5.8596	0.3239	5.2763	11.3675	23.2393	6.5655	25.8706	13.1273	1.8435	0.8425	4.8664	0.6421	0.0000	0.0000	0.0000	0.0000	11.0222	19.7579
21	-0.6280	-0.5024	242.2121	243.0000	230.8909	6.4880	0.0604	4.7727	11.4067	20.1746	6.3548	23.1760	13.0574	3.3541	0.8478	4.4969	0.6947	0.0000	0.0000	0.0000	0.0000	2.9576	19.4889
22	-0.5024	-0.3768	274.5493	244.0000	262.9953	5.0878	0.1762	6.2900	9.6421	9.7341	23.6826	13.7012	25.5702	2.0813	0.8559	4.8237	0.8431	0.0000	0.0000	0.0000	0.0000	8.1061	22.9035
23	-0.3768	-0.2512	317.0936	242.0000	301.4645	4.9642	5.3799	5.2851	9.0229	11.2290	7.5903	14.4050	11.7909	1.6018	0.8425	4.7307	0.7932	0.0000	0.0000	0.0000	0.0000	5.2682	10.0079
24	-0.2512	-0.1256	310.9536	245.0000	300.2880	6.3351	0.1184	4.2121	8.9124	17.0270	15.3852	19.2185	17.7802	2.4853	0.8421	4.5851	0.7361	0.0000	0.0000	0.0000	0.0000	8.5379	16.2443
25	-0.1256	0.0000	280.5917	263.0000	269.1171	5.9926	0.0381	5.4440	9.8274	11.8205	8.9606	15.3721	13.2992	1.6116	0.8503	4.8128	0.9097	0.0000	0.0000	0.0000	0.0000	8.4127	7.3793
26	0.0000	0.1256	315.6235	240.0000	304.0905	6.0111	0.0237	5.4982	9.2477	5.8464	10.3486	10.9408	13.8785	0.4390	0.8397	4.9762	0.7194	0.0000	0.0000	0.0000	0.0000	2.8155	8.6303
27	0.1256	0.2512	293.6441	260.0000	282.7109	5.6272	0.1296	5.1764	11.4799	9.5139	14.4646	14.9098	18.4665	10.0624	0.8567	4.7500	0.8212	0.0000	0.0000	0.0000	0.0000	5.5435	9.2247
28	0.2512	0.3768	280.3606	269.0000	268.0465	6.5940	0.0966	5.6235	9.8752	6.1040	24.1248	11.6094	26.0677	4.0129	0.8482	4.6400	0.7792	0.0000	0.0000	0.0000	0.0000	6.9346	22.2728
29	0.3768	0.5024	307.5205	271.0000	296.3431	5.3827	-0.0344	5.8291	9.2792	6.0372	8.3659	11.0703	12.4937	1.6311	0.8480	5.0187	0.7749	0.0000	0.0000	0.0000	0.0000	5.7073	3.1499
