Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-3.1400	-3.0144	548.6602	563.0000	520.5015	21.0024	1.1611	5.9951	7.2062	4.1159	7.1364	8.2988	10.1419	1.1651	0.0000	0.0000	0.0000	0.2796	0.0000	0.7515	0.3140	0.9398	6.9621
2	-3.0144	-2.8888	562.3400	521.0000	529.6129	22.6261	1.5418	8.5592	6.8621	8.8454	7.2231	11.1951	9.9630	4.6390	0.0000	0.0000	0.0000	0.2686	0.0000	0.7090	0.3187	0.8008	8.1706
3	-2.8888	-2.7632	586.3206	514.0000	557.6638	21.0407	1.2811	6.3351	7.6213	11.1292	6.9197	13.4886	10.2940	10.0763	0.0000	0.0000	0.0000	0.2728	0.0000	0.6945	0.3061	0.3841	6.2066
4	-2.7632	-2.6376	480.0807	548.0000	447.5335	23.1992	1.5033	7.8446	7.9962	8.2887	5.6690	11.5171	9.8019	1.1989	0.0000	0.0000	0.0000	0.2356	0.0000	0.6238	0.2803	1.0424	8.1029
5	-2.6376	-2.5120	542.8192	532.0000	512.7316	21.5079	1.1475	7.4322	7.0591	5.9427	5.3227	9.2275	8.8409	1.6938	0.0000	0.0000	0.0000	0.2300	0.0000	0.7194	0.2939	0.4364	5.6636
6	-2.5120	-2.3864	543.9009	528.0000	515.4304	21.4964	1.1665	5.8075	7.5849	7.4309	5.9907	10.6183	9.6654	1.8116	0.0000	0.0000	0.0000	0.2385	0.0000	0.6844	0.2754	1.7605	7.0745
7	-2.3864	-2.2608	537.3298	550.0000	507.1825	21.9851	1.5180	6.6442	7.2306	5.5076	6.2451	9.0893	9.5542	0.5376	0.0000	0.0000	0.0000	0.2297	0.0000	0.6056	0.2574	1.3453	6.1106
8	-2.2608	-2.1352	558.9040	541.0000	528.0109	22.6010	1.1678	7.1243	6.8108	4.8083	4.1188	8.3371	7.9594	0.1039	0.0000	0.0000	0.0000	0.2025	0.0000	0.6240	0.2509	0.8904	4.6945
9	-2.1352	-2.0096	540.8784	565.0000	511.3257	20.9309	1.8432	6.7787	6.8913	10.6545	4.8783	12.6889	8.4432	0.6952	0.0000	0.0000	0.0000	0.2310	0.0000	0.7139	0.2778	0.5494	10.5874
10	-2.0096	-1.8840	590.7153	501.0000	557.1896	24.1913	1.7546	7.5797	6.7825	6.3676	7.1494	9.3032	9.8548	0.6993	0.0000	0.0000	0.0000	0.2273	0.0000	0.7267	0.2734	2.2982	7.0693
11	-1.8840	-1.7584	523.6850	526.0000	492.2313	22.6717	1.1418	7.6402	7.3857	5.2906	4.8865	9.0851	8.8559	1.3008	0.0000	0.0000	0.0000	0.2400	0.0000	0.6621	0.2821	0.6240	5.0718
12	-1.7584	-1.6328	517.2416	546.0000	487.7727	20.7288	1.4297	7.3105	7.3382	6.6791	8.7177	9.9227	11.3951	2.0282	0.0000	0.0000	0.0000	0.2389	0.0000	0.6292	0.2838	1.5872	8.2967
13	-1.6328	-1.5072	554.1951	473.0000	523.8589	21.7656	1.4942	7.0765	6.8534	8.0425	8.4217	10.5665	10.8579	3.0769	0.0000	0.0000	0.0000	0.2785	0.0000	0.7276	0.3128	1.8773	8.0741
14	-1.5072	-1.3816	544.1202	484.0000	506.8745	21.3061	7.8132	8.1265	7.2655	4.5744	6.7636	8.5856	9.9264	1.8779	0.0000	0.0000	0.0000	0.2727	0.0000	0.6927	0.3189	0.3466	6.4380
15	-1.3816	-1.2560	598.9057	493.0000	569.3508	21.7012	1.3688	6.4850	6.4003	3.5975	5.2732	7.3421	8.2928	2.4660	0.0000	0.0000	0.0000	0.1905	0.0000	0.6785	0.2404	0.8256	4.5269
16	-1.2560	-1.1304	544.8352	518.0000	515.6178	20.5635	1.4210	7.2330	7.0090	6.0270	7.5791	9.2440	10.3232	0.6866	0.0000	0.0000	0.0000	0.2462	0.0000	0.7524	0.2921	1.3434	7.4499
17	-1.1304	-1.0048	508.9423	518.0000	481.0221	19.4981	1.1994	7.2227	7.4838	7.0694	8.1434	10.2948	11.0599	0.1705	0.0000	0.0000	0.0000	0.2633	0.0000	0.7432	0.3263	1.7459	8.0972
