Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	0.0000	50.0000	7.5378	7.0000	-1.4390	7.8646	0.1470	0.9651	20.8228	8.8513	7.5170	22.6259	22.1380	4.7215	0.4203	3.5195	0.0000	0.0000	0.0000	0.6148	0.2370	2.7411	6.4821
2	50.0000	100.0000	74.8022	106.0000	0.6451	63.7934	2.1330	8.2306	3.6752	5.0984	3.5509	6.2850	5.1104	0.1928	0.4327	2.5721	0.0000	0.0000	0.0000	0.5749	0.2254	0.4862	4.3296
3	100.0000	150.0000	125.2086	144.0000	0.5753	111.8694	3.0841	9.6798	2.0445	3.0227	5.3804	3.6492	5.7557	0.7850	0.4303	2.5391	0.0000	0.0000	0.0000	0.5780	0.2328	0.4597	4.5935
4	150.0000	200.0000	173.7612	195.0000	1.9530	159.6095	3.0143	9.1843	1.9100	4.5793	5.3399	4.9617	5.6712	0.8531	0.4301	2.6043	0.0000	0.0000	0.0000	0.5195	0.2019	0.4481	4.5229
5	200.0000	250.0000	203.2669	264.0000	3.1259	190.5579	1.8729	7.7102	2.1012	4.2243	3.2487	4.7180	3.8689	1.0293	0.4287	2.5071	0.0000	0.0000	0.0000	0.5267	0.2005	0.1264	3.1621
6	250.0000	300.0000	226.0357	273.0000	0.2334	215.9666	1.8421	7.9937	1.3982	3.6663	5.0343	3.9239	5.2249	0.6698	0.4290	2.4734	0.0000	0.0000	0.0000	0.5007	0.1934	0.2043	4.2736
7	300.0000	350.0000	221.8971	277.0000	0.2095	212.2617	2.3274	7.0985	1.5570	4.9380	5.2197	5.1776	5.4470	0.4997	0.4272	2.4739	0.0000	0.0000	0.0000	0.4646	0.1745	1.0220	4.4048
8	350.0000	400.0000	209.0756	266.0000	0.4168	201.1611	2.2594	5.2384	1.4650	5.3400	4.8811	5.5373	5.0962	0.2112	0.4279	2.3616	0.0000	0.0000	0.0000	0.4544	0.1737	0.8309	4.6673
9	400.0000	450.0000	167.1625	181.0000	-0.0020	160.1406	2.2593	4.7646	1.6872	5.7456	7.3798	5.9882	7.5702	0.1246	0.4282	2.3457	0.0000	0.0000	0.0000	0.4708	0.1858	0.6215	6.9367
10	450.0000	500.0000	122.1970	193.0000	0.0000	117.8192	0.9926	3.3852	2.0495	6.6062	4.9720	6.9168	5.3779	1.1890	0.4290	2.5004	0.0000	0.0000	0.0000	0.4550	0.1769	0.2031	5.9592
11	500.0000	550.0000	97.3027	120.0000	1.4022	91.1287	1.8380	2.9338	2.5462	6.6697	5.1655	7.1392	5.7590	0.5222	0.4304	2.3627	0.0000	0.0000	0.0000	0.4833	0.1878	1.0973	6.1005
12	550.0000	600.0000	75.4310	83.0000	1.1002	70.9465	0.6861	2.6982	2.8312	7.9135	10.5814	8.4047	10.9537	0.8138	0.4302	2.4817	0.0000	0.0000	0.0000	0.5170	0.1884	1.2725	10.1697
13	600.0000	650.0000	54.9680	82.0000	0.0000	52.7101	0.7221	1.5358	2.8189	5.8931	4.5380	6.5326	5.3422	2.0954	0.4316	2.4986	0.0000	0.0000	0.0000	0.4775	0.1770	0.3039	4.9901
14	650.0000	700.0000	44.1432	44.0000	0.0000	41.7174	0.6183	1.8076	3.0912	8.8575	11.1413	9.3814	11.5622	1.9346	0.4335	2.4525	0.0000	0.0000	0.0000	0.4615	0.1752	2.5937	10.6945
15	700.0000	750.0000	33.6256	43.0000	0.0000	31.7869	0.4929	1.3458	3.6910	10.7217	5.6642	11.3392	6.7607	0.7031	0.4307	2.3646	0.0000	0.0000	0.0000	0.4951	0.1973	1.0095	10.3624
16	750.0000	800.0000	28.6025	43.0000	0.0000	26.9982	0.4951	1.1092	3.9653	2.8378	6.3489	4.8761	7.4855	1.3031	0.4282	2.4726	0.0000	0.0000	0.0000	0.4744	0.1713	1.3710	5.4936
17	800.0000	850.0000	23.6369	30.0000	0.0000	22.4671	0.3039	0.8658	4.2766	8.0058	11.2089	9.0765	11.9971	0.7300	0.4308	2.3361	0.0000	0.0000	0.0000	0.5041	0.1916	2.7118	10.9362
18	850.0000	900.0000	16.3894	29.0000	0.0000	15.4006	0.3350	0.6537	5.1109	18.3957	9.2713	19.0925	10.5867	0.7640	0.4362	2.4231	0.0000	0.0000	0.0000	0.5801	0.2476	2.9449	18.1413
19	900.0000	950.0000	12.5132	20.0000	0.0000	11.6754	0.1880	0.6498	5.8574	13.8042	6.9327	14.9955	9.0759	1.6461	0.4349	2.2170	0.0000	0.0000	0.0000	0.5244	0.2064	4.7288	12.7417
20	950.0000	1000.0000	66.4581	121.0000	0.9043	60.3780	1.6109	3.5649	2.8450	8.0685	8.9812	8.5554	9.4211	0.5359	0.4313	2.3813	0.0000	0.0000	0.0000	0.5626	0.2382	0.7427	8.5927
