Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
2	-2.4000	-2.3000	20.7804	17.0000	0.0000	19.5340	0.3197	0.9267	4.6519	8.7814	10.1977	9.9375	11.2086	2.7501	0.4328	2.4495	0.0000	0.0000	0.0000	0.4274	0.1649	0.2210	9.7540
3	-2.3000	-2.2000	24.2110	27.0000	0.0000	23.1189	0.3830	0.7091	4.2964	6.9229	8.1709	8.1478	9.2316	0.9447	0.4391	2.4546	0.0000	0.0000	0.0000	0.4332	0.1625	0.3131	7.7033
4	-2.2000	-2.1000	26.8365	33.0000	0.0000	25.8237	0.4011	0.6118	4.0633	5.6099	6.3592	6.9268	7.5465	0.9217	0.4360	2.5520	0.0000	0.0000	0.0000	0.4399	0.1781	0.5189	5.7656
5	-2.1000	-2.0000	26.2399	44.0000	-0.8047	26.3561	0.4198	0.2687	5.1444	6.3337	9.1480	8.1597	10.4952	1.8494	0.4335	2.3763	0.0000	0.0000	0.0000	0.4785	0.1810	1.8530	8.4104
6	-2.0000	-1.9000	31.8171	40.0000	0.0000	30.5489	0.2807	0.9875	3.7186	4.5291	4.2991	5.8601	5.6842	0.7796	0.4322	2.4603	0.0000	0.0000	0.0000	0.4910	0.1950	0.1418	3.6559
7	-1.9000	-1.8000	36.2083	34.0000	0.0000	34.2539	0.5507	1.4038	3.5094	3.8356	4.7555	5.1988	5.9102	0.7210	0.4340	2.6114	0.0000	0.0000	0.0000	0.4830	0.1922	0.9700	3.7538
8	-1.8000	-1.7000	39.7282	50.0000	0.0000	37.5824	0.5266	1.6192	3.3774	3.7111	3.7251	5.0179	5.0282	1.8933	0.4351	2.3596	0.0000	0.0000	0.0000	0.4749	0.1793	0.4968	2.0681
9	-1.7000	-1.6000	42.3781	60.0000	0.5220	39.8520	0.7657	1.2384	3.4321	4.4822	5.4051	5.6452	6.4027	0.7827	0.4397	2.5994	0.0000	0.0000	0.0000	0.4406	0.1695	0.3940	4.6670
10	-1.6000	-1.5000	43.6607	61.0000	-0.5239	41.6851	0.7406	1.7590	3.4354	3.4150	3.8166	4.8440	5.1350	1.2532	0.4350	2.3520	0.0000	0.0000	0.0000	0.4590	0.1756	0.6185	2.5789
11	-1.5000	-1.4000	43.4703	49.0000	0.0000	41.1128	0.7775	1.5801	3.1550	3.6751	4.3141	4.8437	5.3447	2.2923	0.4365	2.4536	0.0000	0.0000	0.0000	0.4946	0.1945	0.4990	2.6199
12	-1.4000	-1.3000	44.3374	77.0000	0.0000	41.6432	0.6119	2.0823	3.1706	5.5449	6.9389	6.3874	7.6289	0.1791	0.4361	2.5016	0.0000	0.0000	0.0000	0.4664	0.1761	0.3183	6.4358
13	-1.3000	-1.2000	43.3867	53.0000	2.1356	39.1012	1.1322	1.0177	4.8070	7.2964	5.9190	8.7376	7.6251	2.3095	0.4350	2.4902	0.0000	0.0000	0.0000	0.4650	0.1727	0.0432	6.5167
14	-1.2000	-1.1000	46.6874	63.0000	0.3126	44.8712	0.2411	1.2625	3.1530	4.5420	6.5026	5.5291	7.2267	0.2341	0.4292	2.3959	0.0000	0.0000	0.0000	0.4813	0.1737	0.5936	5.9787
15	-1.1000	-1.0000	49.2760	76.0000	1.1389	45.3923	0.5959	2.1489	3.8164	5.1959	4.9632	6.4469	6.2608	1.9199	0.4269	2.4424	0.0000	0.0000	0.0000	0.5255	0.1955	0.2152	4.2914
16	-1.0000	-0.9000	47.8244	75.0000	0.4168	45.0724	0.6955	1.6398	3.1133	5.5223	5.0517	6.3395	5.9340	1.1824	0.4228	2.4134	0.0000	0.0000	0.0000	0.4892	0.1857	0.4194	4.7587
17	-0.9000	-0.8000	48.2359	64.0000	0.5727	44.8155	0.4665	2.3812	3.2254	5.8936	5.1576	6.7185	6.0831	0.1340	0.4230	2.3853	0.0000	0.0000	0.0000	0.5529	0.2121	0.6415	5.3013
18	-0.8000	-0.7000	48.8026	51.0000	0.9043	45.1517	0.3282	2.4183	3.4802	6.1208	5.6705	7.0410	6.6533	0.6519	0.4251	2.3629	0.0000	0.0000	0.0000	0.5058	0.1997	0.2223	5.5734
19	-0.7000	-0.6000	46.8930	51.0000	0.0000	44.1015	0.4001	2.3914	3.0550	6.5987	5.5381	7.2716	6.3248	0.7755	0.4229	2.3414	0.0000	0.0000	0.0000	0.5627	0.2274	0.9282	6.0042
20	-0.6000	-0.5000	46.5729	62.0000	-0.7348	44.8278	0.5982	1.8817	3.4460	5.4348	5.3574	6.4352	6.3699	0.3245	0.4209	2.2992	0.0000	0.0000	0.0000	0.5488	0.2234	0.0798	4.8706
21	-0.5000	-0.4000	48.7515	58.0000	0.0000	45.4643	0.5952	2.6921	3.0075	7.2230	6.1226	7.8241	6.8214	0.4013	0.4232	2.4048	0.0000	0.0000	0.0000	0.5256	0.2123	0.5925	6.7741
22	-0.4000	-0.3000	45.3304	51.0000	0.0000	42.3156	0.4472	2.5676	3.0936	5.3819	6.9789	6.2077	7.6339	2.1594	0.4216	2.4121	0.0000	0.0000	0.0000	0.5293	0.2112	0.3096	6.2147
23	-0.3000	-0.2000	48.2870	36.0000	0.4209	45.1686	0.6333	2.0641	3.4956	6.2643	5.7445	7.1736	6.7245	0.3517	0.4254	2.6175	0.0000	0.0000	0.0000	0.5284	0.2049	0.1603	5.6469
24	-0.2000	-0.1000	46.6601	46.0000	0.0000	44.0164	0.5488	2.0949	3.0462	4.5736	5.7438	5.4952	6.5016	0.5349	0.4203	2.4772	0.0000	0.0000	0.0000	0.5537	0.2319	0.2661	5.1021
25	-0.1000	0.0000	45.4082	60.0000	2.7440	39.7699	0.5846	2.3097	6.2396	5.1246	5.0383	8.0743	8.0198	0.4736	0.4314	2.6737	0.0000	0.0000	0.0000	0.5728	0.2237	0.5117	4.2807
26	0.0000	0.1000	46.0742	48.0000	1.3614	41.3721	0.9031	2.4375	4.2436	6.5522	5.9325	7.8064	7.2940	0.8210	0.4247	2.6063	0.0000	0.0000	0.0000	0.5193	0.2087	0.2010	5.9481
27	0.1000	0.2000	41.5906	60.0000	0.0000	38.5543	0.8344	2.2019	3.2181	7.0095	5.6765	7.7129	6.5252	0.5799	0.4285	2.4116	0.0000	0.0000	0.0000	0.5279	0.2224	0.6448	6.5111
28	0.2000	0.3000	50.3045	71.0000	1.4493	44.8324	0.7888	3.2339	4.1345	5.5982	7.6798	6.9595	8.7221	0.4019	0.4222	2.4890	0.0000	0.0000	0.0000	0.5286	0.2095	0.2227	7.2307
