Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	0.0000	50.0000	123.2790	165.0000	0.0000	116.9003	1.6937	4.6850	1.9029	4.5645	5.4262	4.9452	5.7502	0.1020	0.4425	2.4724	0.0000	0.0000	0.0000	0.4163	0.1721	1.2695	4.6171
2	50.0000	100.0000	316.8342	389.0000	3.3190	296.1326	4.8863	12.4963	1.4456	5.5518	5.0890	5.7369	5.2904	0.5397	0.4385	2.5015	0.0000	0.0000	0.0000	0.4224	0.1658	0.0872	4.8855
3	100.0000	150.0000	389.8200	560.0000	2.4342	365.4136	4.8977	17.0745	1.2670	4.8670	5.8502	5.0292	5.9858	0.1773	0.4359	2.5143	0.0000	0.0000	0.0000	0.4313	0.1664	0.4788	5.2190
4	150.0000	200.0000	342.3797	470.0000	1.2605	323.7610	4.6395	12.7187	1.2757	5.1650	5.3576	5.3202	5.5074	0.2536	0.4302	2.5236	0.0000	0.0000	0.0000	0.4645	0.1742	0.3414	4.6782
5	200.0000	250.0000	272.6632	349.0000	3.7890	254.0109	4.7791	10.0842	1.4924	4.7691	4.5210	4.9971	4.7610	0.3803	0.4269	2.5064	0.0000	0.0000	0.0000	0.5030	0.1854	0.3378	3.9827
6	250.0000	300.0000	191.1581	201.0000	-2.9695	182.9653	2.4306	8.7316	1.8391	5.7754	5.3135	6.0611	5.6228	0.1337	0.4203	2.4139	0.0000	0.0000	0.0000	0.5389	0.1973	0.5025	5.1796
7	300.0000	350.0000	128.4068	140.0000	1.2915	121.2197	1.2765	4.6191	2.0050	5.1232	5.7497	5.5015	6.0892	0.9399	0.4186	2.3086	0.0000	0.0000	0.0000	0.5743	0.2198	0.4867	5.1045
8	350.0000	400.0000	85.1958	84.0000	0.0000	81.0473	0.9685	3.1800	2.2721	5.9196	5.9970	6.3407	6.4130	0.1263	0.4158	2.3466	0.0000	0.0000	0.0000	0.6340	0.2431	0.2657	5.4611
9	400.0000	450.0000	51.5942	54.0000	0.0000	48.5212	0.6458	2.4272	2.8852	6.5810	7.1604	7.1856	7.7198	0.5130	0.4120	2.4458	0.0000	0.0000	0.0000	0.6910	0.2816	0.9412	6.5889
10	450.0000	500.0000	32.4890	34.0000	0.0000	30.7354	0.4638	1.2898	3.6710	6.2602	8.0412	7.2572	8.8396	0.3047	0.4155	2.2140	0.0000	0.0000	0.0000	0.8027	0.3441	0.7563	7.6636
11	500.0000	550.0000	19.4059	32.0000	0.0000	18.0918	0.0813	1.2328	4.6811	9.6819	5.7824	10.7542	7.4397	1.4535	0.4078	2.2292	0.0000	0.0000	0.0000	0.8898	0.3966	0.4752	9.3369
12	550.0000	600.0000	11.1391	25.0000	0.0000	10.0994	0.0507	0.9890	6.1744	12.8048	10.6640	14.2157	12.3225	1.8239	0.4061	2.2439	0.0000	0.0000	0.0000	0.9527	0.4386	2.0201	12.2579
13	600.0000	650.0000	7.7720	9.0000	0.0000	7.1109	0.1973	0.4638	7.2238	2.9549	10.1407	7.8047	12.4505	1.2109	0.4121	2.3397	0.0000	0.0000	0.0000	1.1465	0.5533	4.2896	8.7526
14	650.0000	700.0000	4.3785	6.0000	0.0000	3.9696	0.0481	0.3607	10.2154	12.2738	21.7807	15.9688	24.0573	3.8527	0.4085	2.1314	0.0000	0.0000	0.0000	0.9927	0.4307	0.1757	21.2989
15	700.0000	750.0000	2.3769	1.0000	0.0000	2.2220	0.0461	0.1089	12.6872	7.0688	3.3671	14.5235	13.1264	2.6004	0.4106	1.8873	0.0000	0.0000	0.0000	1.1192	0.5483	3.9296	4.7413
16	750.0000	800.0000	1.6852	1.0000	0.0000	1.1588	0.0387	0.4878	15.7165	21.2145	8.3599	26.4020	17.8016	5.4568	0.4108	2.1515	0.0000	0.0000	0.0000	1.4095	0.6305	3.1439	20.4009
17	800.0000	850.0000	0.8425	1.0000	0.0000	0.8197	0.0000	0.0228	20.5425	8.4606	10.0378	22.2166	22.8638	5.1646	0.4111	2.1189	0.0000	0.0000	0.0000	0.8835	0.3591	6.9118	4.5545
18	850.0000	900.0000	0.8998	0.0000	0.0000	0.5999	0.0788	0.2210	24.5589	13.2619	14.9449	27.9109	28.7487	3.3224	0.4040	1.8002	0.0000	0.0000	0.0000	0.6987	0.2610	7.5915	12.9368
19	900.0000	950.0000	0.4364	0.0000	0.0000	0.3839	0.0000	0.0525	28.2269	32.4360	12.7495	42.9983	30.9727	8.0131	0.4155	2.8876	0.0000	0.0000	0.0000	0.5922	0.1928	20.2614	24.0928
20	950.0000	1000.0000	1.2589	0.0000	0.0000	1.0899	0.0000	0.1690	15.8665	11.0911	16.5995	19.3586	22.9627	2.6557	0.4059	2.3429	0.0000	0.0000	0.0000	1.0734	0.4608	0.7435	16.1530
