Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-3.1400	-3.0144	38.8312	66.0000	0.0000	36.3968	0.5803	1.8541	3.3338	5.0027	7.7124	6.0117	8.4021	0.4727	0.4279	2.5250	0.0000	0.0000	0.0000	0.5127	0.1976	2.1222	6.9204
2	-3.0144	-2.8888	40.1029	61.0000	0.0000	37.8471	0.4415	1.8143	3.3573	4.6483	5.0820	5.7339	6.0909	0.8651	0.4306	2.4111	0.0000	0.0000	0.0000	0.5140	0.1969	1.0049	4.3332
3	-2.8888	-2.7632	39.5157	50.0000	0.0000	37.3782	0.6215	1.5159	3.3295	7.2901	7.7403	8.0144	8.4260	0.7163	0.4275	2.5194	0.0000	0.0000	0.0000	0.5005	0.1939	0.4602	7.2696
4	-2.7632	-2.6376	37.6770	51.0000	0.0000	35.9159	0.5056	1.2555	3.4421	4.6684	3.5418	5.8002	4.9389	0.9700	0.4268	2.6045	0.0000	0.0000	0.0000	0.5046	0.1947	1.0822	3.5248
5	-2.6376	-2.5120	39.2660	61.0000	0.0000	37.5322	0.5203	1.2135	3.3306	5.2603	7.6403	6.2260	8.3347	0.5257	0.4272	2.5614	0.0000	0.0000	0.0000	0.4759	0.1761	2.2465	6.7860
6	-2.5120	-2.3864	39.9388	59.0000	0.0000	37.6761	0.6602	1.6025	3.3393	2.6891	6.5180	4.2875	7.3236	0.7335	0.4292	2.4119	0.0000	0.0000	0.0000	0.4736	0.1752	0.4825	5.9608
7	-2.3864	-2.2608	38.5445	51.0000	-0.3008	36.8100	0.4187	1.6166	6.0469	9.3977	7.4658	11.1751	9.6075	0.8012	0.4305	2.5276	0.0000	0.0000	0.0000	0.4116	0.1444	3.3030	9.0050
8	-2.2608	-2.1352	37.8281	42.0000	0.2334	35.4180	0.6242	1.5525	3.4282	4.2496	3.1934	5.4600	4.6852	1.7729	0.4323	2.4125	0.0000	0.0000	0.0000	0.5228	0.2139	1.5082	2.5130
9	-2.1352	-2.0096	39.2174	45.0000	0.0000	36.6288	0.6212	1.9674	3.8539	5.7900	4.6779	6.9553	6.0609	0.9749	0.4312	2.4814	0.0000	0.0000	0.0000	0.5359	0.2007	0.6684	5.1328
10	-2.0096	-1.8840	40.0597	52.0000	0.0000	38.1221	0.7109	1.2267	3.2725	6.2382	5.0941	7.0444	6.0547	0.2531	0.4282	2.4845	0.0000	0.0000	0.0000	0.4715	0.1757	0.3232	5.6721
11	-1.8840	-1.7584	40.6366	40.0000	0.0000	38.5408	0.5261	1.5697	3.2570	2.6978	6.9585	4.2292	7.6830	0.1859	0.4306	2.5076	0.0000	0.0000	0.0000	0.5229	0.2055	1.3424	6.3083
12	-1.7584	-1.6328	38.8564	46.0000	0.0000	36.3479	0.6065	1.9020	3.4309	7.2543	4.5007	8.0247	5.6592	1.5161	0.4280	2.5593	0.0000	0.0000	0.0000	0.5570	0.2172	1.8258	6.3169
13	-1.6328	-1.5072	37.7200	46.0000	-1.4390	36.6646	0.4242	2.0701	5.1659	2.9793	5.0027	5.9634	7.1911	1.2194	0.4237	2.4114	0.0000	0.0000	0.0000	0.4908	0.1874	1.8430	3.7246
14	-1.5072	-1.3816	37.1932	44.0000	1.1002	34.0515	0.4504	1.5912	4.5266	6.2004	3.1726	7.6769	5.5277	1.5540	0.4332	2.4156	0.0000	0.0000	0.0000	0.5413	0.2129	1.6864	5.2347
15	-1.3816	-1.2560	40.1518	54.0000	1.4274	36.8046	0.7864	1.1334	4.2243	4.1750	8.3883	5.9393	9.3920	0.5978	0.4295	2.4629	0.0000	0.0000	0.0000	0.4980	0.1952	1.2427	7.9782
16	-1.2560	-1.1304	39.0642	52.0000	0.0000	36.6306	0.6905	1.7431	3.3290	3.1263	4.3193	4.5668	5.4533	0.4456	0.4267	2.4501	0.0000	0.0000	0.0000	0.5120	0.1986	2.4243	2.4686
17	-1.1304	-1.0048	39.6473	59.0000	0.0000	37.9783	0.4671	1.2019	3.7644	8.6042	6.0263	9.3917	7.1054	0.3416	0.4304	2.4026	0.0000	0.0000	0.0000	0.4698	0.1798	2.2364	7.9256
18	-1.0048	-0.8792	39.6555	44.0000	0.0000	37.7672	0.2865	1.6018	3.3259	8.6495	6.6010	9.2669	7.3915	0.9321	0.4275	2.4188	0.0000	0.0000	0.0000	0.5173	0.2017	1.3027	8.1440
19	-0.8792	-0.7536	39.3905	43.0000	0.0000	36.7353	0.4800	2.1753	3.3875	2.8684	9.2999	4.4388	9.8977	0.8908	0.4313	2.5014	0.0000	0.0000	0.0000	0.4982	0.1931	2.4733	8.5746
20	-0.7536	-0.6280	40.2514	48.0000	0.0000	38.4830	0.4110	1.3574	3.2462	8.9139	5.8285	9.4866	6.6716	0.8921	0.4298	2.4890	0.0000	0.0000	0.0000	0.4876	0.1942	2.2051	8.2185
21	-0.6280	-0.5024	40.6817	45.0000	0.0000	38.8347	0.6177	1.2293	3.3251	2.8204	6.5818	4.3601	7.3740	0.2064	0.4294	2.4997	0.0000	0.0000	0.0000	0.5040	0.1814	2.5678	5.4739
22	-0.5024	-0.3768	38.5456	43.0000	0.0000	36.6359	0.5212	1.3884	3.2709	4.8048	4.7162	5.8125	5.7395	0.4265	0.4321	2.4694	0.0000	0.0000	0.0000	0.5034	0.1916	0.9749	3.9534
23	-0.3768	-0.2512	39.8198	56.0000	0.0000	37.4183	0.6229	1.7786	3.3199	8.8584	9.7574	9.4601	10.3067	0.9475	0.4319	2.3949	0.0000	0.0000	0.0000	0.4754	0.1826	1.1251	9.3876
24	-0.2512	-0.1256	38.9168	60.0000	-0.4721	36.6939	0.8937	1.8014	3.8963	7.3881	4.9002	8.3526	6.2604	0.6002	0.4274	2.4147	0.0000	0.0000	0.0000	0.4853	0.1817	2.0260	6.9438
25	-0.1256	0.0000	39.5790	53.0000	0.9043	36.2080	0.3432	2.1235	4.0244	5.7182	4.0640	6.9923	5.7194	0.4223	0.4302	2.3528	0.0000	0.0000	0.0000	0.5030	0.2086	1.9105	4.7803
26	0.0000	0.1256	38.7170	53.0000	0.0000	37.1917	0.3036	1.2216	3.4147	5.4562	3.5676	6.4366	4.9384	0.2712	0.4294	2.5968	0.0000	0.0000	0.0000	0.4973	0.1946	1.4644	4.5099
27	0.1256	0.2512	39.9798	52.0000	0.3731	37.6471	0.2293	1.7303	3.4227	3.9561	3.2461	5.2312	4.7172	0.2470	0.4291	2.3333	0.0000	0.0000	0.0000	0.5285	0.2067	1.4795	2.7295
28	0.2512	0.3768	40.8286	56.0000	-0.1777	39.1825	0.4545	1.3693	4.3456	7.8704	6.7356	8.9904	8.0157	0.5913	0.4307	2.6659	0.0000	0.0000	0.0000	0.4994	0.1883	1.9248	7.3673
29	0.3768	0.5024	40.8141	39.0000	0.0000	38.4894	0.6304	1.6943	3.2706	4.3287	6.1852	5.4254	6.9967	0.2969	0.4278	2.4916	0.0000	0.0000	0.0000	0.4917	0.1926	2.3053	5.2296
30	0.5024	0.6280	40.4510	50.0000	0.0000	38.0889	0.4331	1.9290	3.3074	8.0615	3.3065	8.7136	4.6767	0.9568	0.4299	2.4877	0.0000	0.0000	0.0000	0.4997	0.1968	2.1859	7.3176
31	0.6280	0.7536	41.5917	62.0000	0.3126	38.9671	0.6354	1.6766	3.3870	4.7168	7.4987	5.8069	8.2282	1.4276	0.4262	2.4200	0.0000	0.0000	0.0000	0.5071	0.2089	1.6280	6.9520
32	0.7536	0.8792	44.4976	40.0000	1.4022	40.2367	0.6263	2.2323	4.4481	3.2445	6.9679	5.5057	8.2667	1.2551	0.4302	2.4666	0.0000	0.0000	0.0000	0.5358	0.2249	0.8085	6.3021
33	0.8792	1.0048	39.3455	47.0000	0.0000	36.8497	0.5884	1.9074	3.3557	8.1565	3.1859	8.8198	4.6272	1.8307	0.4293	2.4794	0.0000	0.0000	0.0000	0.4930	0.1892	1.8098	7.3001
34	1.0048	1.1304	44.1819	56.0000	2.4813	38.8560	0.5829	2.2617	6.4154	6.2723	4.0389	8.9721	7.5809	1.5506	0.4331	2.5726	0.0000	0.0000	0.0000	0.4930	0.1829	1.0172	5.4362
