Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-5.0000	-4.8000	16.6966	0.0000	15.3659	1.2410	0.0117	0.0780	29.1781	19.2528	39.2506	34.9576	48.9078	4.3233	0.8950	6.1606	1.1915	0.0000	0.0000	0.0000	0.0000	17.2805	38.5262
2	-4.8000	-4.6000	5.5520	0.0000	3.2070	2.1317	0.0329	0.1803	77.4391	55.3772	45.4159	95.2021	89.7742	12.3763	0.9357	7.1370	1.3617	0.0000	0.0000	0.0000	0.0000	28.7586	53.4770
3	-4.6000	-4.4000	8.1569	0.0000	5.0674	2.9030	0.0189	0.1676	64.5776	57.9050	22.8962	86.7367	68.5164	2.6410	0.8712	4.9572	1.2812	0.0000	0.0000	0.0000	0.0000	22.3310	57.6111
4	-4.4000	-4.2000	15.9157	0.0000	11.8372	3.5424	0.0947	0.4414	28.4842	24.1881	24.4422	37.3686	37.5336	3.3785	0.8835	6.1318	1.1820	0.0000	0.0000	0.0000	0.0000	23.3514	23.3503
5	-4.2000	-4.0000	12.4986	0.0000	5.9976	5.5511	0.2338	0.7161	47.4072	61.7281	20.9962	77.8319	51.8487	9.0600	0.8656	5.3293	1.3487	0.0000	0.0000	0.0000	0.0000	25.0729	55.3954
6	-4.0000	-3.8000	25.1098	0.0000	17.5944	6.9716	0.0318	0.5119	22.6730	6.2566	17.1764	23.5204	28.4445	2.4329	0.8551	5.5910	0.9149	0.0000	0.0000	0.0000	0.0000	2.3720	16.0685
7	-3.8000	-3.6000	23.7627	0.0000	12.9980	9.7675	0.1134	0.8838	23.9941	41.7318	33.3588	48.1379	41.0917	4.7615	0.8776	6.3926	1.0208	0.0000	0.0000	0.0000	0.0000	9.4921	39.8258
8	-3.6000	-3.4000	24.9291	0.0000	10.8242	12.5848	0.0576	1.4624	24.0307	9.3062	24.0046	25.7697	33.9661	7.4132	0.8799	5.8836	0.9855	0.0000	0.0000	0.0000	0.0000	21.1058	6.4527
9	-3.4000	-3.2000	36.7347	0.0000	18.5147	16.9466	0.3312	0.9422	16.5768	14.0762	16.5796	21.7469	23.4451	2.4619	0.8551	4.6303	0.7708	0.0000	0.0000	0.0000	0.0000	10.1569	15.7481
10	-3.2000	-3.0000	37.5199	0.0000	15.6823	20.2645	0.2739	1.2992	16.5020	5.3746	7.6353	17.3552	18.1828	2.3673	0.8664	5.1723	0.7962	0.0000	0.0000	0.0000	0.0000	5.1155	0.3689
11	-3.0000	-2.8000	33.1620	0.0000	7.5128	23.7570	0.1243	1.7678	18.3304	10.5793	14.8748	21.1642	23.6064	5.0475	0.8619	5.2009	0.9729	0.0000	0.0000	0.0000	0.0000	6.2937	13.7409
12	-2.8000	-2.6000	40.1454	0.0000	14.2961	24.5836	0.2781	0.9876	11.0356	5.3032	13.4067	12.2437	17.3644	1.3222	0.8386	5.1248	0.8179	0.0000	0.0000	0.0000	0.0000	8.8240	8.5799
