Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	0.0000	50.0000	196.3896	0.0000	35.9472	157.5611	0.9722	1.9090	5.0183	7.2966	7.6061	8.8557	9.1124	0.7189	0.0000	0.0000	0.0000	0.3928	0.0000	0.9978	0.4109	1.1099	7.4916
2	50.0000	100.0000	391.5260	0.0000	68.4533	317.5595	1.2832	4.2300	3.9316	7.0222	5.8271	8.0479	7.0294	0.5386	0.0000	0.0000	0.0000	0.3284	0.0000	1.0004	0.3642	0.5759	6.8942
3	100.0000	150.0000	418.6295	0.0000	131.9528	279.1312	1.0694	6.4761	3.9225	5.0292	6.5463	6.3780	7.6315	0.6737	0.0000	0.0000	0.0000	0.4090	0.0000	1.1100	0.4270	0.4004	6.3780
4	150.0000	200.0000	260.8414	0.0000	73.2899	181.7041	0.2633	5.5841	6.0193	4.2327	3.7677	7.3585	7.1012	0.3592	0.0000	0.0000	0.0000	0.3135	0.0000	0.9566	0.3329	0.4826	4.0623
5	200.0000	250.0000	181.0550	0.0000	67.7710	108.0772	0.4635	4.7432	8.2872	3.0593	1.5160	8.8339	8.4248	1.4236	0.0000	0.0000	0.0000	0.3843	0.0000	1.0930	0.3763	0.1413	2.4188
6	250.0000	300.0000	106.2586	0.0000	39.4094	61.3041	0.1930	5.3521	9.5538	6.1817	2.4924	11.3793	9.8735	1.2699	0.0000	0.0000	0.0000	0.5825	0.0000	1.3181	0.5540	1.3524	5.6911
7	300.0000	350.0000	73.6438	0.0000	37.3974	33.3028	0.0121	2.9315	14.3167	6.6450	4.6810	15.7836	15.0625	5.1658	0.0000	0.0000	0.0000	0.6974	0.0000	1.5172	0.6283	0.6143	3.7800
8	350.0000	400.0000	44.5569	0.0000	23.1983	19.0963	0.1387	2.1236	15.6436	7.3135	4.5240	17.2688	16.2846	3.6830	0.0000	0.0000	0.0000	1.9842	0.0000	3.4882	1.8603	2.8520	3.4963
9	400.0000	450.0000	28.4803	0.0000	15.6601	11.5634	0.0667	1.1900	19.5842	12.9129	20.7183	23.4581	28.5095	14.4676	0.0000	0.0000	0.0000	1.2077	0.0000	2.5430	1.1510	3.9067	13.9829
10	450.0000	500.0000	17.4920	0.0000	8.8976	7.6632	0.0000	0.9312	31.2432	8.0650	4.7959	32.2673	31.6091	6.4809	0.0000	0.0000	0.0000	2.3009	0.0000	3.6672	2.0531	0.1570	0.4864
11	500.0000	550.0000	12.2745	0.0000	8.0533	3.7233	0.0082	0.4897	40.6241	27.2598	11.7017	48.9226	42.2759	23.3255	0.0000	0.0000	0.0000	3.2267	0.0000	4.7254	2.5666	0.2821	12.6368
12	550.0000	600.0000	26.6755	0.0000	24.2281	2.0864	0.0000	0.3610	92.7002	14.0214	18.5581	93.7546	94.5396	18.5288	0.0000	0.0000	0.0000	0.3671	0.0000	0.8910	0.3615	0.0003	0.1793
13	600.0000	650.0000	6.3019	0.0000	3.9691	1.9570	0.0000	0.3758	36.3114	10.3148	8.2785	37.7480	37.2432	6.6020	0.0000	0.0000	0.0000	3.8527	0.0000	5.9268	3.5400	0.0014	0.5520
14	650.0000	700.0000	6.3127	0.0000	5.2557	0.9385	0.0125	0.1060	39.6171	12.0682	19.0867	41.4144	43.9751	9.6926	0.0000	0.0000	0.0000	4.3678	0.0000	6.5484	3.9607	0.0019	13.9742
15	700.0000	750.0000	2.8541	0.0000	1.9441	0.8309	0.0000	0.0791	62.9152	57.2909	59.2771	85.0915	86.4413	57.0009	0.0000	0.0000	0.0000	2.2751	0.0000	4.7564	2.3114	0.0000	53.2378
16	750.0000	800.0000	2.7049	0.0000	2.0729	0.4835	0.0337	0.1149	73.5026	11.7357	15.2703	74.4336	75.0721	14.8539	0.0000	0.0000	0.0000	1.5684	0.0000	2.8401	1.4742	0.3569	0.3623
17	800.0000	850.0000	0.6842	0.0000	0.2906	0.2451	0.0000	0.1485	278.9828	59.4025	308.2755	285.2369	415.7706	57.3028	0.0000	0.0000	0.0000	8.2132	0.0000	11.1833	7.2741	216.9028	216.8785
18	850.0000	900.0000	0.2482	0.0000	0.0000	0.1208	0.0000	0.1274	34.1258	4.5582	724.2958	34.4288	725.0993	3.9576	0.0000	0.0000	0.0000	1.8313	0.0000	3.2781	1.5660	512.1640	512.1137
19	900.0000	950.0000	0.2142	0.0000	0.0000	0.1950	0.0000	0.0192	39.8985	8.4160	15.3157	40.7765	42.7372	14.7696	0.0000	0.0000	0.0000	1.8075	0.0000	3.2493	1.6541	0.0000	0.0000
20	950.0000	1000.0000	4.1940	0.0000	3.6071	0.3673	0.0000	0.2196	50.8178	10.0448	10.7420	51.8011	51.9408	7.3258	0.0000	0.0000	0.0000	3.7671	0.0000	6.1298	3.3060	0.0005	0.2541
