Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
2	50.0000	100.0000	28.2863	0.0000	1.4432	23.5892	2.4440	0.8098	6.3417	3.3994	3.2550	7.1954	7.1283	0.2348	0.4356	3.0831	0.0000	0.0000	0.0000	0.0000	0.1501	1.3354
3	100.0000	150.0000	36.5945	0.0000	5.3834	27.5292	2.5998	1.0821	8.9416	3.0959	3.2897	9.4624	9.5276	0.7874	0.4203	2.9795	0.0000	0.0000	0.0000	0.0000	0.1153	1.0653
4	150.0000	200.0000	33.9854	0.0000	10.8209	20.8626	1.7176	0.5843	13.3758	3.5583	3.3501	13.8410	13.7889	1.2643	0.4089	3.2739	0.0000	0.0000	0.0000	0.0000	0.0976	0.5808
5	200.0000	250.0000	18.0687	0.0000	2.5993	14.1315	0.9484	0.3894	97.0116	2.8413	6.8651	97.0532	97.2542	6.7054	0.4863	1.2258	0.0000	0.0000	0.0000	0.0000	0.0000	0.8104
6	250.0000	300.0000	6.1896	0.0000	1.0179	7.8573	-3.5519	0.8664	93.3036	24.3195	25.8135	96.4209	96.8085	25.7007	0.4129	1.5475	0.0000	0.0000	0.0000	0.0000	0.0444	1.7999
7	300.0000	350.0000	9.9636	0.0000	4.2793	4.9559	0.6147	0.1138	33.0926	11.5901	11.9351	35.0635	35.1791	11.1930	0.4012	2.9473	0.0000	0.0000	0.0000	0.0000	0.5438	2.8317
8	350.0000	400.0000	9.0729	0.0000	6.7482	1.8580	0.1581	0.3087	34.3571	3.3852	3.0606	34.5235	34.4932	2.3540	0.4169	2.3968	0.0000	0.0000	0.0000	0.0000	0.0015	0.0017
10	450.0000	500.0000	2.7183	0.0000	1.7400	0.6951	0.0427	0.2405	64.5306	6.9013	8.4365	64.8986	65.0798	8.2485	0.4029	1.7245	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
11	500.0000	550.0000	2.3932	0.0000	1.6656	0.6035	0.0052	0.1189	70.0810	12.3037	10.3888	71.1528	70.8468	12.2011	0.4002	1.5345	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
12	550.0000	600.0000	0.6263	0.0000	0.0000	0.1724	0.2090	0.2448	30.5854	3.0747	4.7565	30.7395	30.9530	3.6291	0.3977	3.0489	0.0000	0.0000	0.0000	0.0000	0.0000	0.0103
13	600.0000	650.0000	0.1363	0.0000	0.0000	0.1056	0.0000	0.0307	53.7907	4.2568	5.6257	53.9589	54.0841	3.6781	0.4375	4.2343	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
14	650.0000	700.0000	0.1782	0.0000	0.0000	0.0327	0.0363	0.1091	52.2636	10.0860	8.6836	53.2280	52.9801	9.9517	0.4477	1.5779	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
15	700.0000	750.0000	1.7542	0.0000	1.7163	0.0230	0.0000	0.0149	97.8485	8.7785	12.5268	98.2415	98.6471	12.3250	0.3973	2.2036	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
16	750.0000	800.0000	0.0807	0.0000	0.0000	0.0575	0.0000	0.0232	72.2534	6.6960	11.5071	72.5630	73.1640	11.3367	0.4082	1.9305	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
17	800.0000	850.0000	0.0087	0.0000	0.0000	0.0000	0.0000	0.0087	13.8821	3.1864	2.8251	14.2431	14.1667	2.0785	0.3990	2.3819	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
18	850.0000	900.0000	0.0087	0.0000	0.0000	0.0000	0.0000	0.0087	21.9625	8.0413	6.5529	23.3883	22.9192	7.3647	0.4007	3.2036	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
19	900.0000	950.0000	0.0053	0.0000	0.0000	0.0000	0.0000	0.0053	14.6731	3.0059	2.3132	14.9779	14.8544	2.2102	0.4000	1.9975	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
20	950.0000	1000.0000	0.0148	0.0000	0.0000	0.0000	0.0000	0.0148	8.8174	2.8792	2.8013	9.2755	9.2516	1.8509	0.4025	2.1684	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
