Bin,Cut,Events,% of Total,Reduction (%),Survival (%)
1,Total,554.76,100.0,0.0,100.0
2,Met filter,554.09,99.9,0.1,99.9
3,! 4 object resolved,451.41,81.4,18.5,81.5
4,"Lead lep tight, pt, eta, id, iso",215.13,38.8,52.3,47.7
5,Trigger,207.94,37.5,3.3,96.7
6,! m(ll) 60~150,207.63,37.4,0.1,99.9
7,"fatjet pt eta sdm, dphi",94.94,17.1,54.3,45.7
8,no more tight lep,94.73,17.1,0.2,99.8
9,loose lep in fatjet pt eta,90.92,16.4,4.0,96.0
10,no of loose lep in fatjet,89.73,16.2,1.3,98.7
11,m(ll) > 200,89.73,16.2,0.0,100.0
12,M(llJ) > 800,88.84,16.0,1.0,99.0
