Bin,BinLow,BinHigh,MC_Total,Data,DYJets,TT,Nonprompt,Others,Stat_pct,SystUp_pct,SystDn_pct,TotalUp_pct,TotalDn_pct
1,0.0000,50.0000,26.3414,0.0000,6.8732,19.2081,0,0.2601,16.9468,7.0722,7.1892,18.3633,18.4087
2,50.0000,100.0000,37.8518,0.0000,-5.0320,41.6057,0,1.2781,18.6576,9.8792,11.5471,21.1117,21.9418
3,100.0000,150.0000,46.1316,0.0000,5.0887,39.7585,0,1.2844,13.3843,7.9828,7.6560,15.5842,15.4193
4,150.0000,200.0000,34.0072,0.0000,8.2754,23.8953,0,1.8365,21.3042,6.2026,6.5288,22.1888,22.2822
5,200.0000,250.0000,25.3259,0.0000,7.8990,15.9585,0,1.4683,21.5227,6.5153,5.7548,22.4873,22.2788
6,250.0000,300.0000,4.7436,0.0000,-4.9122,8.4909,0,1.1649,105.9103,11.1333,6.5869,106.4938,106.1149
7,300.0000,350.0000,6.4611,0.0000,0.3202,5.7358,0,0.4051,49.8806,6.3064,5.9851,50.2777,50.2384
8,350.0000,400.0000,12.9298,0.0000,9.1249,3.3828,0,0.4220,43.6565,5.0231,4.7519,43.9445,43.9143
9,400.0000,450.0000,6.8216,0.0000,4.2143,2.0527,0,0.5547,33.8957,6.9674,9.0606,34.6044,35.0858
10,450.0000,500.0000,5.0504,0.0000,4.0202,0.8789,0,0.1512,49.1807,7.1110,5.5021,49.6921,49.4875
11,500.0000,550.0000,1.1185,0.0000,0.2988,0.6762,0,0.1435,24.9295,32.8129,16.6295,41.2088,29.9669
12,550.0000,600.0000,1.9787,0.0000,1.4822,0.4640,0,0.0325,75.2160,3.3679,10.6248,75.2914,75.9627
13,600.0000,650.0000,2.2825,0.0000,1.7309,0.3990,0,0.1526,76.1478,13.6014,15.5592,77.3530,77.7211
14,650.0000,700.0000,0.2930,0.0000,0.0000,0.1527,0,0.1403,38.4535,4.5384,5.9595,38.7204,38.9126
15,700.0000,750.0000,0.1457,0.0000,0.0000,0.1155,0,0.0302,49.7454,6.4091,7.4617,50.1566,50.3019
16,750.0000,800.0000,0.3029,0.0000,0.1513,0.1414,0,0.0101,58.4881,56.9798,26.0961,81.6551,64.0458
17,800.0000,850.0000,0.0157,0.0000,0.0000,0.0087,0,0.0069,56.5241,37.8100,29.9780,68.0041,63.9816
18,850.0000,900.0000,0.0717,0.0000,0.0000,0.0659,0,0.0059,56.7535,7.5062,5.7859,57.2477,57.0477
19,900.0000,950.0000,0.0412,0.0000,0.0000,0.0322,0,0.0089,68.8040,5.3633,3.8388,69.0127,68.9110
20,950.0000,1000.0000,0.0155,0.0000,0.0000,0.0000,0,0.0155,17.1251,8.3974,5.9146,19.0731,18.1177
