Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-3.1400	-3.0144	0.6858	0.0000	0.0000	0.5991	0.0402	0.0464	23.0168	4.5120	3.9404	23.4548	23.3516	3.7192	0.4099	2.5213	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2	-3.0144	-2.8888	0.2234	0.0000	-0.4011	0.4653	0.0735	0.0857	541.8528	8.6434	8.6930	541.9217	541.9225	2.3963	0.0232	8.3562	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
3	-2.8888	-2.7632	0.6647	0.0000	0.0000	0.5275	0.1274	0.0098	27.6798	5.3821	5.1687	28.1982	28.1582	4.8203	0.3994	2.3605	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
4	-2.7632	-2.6376	0.3162	0.0000	0.0000	0.3179	0.0327	-0.0345	43.7661	9.2025	6.2796	44.7232	44.2144	8.7375	0.4157	2.8583	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
5	-2.6376	-2.5120	0.8374	0.0000	0.0000	0.5601	0.1557	0.1216	27.1734	2.1608	2.9273	27.2592	27.3306	1.5774	0.4176	2.1200	0.0000	0.0000	0.0000	0.0000	0.8402	0.8402
6	-2.5120	-2.3864	0.5365	0.0000	0.0000	0.5292	0.0000	0.0072	27.2445	7.3897	6.2693	28.2289	27.9565	7.0400	0.4048	2.2097	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
7	-2.3864	-2.2608	1.0712	0.0000	0.0000	0.8787	0.1342	0.0582	21.5781	2.6473	3.2449	21.7399	21.8207	2.3713	0.4212	2.1747	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
8	-2.2608	-2.1352	0.7034	0.0000	0.0000	0.5856	0.0743	0.0436	25.1550	2.7556	3.2304	25.3055	25.3616	1.6860	0.4151	2.7241	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
9	-2.1352	-2.0096	0.7418	0.0000	0.0000	0.6602	0.0732	0.0084	25.4925	3.4038	2.7008	25.7188	25.6352	2.3292	0.4307	2.4444	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
10	-2.0096	-1.8840	0.5554	0.0000	0.0000	0.4489	0.1005	0.0061	28.7649	5.5228	4.4009	29.2902	29.0996	4.6977	0.4150	2.8742	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
11	-1.8840	-1.7584	0.4703	0.0000	0.0000	0.4460	0.0619	-0.0376	32.3286	2.9013	2.6808	32.4585	32.4396	1.1718	0.4160	2.6213	0.0000	0.0000	0.0000	0.0000	0.0000	0.0252
12	-1.7584	-1.6328	0.7602	0.0000	0.0000	0.6015	0.0576	0.1011	28.2932	4.6286	5.1755	28.6693	28.7627	4.1360	0.4110	3.0839	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
