Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	0.0000	50.0000	156.5742	131.0000	145.6730	4.6439	0.0841	6.1732	13.1136	0.0000	11.7499	13.1136	17.6076	4.4995	2.5547	2.5547	2.5547	2.5547	2.5547	2.5547	2.3302	8.5572
2	50.0000	100.0000	429.4855	514.0000	390.6107	12.6481	0.8049	25.4218	8.7873	0.0000	15.5189	8.7873	17.8341	6.0104	4.6567	4.6567	4.6567	4.6567	4.6567	4.6567	7.3196	4.5850
3	100.0000	150.0000	718.1127	741.0000	666.7649	18.9055	0.5774	31.8648	6.2614	1.0872	10.3381	6.3551	12.0864	4.0806	3.3421	3.3421	3.3421	3.3421	3.3421	3.3421	2.9009	3.8461
4	150.0000	200.0000	574.2338	594.0000	529.0743	19.3798	1.6469	24.1328	7.2269	5.4870	15.9628	9.0739	17.5226	4.0448	2.6122	2.6122	2.6122	2.6122	2.6122	2.6122	4.6756	13.2533
5	200.0000	250.0000	404.9734	386.0000	361.0699	17.8579	1.1210	24.9246	8.5810	0.0000	20.2724	8.5810	22.0137	5.1743	4.1978	4.1978	4.1978	4.1978	4.1978	4.1978	7.4436	14.9353
6	250.0000	300.0000	319.0268	282.0000	277.1814	16.3075	1.5673	23.9706	8.3665	2.6296	24.8994	8.7700	26.2675	5.8876	5.6422	5.6422	5.6422	5.6422	5.6422	5.6422	5.2787	19.1428
7	300.0000	350.0000	132.2689	137.0000	103.2370	11.1293	0.5822	17.3204	15.2613	25.3596	34.9974	29.5976	38.1801	11.4987	10.5845	10.5845	10.5845	10.5845	10.5845	10.5845	14.2479	25.3596
8	350.0000	400.0000	93.2295	87.0000	77.0188	8.5477	0.7522	6.9108	15.1929	0.0000	22.9833	15.1929	27.5509	5.6751	5.3631	5.3631	5.3631	5.3631	5.3631	5.3631	6.8372	16.6343
9	400.0000	450.0000	71.3378	51.0000	55.7981	6.6843	0.6111	8.2443	15.4924	0.0000	36.3288	15.4924	39.4943	11.7187	9.8125	9.8125	9.8125	9.8125	9.8125	9.8125	9.6173	22.6330
10	450.0000	500.0000	33.7050	20.0000	21.4158	4.9460	0.4251	6.9180	22.1613	0.0000	57.1225	22.1613	61.2707	18.3837	17.8015	17.8015	17.8015	17.8015	17.8015	17.8015	26.3908	18.0880
11	500.0000	550.0000	16.6681	19.0000	8.6905	3.0484	0.4961	4.4331	29.4751	4.6233	71.6715	29.8355	77.4957	26.3081	23.9979	23.9979	23.9979	23.9979	23.9979	23.9979	27.6633	14.9679
12	550.0000	600.0000	4.4264	9.0000	2.1377	1.7830	0.1464	0.3593	92.8345	129.7796	110.9796	159.5650	144.6883	13.7771	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	15.9378	128.6170
13	600.0000	650.0000	2.8479	7.0000	0.9708	1.4552	0.0864	0.3354	27.4406	71.1005	83.4908	76.2120	87.8845	8.9395	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	29.3388	83.1091
14	650.0000	700.0000	3.2533	3.0000	1.9372	1.1225	0.1180	0.0757	43.5097	18.6921	75.7145	47.3549	87.3258	6.5221	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	22.1538	72.1066
15	700.0000	750.0000	2.9192	3.0000	0.8716	0.8838	0.1034	1.0604	49.7873	0.0000	132.9314	49.7873	141.9491	46.4568	34.2560	34.2560	34.2560	34.2560	34.2560	34.2560	35.7282	84.8243
17	800.0000	850.0000	2.9771	0.0000	1.4679	0.4446	0.0000	1.0645	59.8395	0.0000	128.2556	59.8395	141.5284	45.6932	33.5902	33.5902	33.5902	33.5902	33.5902	33.5902	35.3266	79.6485
18	850.0000	900.0000	0.2260	1.0000	0.0000	0.2189	0.0000	0.0071	38.0587	728.5797	2.6240	729.5731	38.1490	2.6240	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	27.1094	728.0735
