Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-3.1400	-3.0144	2.4134	0.0000	0.2043	2.1050	0.0000	0.1040	14.5801	12.3560	12.3741	19.1115	19.1232	11.8727	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0180	11.2707
2	-3.0144	-2.8888	1.9661	0.0000	0.0381	1.8867	0.0267	0.0146	109.4991	18.5237	17.9615	111.0548	110.9624	17.5879	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.7065	6.1471
3	-2.8888	-2.7632	2.0319	0.0000	0.2537	1.7899	0.0000	-0.0117	59.5709	20.2439	1.9514	62.9167	59.6029	1.5772	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.8787	20.1824
4	-2.7632	-2.6376	6.3760	0.0000	4.0784	2.2450	0.0218	0.0309	30.0836	4.3573	3.3476	30.3975	30.2692	4.0627	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0017	3.0157
5	-2.6376	-2.5120	2.3740	0.0000	0.5121	1.7935	0.0000	0.0684	24.6404	9.1963	8.4190	26.3006	26.0390	8.1594	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.3952	4.4942
6	-2.5120	-2.3864	3.2509	0.0000	1.0527	1.9052	0.1991	0.0939	82.6114	4.0765	7.1704	82.7119	82.9220	7.0717	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.1859	2.2465
7	-2.3864	-2.2608	2.8711	0.0000	0.3776	2.2776	0.0000	0.2159	17.3951	7.8178	11.4421	19.0711	20.8209	6.0211	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.4208	9.9628
8	-2.2608	-2.1352	2.4129	0.0000	0.0000	2.3563	0.0218	0.0349	12.9269	70.0336	4.6185	71.2167	13.7272	0.7616	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.0738	69.9661
9	-2.1352	-2.0096	2.3592	0.0000	0.0000	2.1684	0.0000	0.1908	12.8160	9.2672	5.3800	15.8155	13.8995	2.5814	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	3.8135	8.9004
10	-2.0096	-1.8840	3.6112	0.0000	1.4019	2.1232	0.0000	0.0862	28.6856	9.8140	9.6030	30.3179	30.2503	9.1130	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6789	5.2924
