Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-3.1400	-3.0144	158.9805	0.0000	88.2603	2.3396	0.0000	68.3806	12.1937	0.0000	130.9232	12.1937	131.4898	45.9061	42.6497	44.2846	42.1435	42.1435	42.1435	42.1435	43.0419	47.9214
2	-3.0144	-2.8888	181.7263	0.0000	75.3154	2.3222	0.0240	104.0648	10.8467	0.0000	170.4203	10.8467	170.7651	58.2112	56.4807	57.1615	56.1284	56.1284	56.1284	56.1284	56.1506	58.6733
3	-2.8888	-2.7632	199.3737	0.0000	89.4734	2.4919	0.0214	107.3871	10.7398	0.0000	161.4378	10.7398	161.7946	56.4361	53.5695	55.2795	53.1665	53.1665	53.1665	53.1665	53.1657	53.0878
4	-2.7632	-2.6376	178.4150	0.0000	66.3978	2.6334	0.1147	109.2691	10.6353	0.0000	182.3863	10.6353	182.6961	61.4763	60.3179	61.6001	59.9725	59.9725	59.9725	59.9725	60.8150	62.9866
5	-2.6376	-2.5120	179.8741	0.0000	73.1789	1.7360	0.0227	104.9364	11.6783	0.0000	175.3284	11.6783	175.7169	58.0665	57.6151	58.6840	57.2623	57.2623	57.2623	57.2623	58.6485	63.6359
6	-2.5120	-2.3864	205.7788	0.0000	106.9152	2.7762	0.0278	96.0595	10.8819	0.0000	139.7522	10.8819	140.1752	47.1508	46.1427	47.2319	45.6801	45.6801	45.6801	45.6801	46.7449	49.1498
7	-2.3864	-2.2608	169.0937	0.0000	81.9951	2.1259	0.1548	84.8178	11.8043	0.0000	150.4262	11.8043	150.8886	53.4960	49.5072	50.7501	49.0852	49.0852	49.0852	49.0852	49.5654	51.4346
8	-2.2608	-2.1352	188.2331	0.0000	80.5888	2.4802	0.1152	105.0489	10.4897	0.0000	165.3950	10.4897	165.7273	56.1060	55.0854	56.3079	54.7194	54.7194	54.7194	54.7194	54.7197	55.0596
9	-2.1352	-2.0096	222.1694	0.0000	96.5106	2.3516	0.0437	123.2635	9.4624	0.0000	169.7257	9.4624	169.9893	62.6175	55.2907	56.2768	54.9130	54.9130	54.9130	54.9130	55.2808	59.5313
10	-2.0096	-1.8840	224.8550	0.0000	127.3491	2.3479	0.0000	95.1580	9.3343	0.0000	126.6413	9.3343	126.9848	44.0151	41.8388	42.9978	41.3600	41.3600	41.3600	41.3600	41.3580	44.1397
11	-1.8840	-1.7584	187.2751	0.0000	94.9039	2.2376	0.0747	90.0589	10.7578	0.0000	143.7456	10.7578	144.1476	50.1304	47.4447	48.8467	46.9897	46.9897	46.9897	46.9897	48.1201	48.6319
12	-1.7584	-1.6328	212.4995	0.0000	105.6855	2.6850	0.0000	104.1290	10.0888	0.0000	146.3161	10.0888	146.6635	50.0512	48.4399	49.3367	48.0001	48.0001	48.0001	48.0001	48.5712	50.4733
13	-1.6328	-1.5072	186.7696	0.0000	97.8565	2.0792	0.0562	86.7776	10.0363	0.0000	138.2929	10.0363	138.6566	46.4546	45.9681	47.0828	45.5106	45.5106	45.5106	45.5106	45.6982	47.5798
14	-1.5072	-1.3816	162.3641	0.0000	70.4447	2.4050	0.0279	89.4866	12.7964	0.0000	167.8320	12.7964	168.3192	62.5475	54.5850	55.3952	54.1992	54.1992	54.1992	54.1992	54.4181	59.1246
15	-1.3816	-1.2560	135.1587	0.0000	61.0421	2.2571	0.0907	71.7687	13.7286	0.0000	158.9834	13.7286	159.5750	59.0814	52.1994	53.4931	51.7910	51.7910	51.7910	51.7910	52.0716	52.5179
16	-1.2560	-1.1304	173.5379	0.0000	81.6911	2.3294	0.0000	89.5174	10.9509	0.0000	155.1754	10.9509	155.5613	53.5421	51.1251	52.2639	50.7094	50.7094	50.7094	50.7094	51.7940	53.8419
17	-1.1304	-1.0048	179.4260	0.0000	83.0547	2.5542	0.0000	93.8171	11.3186	0.0000	156.7470	11.3186	157.1551	55.4026	51.6959	53.3243	51.2746	51.2746	51.2746	51.2746	52.3507	52.2234
18	-1.0048	-0.8792	142.3639	0.0000	63.8762	1.8399	0.0178	76.6300	12.9845	0.0000	158.1640	12.9845	158.6961	54.2232	52.3644	52.9969	51.9795	51.9795	51.9795	51.9795	51.9821	54.9125
19	-0.8792	-0.7536	168.2304	0.0000	64.4987	2.2663	0.0982	101.3672	11.5759	0.0000	178.3867	11.5759	178.7619	59.6411	59.1815	60.4206	58.8479	58.8479	58.8479	58.8479	57.6438	62.7422
20	-0.7536	-0.6280	226.3432	0.0000	126.3396	2.3280	0.0265	97.6491	9.1336	0.0000	129.8930	9.1336	130.2138	42.7650	42.9160	44.6051	42.4135	42.4135	42.4135	42.4135	43.0985	46.4635
21	-0.6280	-0.5024	169.0173	0.0000	63.9232	2.2969	0.0997	102.6975	11.7852	0.0000	182.1784	11.7852	182.5591	65.4674	60.1131	61.4258	59.7572	59.7572	59.7572	59.7572	60.3554	59.9149
22	-0.5024	-0.3768	197.9403	0.0000	108.6554	1.8099	0.0286	87.4463	10.3023	0.0000	133.7589	10.3023	134.1551	46.4982	43.9260	45.0790	43.4474	43.4474	43.4474	43.4474	44.0096	47.7512
23	-0.3768	-0.2512	180.1019	0.0000	75.9408	2.3883	0.1097	101.6631	11.3965	0.0000	169.4954	11.3965	169.8781	65.3667	55.3351	55.8447	54.9689	54.9689	54.9689	54.9689	54.7707	56.4723
24	-0.2512	-0.1256	196.9383	0.0000	82.5414	2.2031	0.0000	112.1938	10.2696	0.0000	170.4912	10.2696	170.8002	59.9366	56.2165	57.3516	55.8550	55.8550	55.8550	55.8550	55.8549	58.5357
25	-0.1256	0.0000	171.0010	0.0000	79.9697	2.3326	0.0250	88.6737	12.2831	0.0000	152.1165	12.2831	152.6116	52.3873	50.7056	51.9714	50.2921	50.2921	50.2921	50.2921	50.1111	49.9460
26	0.0000	0.1256	161.8088	0.0000	67.9550	2.3531	0.0574	91.4434	11.9284	0.0000	170.6325	11.9284	171.0489	60.1477	56.0148	57.4336	55.6212	55.6212	55.6212	55.6212	56.3563	59.2497
27	0.1256	0.2512	179.9359	0.0000	101.8747	1.4244	0.1469	76.4899	10.6536	0.0000	130.5375	10.6536	130.9715	51.1765	42.1683	43.9573	41.6815	41.6815	41.6815	41.6815	40.9675	45.6383
28	0.2512	0.3768	213.1140	0.0000	101.2083	2.2919	0.0414	109.5724	9.6275	0.0000	155.4971	9.6275	155.7948	51.8348	51.1016	52.5024	50.6771	50.6771	50.6771	50.6771	52.1928	55.9272
29	0.3768	0.5024	204.8479	0.0000	100.1516	2.4832	0.0262	102.1868	9.8570	0.0000	147.7013	9.8570	148.0299	48.7867	49.2390	50.4440	48.8167	48.8167	48.8167	48.8167	49.1513	50.1830
30	0.5024	0.6280	176.6217	0.0000	94.1295	2.5130	0.0573	79.9219	11.3149	0.0000	134.9691	11.3149	135.4426	44.9567	44.6141	46.1651	44.1622	44.1622	44.1622	44.1622	44.1728	48.1819
31	0.6280	0.7536	201.5581	0.0000	80.4792	2.3115	0.0748	118.6926	9.7316	0.0000	177.3194	9.7316	177.5862	59.9884	58.4007	59.5808	58.0478	58.0478	58.0478	58.0478	58.2786	63.3123
32	0.7536	0.8792	153.8293	0.0000	74.6311	1.9313	0.0000	77.2669	12.4518	0.0000	152.2431	12.4518	152.7514	54.3777	49.8221	50.5790	49.4054	49.4054	49.4054	49.4054	49.4153	54.5443
33	0.8792	1.0048	157.9211	0.0000	68.5540	2.3089	0.0294	87.0288	12.1378	0.0000	163.2210	12.1378	163.6717	54.7190	54.2113	55.5417	53.8243	53.8243	53.8243	53.8243	53.8059	56.0345
