Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
2	-2.4000	-2.3000	13.7233	8.0000	0.0000	7.3536	0.0943	6.2753	18.2866	0.0000	133.7073	18.2866	134.9520	44.3257	43.9653	44.7432	43.7212	43.7212	43.9209	43.7909	43.6408	49.0271
3	-2.3000	-2.2000	18.7142	9.0000	0.0000	8.2720	0.0331	10.4092	17.1838	0.0000	162.3913	17.1838	163.2979	53.7980	53.6363	54.2100	53.4352	53.4352	53.6014	53.4988	53.4215	57.9775
4	-2.2000	-2.1000	18.4476	13.0000	0.0000	8.0880	0.1869	10.1727	17.4156	0.0000	163.6386	17.4156	164.5628	53.5995	54.4033	55.0550	54.2076	54.2076	54.3631	54.2713	54.2869	56.4731
5	-2.1000	-2.0000	14.5323	7.0000	0.0000	7.8292	0.1560	6.5472	17.3087	0.0000	124.8241	17.3087	126.0184	41.2528	41.5410	42.3627	41.2872	41.2872	41.5248	41.3916	40.9271	42.8617
6	-2.0000	-1.9000	25.7520	12.0000	0.0000	8.2715	0.1163	17.3643	16.1610	0.0000	198.8773	16.1610	199.5328	66.3908	66.1592	66.6545	66.0142	66.0142	66.1509	66.0639	66.3438	66.8353
7	-1.9000	-1.8000	23.7171	11.0000	0.0000	11.0692	0.1951	12.4528	14.8945	0.0000	153.8894	14.8945	154.6085	52.0455	50.8101	51.5053	50.5964	50.5964	50.7970	50.6809	51.1886	53.3815
8	-1.8000	-1.7000	20.4370	11.0000	0.0000	10.0290	0.1548	10.2532	15.7715	0.0000	148.6618	15.7715	149.4961	51.4665	49.1529	49.8013	48.9310	48.9310	49.1133	49.0168	48.9815	50.5266
9	-1.7000	-1.6000	21.5539	12.0000	0.0000	11.0951	0.2185	10.2403	14.9918	0.0000	140.7742	14.9918	141.5702	46.7332	46.6240	47.3896	46.3953	46.3953	46.5941	46.4755	46.8346	48.8293
10	-1.6000	-1.5000	28.9088	17.0000	0.0000	11.3203	0.2838	17.3046	14.4557	0.0000	177.3835	14.4557	177.9716	58.9997	58.9832	59.5824	58.8057	58.8057	58.9572	58.8722	59.0078	60.1236
11	-1.5000	-1.4000	25.6578	16.0000	0.0000	12.1743	0.2255	13.2579	14.3140	0.0000	153.1219	14.3140	153.7895	52.0011	50.8803	51.5470	50.6669	50.6669	50.8496	50.7434	50.4992	51.4908
12	-1.4000	-1.3000	26.7561	15.0000	0.0000	11.7673	0.4472	14.5416	14.2191	0.0000	158.6665	14.2191	159.3023	53.2325	52.5294	53.1009	52.3245	52.3245	52.4953	52.3954	52.5466	54.9947
13	-1.3000	-1.2000	21.6836	13.0000	0.0000	12.9710	0.3534	8.3592	13.4665	0.0000	113.3775	13.4665	114.1745	38.6080	37.1667	38.0259	36.8942	36.8942	37.1403	36.9980	37.4662	40.7704
