Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
5	-2.1000	-2.0000	0.0038	0.0000	0	0.0000	0	0.0038	100.0000	0.0000	28.8985	100.0000	104.0919	28.8985	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
6	-2.0000	-1.9000	0.0149	0.0000	0	0.0149	0	0.0000	100.0000	22.6271	20.4582	102.5280	102.0712	22.6271	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
8	-1.8000	-1.7000	0.0016	0.0000	0	0.0000	0	0.0016	100.0000	34.7178	33.5188	105.8552	105.4681	34.7178	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
10	-1.6000	-1.5000	1.0000	1.0000	0	0.0000	0	1.0000	100.0000	0.0000	300.0000	100.0000	316.2278	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000	100.0000
15	-1.1000	-1.0000	0.0279	0.0000	0	0.0000	0	0.0279	97.1836	25.7074	45.1279	100.5262	107.1503	45.1279	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
19	-0.7000	-0.6000	0.0007	1.0000	0	0.0000	0	0.0007	100.0000	26.5033	20.4524	103.4525	102.0701	26.5033	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
22	-0.4000	-0.3000	0.0063	0.0000	0	0.0000	0	0.0063	100.0000	180.9941	75.7117	206.7822	125.4283	180.9941	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
23	-0.3000	-0.2000	0.0193	0.0000	0	0.0189	0	0.0005	97.6331	52.0515	32.2436	110.6417	102.8196	52.0515	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
24	-0.2000	-0.1000	0.0022	0.0000	0	0.0000	0	0.0022	100.0000	0.0000	20.7405	100.0000	102.1282	20.7405	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
27	0.1000	0.2000	0.0006	0.0000	0	0.0000	0	0.0006	100.0000	65.2434	35.5601	119.4014	106.1345	65.2434	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
28	0.2000	0.3000	0.0019	0.0000	0	0.0000	0	0.0019	100.0000	52.1342	32.1203	112.7740	105.0320	52.1342	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
30	0.4000	0.5000	0.0028	0.0000	0	0.0000	0	0.0028	100.0000	8.3485	27.0340	100.3479	103.5898	27.0340	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
34	0.8000	0.9000	0.0378	0.0000	0	0.0378	0	0.0000	100.0000	2.4877	28.8985	100.0309	104.0919	28.8985	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.7591	1.7591
