Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-5.0000	-4.8000	0.1057	3.0000	0.0654	0.0246	0.0000	0.0157	66.5923	15.8828	26.8897	68.4602	71.8164	26.8681	0.8227	0.7016	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2	-4.8000	-4.6000	0.1033	3.0000	0.0000	0.0061	0.0075	0.0896	27.9616	2.8380	10.7232	28.1053	29.9473	10.6424	0.8363	1.0218	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
3	-4.6000	-4.4000	0.6064	4.0000	0.3916	0.0638	0.0000	0.1510	58.7647	14.7569	16.4115	60.5892	61.0133	16.3064	0.9461	1.6117	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
4	-4.4000	-4.2000	0.5644	10.0000	0.0270	0.2809	0.0000	0.2565	20.8741	2.4665	6.3169	21.0194	21.8090	6.2028	0.8257	0.8718	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
5	-4.2000	-4.0000	2.5566	11.0000	1.8474	0.2077	0.0111	0.4904	37.4389	2.3783	10.8066	37.5144	38.9674	10.6625	0.9500	1.4943	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
6	-4.0000	-3.8000	5.9680	16.0000	5.1027	0.3186	0.0143	0.5323	34.2164	20.5583	7.6686	39.9175	35.0652	20.5091	0.8343	1.1514	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
7	-3.8000	-3.6000	10.4892	34.0000	8.7782	0.6004	0.0000	1.1106	20.3025	13.2913	16.0943	24.2662	25.9079	16.0391	0.8526	1.0322	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
8	-3.6000	-3.4000	12.4535	54.0000	10.1346	0.5966	0.0038	1.7185	17.8615	13.6997	16.3861	22.5103	24.2391	16.3212	0.8743	1.1761	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
9	-3.4000	-3.2000	30.8953	84.0000	26.3549	1.2866	0.0083	3.2455	14.9365	18.3303	6.9787	23.6453	16.4864	18.2694	0.8774	1.2078	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
10	-3.2000	-3.0000	57.9797	161.0000	49.9615	2.8843	0.0793	5.0546	10.2658	2.1266	4.2389	10.4838	11.1066	3.9788	0.8799	1.1779	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
