Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	0.0000	50.0000	84.9510	0.0000	6.9027	74.1066	2.0520	1.8898	1.9608	1.6885	2.5598	2.5876	3.2244	1.9314	0.8648	1.4502	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2	50.0000	100.0000	250.0060	0.0000	40.1570	197.5576	6.4319	5.8595	1.1864	2.0039	2.0652	2.3288	2.3817	0.9601	0.8649	1.6226	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
3	100.0000	150.0000	369.4766	0.0000	94.1833	254.9890	9.1853	11.1190	1.0432	2.1552	2.1707	2.3944	2.4083	1.0410	0.8591	1.7134	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
4	150.0000	200.0000	394.4906	0.0000	131.2032	240.4073	8.8654	14.0146	0.9464	1.9564	1.9327	2.1733	2.1520	0.4085	0.8512	1.7135	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
5	200.0000	250.0000	333.4674	0.0000	122.1276	189.9031	7.9814	13.4553	0.9972	2.0666	2.3197	2.2946	2.5250	1.1665	0.8462	1.8331	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
6	250.0000	300.0000	244.3964	0.0000	87.9013	140.3757	5.5569	10.5624	1.1621	2.2685	2.3236	2.5489	2.5980	0.5728	0.8395	2.1074	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
7	300.0000	350.0000	161.3835	0.0000	56.6184	93.4462	4.2058	7.1131	1.3848	2.6352	2.6099	2.9769	2.9546	0.1006	0.8324	2.4983	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
8	350.0000	400.0000	100.1958	0.0000	31.2690	61.4044	2.7293	4.7931	1.6737	3.3811	3.5702	3.7727	3.9430	1.2463	0.8297	3.2747	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
9	400.0000	450.0000	60.3400	0.0000	18.0468	37.4669	2.0329	2.7934	2.0761	4.9657	4.8867	5.3822	5.3094	0.2262	0.8262	4.8912	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
10	450.0000	500.0000	35.0409	0.0000	10.9014	20.7587	1.4024	1.9784	2.5892	8.0868	8.0617	8.4912	8.4673	2.5626	0.8235	7.9521	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
11	500.0000	550.0000	23.0935	0.0000	6.7454	14.2094	0.8615	1.2772	3.4067	13.6823	11.8202	14.1001	12.3014	3.7630	0.8198	13.1291	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
12	550.0000	600.0000	13.9872	0.0000	4.5898	7.6632	0.6656	1.0686	3.9526	18.4624	15.6957	18.8807	16.1857	2.6107	0.8168	18.2586	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
13	600.0000	650.0000	8.8761	0.0000	2.9204	4.7336	0.5030	0.7190	5.0644	20.8885	17.6993	21.4937	18.4096	5.0998	0.8165	20.2399	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
14	650.0000	700.0000	4.8101	0.0000	1.9256	1.9998	0.4389	0.4459	6.1346	23.5691	20.0832	24.3543	20.9993	4.5144	0.8179	23.1182	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
15	700.0000	750.0000	3.4485	0.0000	1.3049	1.6070	0.2653	0.2713	7.2664	23.5841	21.2564	24.6782	22.4641	7.3243	0.8099	23.4018	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
16	750.0000	800.0000	2.3469	0.0000	0.9045	1.0742	0.1357	0.2325	8.9976	26.0899	22.1421	27.5978	23.9005	1.8293	0.8065	26.0675	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
17	800.0000	850.0000	1.5847	0.0000	0.6287	0.5646	0.2005	0.1909	9.2314	30.5825	27.4426	31.9454	28.9537	10.9336	0.8080	29.5444	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
18	850.0000	900.0000	1.0376	0.0000	0.4892	0.3547	0.0732	0.1205	14.2158	30.4657	25.7981	33.6192	29.4556	4.7303	0.8100	30.0853	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
19	900.0000	950.0000	0.8421	0.0000	0.3288	0.3754	0.0867	0.0512	17.3010	23.3380	19.3139	29.0515	25.9298	5.4582	0.8172	22.6761	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
20	950.0000	1000.0000	0.4829	0.0000	0.2456	0.1009	0.0653	0.0711	12.2764	34.8238	29.1233	36.9244	31.6050	13.2999	0.8056	32.1740	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
21	1000.0000	1050.0000	0.2896	0.0000	0.1843	0.0315	0.0363	0.0375	10.5783	36.2150	29.7819	37.7284	31.6048	7.6318	0.8122	35.3924	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
