Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-3.1400	-3.0144	47.6571	46.0000	43.1837	0.7802	0.5586	3.1346	21.3000	7.8061	5.0827	22.6854	21.8981	7.2503	0.4268	2.7410	0.8003	0.0000	0.0000	0.0000	0.0000	0.1810	3.2629
2	-3.0144	-2.8888	63.6612	46.0000	59.1933	0.7792	0.7527	2.9360	18.0570	8.6010	7.0422	20.0008	19.3817	7.8967	0.4285	3.2256	0.8365	0.0000	0.0000	0.0000	0.0000	0.7572	0.5758
3	-2.8888	-2.7632	60.3883	52.0000	47.5173	0.5884	9.5251	2.7575	25.1069	7.4796	7.7258	26.1973	26.2687	7.1327	0.4308	2.7138	0.9514	0.0000	0.0000	0.0000	0.0000	0.7325	2.8927
4	-2.7632	-2.6376	41.3702	32.0000	35.6014	0.7380	1.0899	3.9409	24.3848	6.1291	3.5068	25.1433	24.6357	4.5567	0.4120	2.2960	0.6251	0.0000	0.0000	0.0000	0.0000	0.0016	3.3121
5	-2.6376	-2.5120	52.3436	37.0000	48.4271	0.2647	0.9578	2.6940	24.1629	6.1046	9.3946	24.9221	25.9250	9.2275	0.4174	1.5364	0.7587	0.0000	0.0000	0.0000	0.0000	0.0259	0.0308
6	-2.5120	-2.3864	53.4899	36.0000	49.8685	0.4864	0.7356	2.3994	22.7468	7.6975	8.7856	24.0139	24.3845	5.6930	0.4641	2.8565	1.0381	0.0000	0.0000	0.0000	0.0000	3.7319	6.4863
7	-2.3864	-2.2608	28.9529	40.0000	25.1829	0.4910	0.6190	2.6600	34.4625	8.4846	1.9603	35.4915	34.5182	5.8978	0.4307	1.6881	0.8987	0.0000	0.0000	0.0000	0.0000	0.0002	5.7759
8	-2.2608	-2.1352	41.2413	46.0000	37.6524	0.4329	1.0217	2.1343	29.7332	8.6773	8.6179	30.9735	30.9569	8.4246	0.4101	1.9420	0.6185	0.0000	0.0000	0.0000	0.0000	0.0004	7.8137
9	-2.1352	-2.0096	51.5396	45.0000	47.2784	0.9038	0.7804	2.5770	23.8382	9.3317	6.8240	25.5996	24.7957	9.1439	0.4228	1.3783	0.8146	0.0000	0.0000	0.0000	0.0000	0.0006	2.5141
10	-2.0096	-1.8840	59.6907	42.0000	55.6823	0.6792	0.5966	2.7325	19.7594	8.6386	7.9457	21.5652	21.2971	7.0245	0.4240	3.1170	0.9244	0.0000	0.0000	0.0000	0.0000	0.0002	6.2059
11	-1.8840	-1.7584	44.4464	51.0000	36.3562	0.7237	4.4510	2.9155	26.6797	10.1317	12.9690	28.5387	29.6648	9.7466	0.4348	2.6190	0.7802	0.0000	0.0000	0.0000	0.0000	0.0007	10.9388
12	-1.7584	-1.6328	48.1863	51.0000	44.4634	0.8054	0.5781	2.3395	21.2466	8.5062	7.0169	22.8861	22.3754	7.3189	0.4403	3.6097	0.8454	0.0000	0.0000	0.0000	0.0000	0.0004	2.2024
13	-1.6328	-1.5072	68.1834	35.0000	64.9496	0.5898	0.3800	2.2641	16.4859	2.5824	3.3143	16.6869	16.8157	2.0758	0.4243	2.4117	0.8202	0.0000	0.0000	0.0000	0.0000	0.0004	0.0804
14	-1.5072	-1.3816	55.9624	45.0000	51.9952	0.4840	0.8620	2.6212	19.8046	2.7525	3.9885	19.9950	20.2022	0.5411	0.4241	2.5015	0.9195	0.0000	0.0000	0.0000	0.0000	2.0750	2.0782
15	-1.3816	-1.2560	54.0217	32.0000	49.2515	0.4571	0.2536	4.0595	21.0944	9.9483	11.4625	23.3225	24.0075	10.4319	0.4280	2.8123	0.9098	0.0000	0.0000	0.0000	0.0000	0.0103	3.6938
16	-1.2560	-1.1304	29.5071	30.0000	24.8331	0.6323	0.7375	3.3042	36.7966	7.7681	3.2758	37.6076	36.9421	4.7275	0.3937	3.1767	0.6961	0.0000	0.0000	0.0000	0.0000	0.0092	5.2214
17	-1.1304	-1.0048	58.7744	46.0000	54.8770	0.7475	0.5235	2.6264	18.3763	11.7659	9.4825	21.8203	20.6786	11.4265	0.4333	2.2604	0.9510	0.0000	0.0000	0.0000	0.0000	0.0008	1.2922
18	-1.0048	-0.8792	43.2118	34.0000	39.6721	0.8334	0.6371	2.0691	25.2476	11.5477	8.1790	27.7632	26.5394	11.1356	0.3981	2.9451	0.4486	0.0000	0.0000	0.0000	0.0000	0.5521	3.4665
