Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	0.0000	10.0000	0.7910	0.0000	0.0000	0.5976	0.1893	0.0041	23.5343	1.9018	2.2085	23.6110	23.6377	1.3126	0.4057	1.6520	0.5107	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
2	10.0000	20.0000	2.2959	0.0000	0.0000	2.2401	0.0487	0.0072	16.3592	6.2154	4.9726	17.5001	17.0982	5.7824	0.4221	2.1062	0.7617	0.0000	0.0000	0.0000	0.0000	0.0058	0.0000
3	20.0000	30.0000	3.8283	0.0000	0.0000	3.1134	0.5891	0.1258	12.0688	9.1839	5.3404	15.1657	13.1976	8.8173	0.4187	2.4176	0.7610	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
5	40.0000	50.0000	5.9239	0.0000	0.0000	4.7705	0.9555	0.1980	9.5728	3.6628	2.7634	10.2496	9.9637	2.4040	0.4257	2.6362	0.7113	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
6	50.0000	60.0000	9.7084	0.0000	1.9038	7.0727	0.4658	0.2660	20.6199	29.1625	12.2557	35.7160	23.9871	29.0250	0.4446	2.6035	1.0129	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
7	60.0000	70.0000	9.5584	0.0000	0.8364	7.9557	0.5980	0.1683	12.7746	3.6216	3.6763	13.2781	13.2931	1.3016	0.4292	3.2144	0.6981	0.0000	0.0000	0.0000	0.0000	0.0000	1.0568
8	70.0000	80.0000	11.3329	0.0000	2.1455	8.0831	0.5925	0.5119	29.3035	3.1533	7.2226	29.4726	30.1804	6.9603	0.4157	1.7141	0.7802	0.0000	0.0000	0.0000	0.0000	0.0231	0.0004
9	80.0000	90.0000	8.2622	0.0000	0.0000	7.3668	0.8883	0.0071	7.6977	3.2707	2.8416	8.3638	8.2055	1.7666	0.4270	2.5148	0.7895	0.0000	0.0000	0.0000	0.0000	0.0000	0.6685
10	90.0000	100.0000	8.3071	0.0000	-1.7333	8.8532	1.1277	0.0595	26.6242	6.6176	7.1347	27.4343	27.5636	6.8821	0.4207	1.5101	0.8078	0.0000	0.0000	0.0000	0.0000	0.0000	0.6564
11	100.0000	110.0000	12.0714	0.0000	2.1185	8.9528	0.8534	0.1467	21.9713	4.0804	2.9246	22.3470	22.1651	2.8403	0.4172	2.7846	0.7906	0.0000	0.0000	0.0000	0.0000	0.0000	0.1704
12	110.0000	120.0000	10.0105	0.0000	0.0000	9.2975	0.6621	0.0508	7.0664	2.9616	3.3139	7.6619	7.8049	0.5931	0.4166	2.7801	0.7634	0.0000	0.0000	0.0000	0.0000	0.0000	1.4646
13	120.0000	130.0000	14.9850	0.0000	5.1216	8.1216	1.3945	0.3473	21.3717	6.0835	5.7818	22.2207	22.1400	5.2154	0.4121	3.0318	0.6686	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
