Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
3	200.0000	300.0000	3.7906	0.0000	0.0000	3.2475	0.4329	0.1102	10.9014	3.8137	4.5263	11.5492	11.8037	3.7813	0.4077	2.2054	0.6635	0.0000	0.0000	0.0000	0.0000	0.0000	0.8479
4	300.0000	400.0000	36.3167	0.0000	5.2292	27.2320	3.1806	0.6750	8.7384	4.3281	3.6608	9.7515	9.4742	3.7544	0.4056	1.9473	0.6464	0.0000	0.0000	0.0000	0.0000	0.1161	0.8286
5	400.0000	500.0000	65.0313	0.0000	7.7861	51.1671	4.7838	1.2943	8.1143	3.0974	2.9995	8.6854	8.6510	0.8651	0.4216	2.7623	0.7915	0.0000	0.0000	0.0000	0.0000	0.0678	0.7469
6	500.0000	600.0000	66.1643	0.0000	-2.5689	48.7541	18.4421	1.5370	19.6018	3.1779	3.2342	19.8577	19.8668	1.6484	0.4345	2.5687	0.9772	0.0000	0.0000	0.0000	0.0000	0.0145	0.2322
7	600.0000	700.0000	35.7125	0.0000	5.6766	34.5225	-6.2709	1.7844	36.1286	13.2100	9.6374	38.4679	37.3919	13.1710	0.4277	0.3313	0.8284	0.0000	0.0000	0.0000	0.0000	0.0571	0.2171
8	700.0000	800.0000	33.1066	0.0000	9.2399	21.6430	-0.5738	2.7975	19.0993	5.6364	3.9317	19.9136	19.4998	4.6467	0.4154	3.0701	0.7407	0.0000	0.0000	0.0000	0.0000	0.1628	0.0578
10	900.0000	1000.0000	4.5069	0.0000	0.4370	4.5134	-1.1750	0.7315	81.6271	17.4427	35.4595	83.4699	88.9964	35.4359	0.4542	0.3576	1.1567	0.0000	0.0000	0.0000	0.0000	0.0000	0.5931
11	1000.0000	1100.0000	17.3056	0.0000	3.7186	2.7692	10.5539	0.2639	61.1590	2.6068	3.7055	61.2145	61.2712	2.8053	0.4595	2.2289	0.8258	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
12	1100.0000	1200.0000	5.2157	0.0000	3.1975	1.3295	0.4417	0.2471	39.3203	3.7227	4.5801	39.4961	39.5861	3.1451	0.4240	3.2523	0.5730	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
13	1200.0000	1300.0000	1.6622	0.0000	0.4014	0.6732	0.5164	0.0713	127.0588	3.7753	2.9202	127.1149	127.0924	3.4370	0.3458	1.5202	0.0969	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
14	1300.0000	1400.0000	1.0042	0.0000	0.3328	0.2843	0.3310	0.0561	38.4382	16.2417	14.2203	41.7287	40.9843	15.2626	0.4660	5.3716	1.3323	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
15	1400.0000	1500.0000	0.4576	0.0000	0.0000	0.1738	0.1000	0.1839	35.1521	7.8193	8.2147	36.0113	36.0992	7.7147	0.4307	2.7104	0.6581	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
16	1500.0000	1600.0000	0.3230	0.0000	0.2010	0.0996	0.0000	0.0224	67.6906	88.4608	41.9855	111.3881	79.6542	88.4471	0.4041	1.3949	0.5577	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
17	1600.0000	1700.0000	0.2256	0.0000	0.0000	0.0609	0.0000	0.1647	54.0031	17.8864	15.5214	56.8882	56.1894	16.7000	0.4284	6.3236	0.9282	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
19	1800.0000	1900.0000	0.1253	0.0000	0.0000	0.0874	0.0000	0.0379	50.5127	4.2782	9.0349	50.6936	51.3144	8.3550	0.3977	3.3524	0.6529	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
20	1900.0000	2000.0000	6.3219	0.0000	0.0000	0.1061	6.1411	0.0748	97.1468	14.1791	9.3342	98.1761	97.5942	13.8512	0.5035	2.4556	1.7057	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
