Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-5.0000	-4.8000	107.8574	94.0000	106.8175	0.3032	0.0000	0.7367	15.7059	9.1698	27.7531	18.1868	31.8890	9.6762	0.8966	6.4750	1.1370	0.0000	0.0000	0.0000	0.0000	12.7842	21.7311
2	-4.8000	-4.6000	115.4803	103.0000	114.1470	0.3082	0.0273	0.9978	16.6258	14.3363	16.6046	21.9533	23.4974	1.2425	0.9008	6.3117	1.0557	0.0000	0.0000	0.0000	0.0000	8.9142	15.3845
3	-4.6000	-4.4000	159.7974	141.0000	157.6975	0.4418	0.0000	1.6581	13.4625	12.8222	24.9125	18.5917	28.3174	5.5324	0.8902	5.0842	1.0776	0.0000	0.0000	0.0000	0.0000	3.3242	23.9656
4	-4.4000	-4.2000	182.4109	187.0000	179.4326	0.6233	0.0806	2.2743	13.9165	6.1719	33.2102	15.2237	36.0082	1.4523	0.8682	5.1537	0.8349	0.0000	0.0000	0.0000	0.0000	12.5942	30.2609
5	-4.2000	-4.0000	214.7431	198.0000	210.3145	1.2341	0.0000	3.1945	12.3768	13.5841	6.3001	18.3769	13.8880	1.6418	0.8713	5.7597	0.9504	0.0000	0.0000	0.0000	0.0000	10.4238	6.2736
6	-4.0000	-3.8000	227.6198	246.0000	222.1249	1.6668	0.0141	3.8140	12.6764	13.6692	5.2306	18.6424	13.7132	1.8911	0.8634	4.9203	0.7543	0.0000	0.0000	0.0000	0.0000	2.6442	12.2783
7	-3.8000	-3.6000	298.9135	268.0000	292.0422	2.0257	0.1006	4.7450	10.6668	5.4182	9.5694	11.9640	14.3302	3.4548	0.8716	5.1421	0.9516	0.0000	0.0000	0.0000	0.0000	7.2704	0.0791
8	-3.6000	-3.4000	290.0229	324.0000	281.8354	3.2739	0.0636	4.8500	11.2291	11.0470	22.3046	15.7521	24.9717	1.3991	0.8713	4.5890	0.7997	0.0000	0.0000	0.0000	0.0000	6.9136	20.6938
9	-3.4000	-3.2000	281.1663	321.0000	271.6011	3.7888	0.1530	5.6233	11.3149	18.2226	5.5128	21.4497	12.5864	0.5675	0.8619	5.0082	0.8280	0.0000	0.0000	0.0000	0.0000	8.1634	15.4464
10	-3.2000	-3.0000	294.2948	366.0000	282.7108	4.8758	0.1090	6.5991	10.9157	7.2320	17.1581	13.0940	20.3360	2.8919	0.8385	4.3599	0.7509	0.0000	0.0000	0.0000	0.0000	2.7759	16.0933
