Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-3.1400	-3.0144	14.1446	0.0000	3.2526	9.6878	0.3775	0.8266	32.1650	7.4272	15.0970	33.0114	35.5318	2.3510	0.8494	6.4165	0.6698	0.0000	0.0000	0.0000	0.0000	0.3362	13.7135
2	-3.0144	-2.8888	14.4818	0.0000	2.7747	10.7429	0.2934	0.6708	29.2250	11.7976	9.8560	31.5164	30.8422	10.8276	0.8179	4.2871	0.7027	0.0000	0.0000	0.0000	0.0000	0.1291	2.8658
3	-2.8888	-2.7632	11.8982	0.0000	-0.0693	10.9150	0.1615	0.8909	23.6483	14.6157	7.8075	27.8004	24.9038	2.6126	0.8541	5.2387	0.8099	0.0000	0.0000	0.0000	0.0000	0.1411	13.3401
4	-2.7632	-2.6376	14.8065	0.0000	1.8951	12.0827	0.4977	0.3310	23.9149	6.3589	6.0798	24.7459	24.6757	0.8869	0.8238	5.3823	0.7824	0.0000	0.0000	0.0000	0.0000	0.3328	3.0668
5	-2.6376	-2.5120	19.4823	0.0000	8.7719	9.8470	0.4374	0.4260	25.7509	5.6257	7.1569	26.3583	26.7270	1.6050	0.8481	4.5081	0.8094	0.0000	0.0000	0.0000	0.0000	0.2373	5.2839
6	-2.5120	-2.3864	14.9153	0.0000	4.7226	9.2879	0.1537	0.7511	25.3068	6.9524	14.4045	26.2444	29.1191	1.5306	0.8695	5.6689	1.0134	0.0000	0.0000	0.0000	0.0000	0.1501	13.1506
7	-2.3864	-2.2608	11.0927	0.0000	1.0269	9.0606	0.1578	0.8474	28.3618	5.5611	11.6566	28.9018	30.6637	3.1557	0.8435	4.7296	0.6914	0.0000	0.0000	0.0000	0.0000	0.7923	10.1276
8	-2.2608	-2.1352	14.5199	0.0000	4.7663	9.1632	0.2493	0.3412	29.7203	3.5314	34.8470	29.9294	45.7997	5.1908	0.8284	3.3556	0.7176	0.0000	0.0000	0.0000	0.0000	0.0973	34.2852
9	-2.1352	-2.0096	15.1996	0.0000	3.8483	10.2990	0.2046	0.8476	19.5673	5.1882	7.4997	20.2435	20.9553	4.3696	0.8366	3.9062	0.6589	0.0000	0.0000	0.0000	0.0000	0.2812	4.6122
10	-2.0096	-1.8840	20.2970	0.0000	6.2865	9.3902	3.8503	0.7700	25.0660	14.9904	16.1251	29.2064	29.8047	13.5566	0.8707	5.8268	1.2008	0.0000	0.0000	0.0000	0.0000	0.1270	9.7983
11	-1.8840	-1.7584	14.6651	0.0000	4.7708	9.3489	0.1642	0.3812	31.5398	8.9362	10.6499	32.7813	33.2893	9.4773	0.8550	4.3263	0.6782	0.0000	0.0000	0.0000	0.0000	0.0487	2.1405
12	-1.7584	-1.6328	21.0480	0.0000	9.8445	10.7679	0.0733	0.3623	17.6852	6.9803	10.1299	19.0129	20.3809	4.7280	0.8306	4.5755	0.7293	0.0000	0.0000	0.0000	0.0000	0.4010	7.6789
13	-1.6328	-1.5072	8.3341	0.0000	-1.1140	8.6891	0.1740	0.5851	45.9932	11.6792	5.4376	47.4529	46.3135	10.6288	0.8326	3.3792	0.6705	0.0000	0.0000	0.0000	0.0000	1.2302	3.9413
14	-1.5072	-1.3816	16.6413	0.0000	2.3635	9.6690	4.1505	0.4583	90.1990	11.7815	18.6732	90.9652	92.1116	4.2459	0.9996	9.8872	0.2347	0.0000	0.0000	0.0000	0.0000	0.3751	15.5650
15	-1.3816	-1.2560	13.0485	0.0000	1.7529	10.3216	0.2531	0.7209	27.4532	7.8334	7.6374	28.5489	28.4958	2.1119	0.8433	6.1425	0.6511	0.0000	0.0000	0.0000	0.0000	0.6299	4.5586
16	-1.2560	-1.1304	27.0982	0.0000	11.0312	8.7798	6.8405	0.4468	29.5930	10.0243	6.1399	31.2448	30.2233	3.6583	0.8890	4.5373	0.9692	0.0000	0.0000	0.0000	0.0000	5.2126	7.0174
17	-1.1304	-1.0048	21.5675	0.0000	10.7553	9.9775	0.2289	0.6057	19.2992	5.1940	8.9265	19.9859	21.2636	5.2314	0.8305	4.3774	0.7646	0.0000	0.0000	0.0000	0.0000	0.4515	5.7343
18	-1.0048	-0.8792	13.4276	0.0000	2.2325	10.7197	0.2454	0.2300	11.9565	6.8930	10.0069	13.8011	15.5915	2.2398	0.8577	4.8792	0.8317	0.0000	0.0000	0.0000	0.0000	0.0399	8.7059
19	-0.8792	-0.7536	28.1275	0.0000	4.2382	8.5504	14.7751	0.5638	55.4843	83.5797	29.6612	100.3198	62.9150	83.5123	0.8390	3.0609	1.0159	0.0000	0.0000	0.0000	0.0000	0.4003	5.2914
20	-0.7536	-0.6280	13.9335	0.0000	3.7709	9.2914	0.0235	0.8477	28.5142	7.2623	6.5101	29.4245	29.2479	3.3986	0.8574	5.4155	0.8260	0.0000	0.0000	0.0000	0.0000	0.6519	4.6023
21	-0.6280	-0.5024	9.1480	0.0000	0.0630	8.7486	0.0349	0.3015	27.1876	14.2703	13.3628	30.7052	30.2941	12.1986	0.8750	4.6087	1.0156	0.0000	0.0000	0.0000	0.0000	0.6512	5.6392
22	-0.5024	-0.3768	14.8703	0.0000	4.3015	9.7747	0.1501	0.6439	15.3883	7.9063	7.4939	17.3006	17.1160	4.6086	0.8698	5.1277	1.0700	0.0000	0.0000	0.0000	0.0000	0.4490	4.1418
23	-0.3768	-0.2512	13.1812	0.0000	2.6444	9.8434	0.0680	0.6255	24.6842	17.0707	7.9653	30.0120	25.9376	6.4733	0.8419	4.2317	0.7442	0.0000	0.0000	0.0000	0.0000	0.2163	15.1753
24	-0.2512	-0.1256	12.3421	0.0000	2.8120	8.7833	0.1438	0.6031	16.8986	8.1117	6.6909	18.7446	18.1750	4.9701	0.8602	5.0154	0.8827	0.0000	0.0000	0.0000	0.0000	0.1749	3.7979
25	-0.1256	0.0000	11.2131	0.0000	0.0958	10.1558	0.2005	0.7610	29.8332	29.0629	9.1692	41.6493	31.2105	1.7268	0.8716	4.9178	0.8757	0.0000	0.0000	0.0000	0.0000	18.3628	21.9487
