Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
2	-2.4000	-2.3000	9.7290	0.0000	0.5230	8.8145	0.1418	0.2497	33.9142	29.6793	14.6549	45.0670	36.9451	12.5861	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	10.4731	24.7541
3	-2.3000	-2.2000	10.9025	0.0000	0.8504	9.1180	0.3559	0.5782	23.6093	12.7202	7.3280	26.8180	24.7204	1.0484	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9680	12.6399
4	-2.2000	-2.1000	24.0784	0.0000	12.6583	10.6964	0.2351	0.4886	19.9674	6.3402	6.7772	20.9499	21.0862	6.2502	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1898	2.6133
5	-2.1000	-2.0000	20.5889	0.0000	7.5107	12.0274	0.3369	0.7139	21.9439	10.6357	14.4262	24.3855	26.2612	14.3303	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4914	4.9068
6	-2.0000	-1.9000	16.7102	0.0000	2.2020	13.5601	0.2808	0.6674	19.3138	3.2720	12.5940	19.5890	23.0572	1.1781	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6662	12.5211
7	-1.9000	-1.8000	8.7847	0.0000	-7.3893	14.9557	0.3059	0.9123	49.7027	10.8185	8.9561	50.8664	50.5031	7.3245	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.9891	8.9561
8	-1.8000	-1.7000	23.6591	0.0000	5.2136	17.0250	0.6756	0.7449	11.0758	4.0138	5.4343	11.7807	12.3371	2.7995	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5150	5.1815
9	-1.7000	-1.6000	20.1681	0.0000	0.1313	18.2729	0.6750	1.0888	20.1262	22.7688	7.8539	30.3889	21.6044	1.1758	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.4968	22.7384
10	-1.6000	-1.5000	31.8145	0.0000	11.1321	18.6555	0.9269	1.1000	20.3802	12.9597	7.8027	24.1517	21.8228	7.4923	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0987	10.7976
11	-1.5000	-1.4000	25.9943	0.0000	5.7784	18.8911	0.3986	0.9261	22.0351	3.9203	4.9369	22.3812	22.5814	4.9357	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.5560	3.5983
12	-1.4000	-1.3000	29.8357	0.0000	10.3694	18.5818	0.1017	0.7828	17.4046	5.5725	6.4314	18.2749	18.5548	3.2545	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.2992	5.9970
13	-1.3000	-1.2000	28.5818	0.0000	7.5432	20.1551	0.1995	0.6839	20.1980	6.8814	11.2631	21.3381	23.1261	6.0959	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.3654	10.7626
14	-1.2000	-1.1000	31.2031	0.0000	10.0425	19.8385	0.3103	1.0118	20.1524	5.8873	6.0768	20.9948	21.0487	1.7289	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	2.3348	5.8563
15	-1.1000	-1.0000	30.6822	0.0000	10.2975	19.4641	0.2101	0.7105	20.1357	8.5400	4.8163	21.8719	20.7037	5.9704	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.8131	6.0518
16	-1.0000	-0.9000	46.3099	0.0000	21.9111	23.0282	0.0271	1.3435	15.5064	12.3288	11.0741	19.8103	19.0548	5.3539	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.8381	11.3200
17	-0.9000	-0.8000	22.3115	0.0000	0.3551	20.4414	0.0873	1.4277	22.9364	1.6317	10.4392	22.9944	25.2004	1.6853	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.9021	10.2627
18	-0.8000	-0.7000	20.0099	0.0000	-3.0063	21.1054	0.2132	1.6976	24.0989	7.0068	5.4994	25.0969	24.7184	3.4887	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0321	6.0765
19	-0.7000	-0.6000	33.7360	0.0000	11.9241	20.5316	0.3842	0.8961	17.1790	5.9329	6.3398	18.1746	18.3115	5.7545	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.1161	4.5734
20	-0.6000	-0.5000	29.0622	0.0000	8.8367	19.0624	0.1732	0.9898	19.5260	1.6388	3.1213	19.5946	19.7739	2.6318	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.6004	1.6388
