Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	0.0000	50.0000	2.3531	0.0000	0.0000	0.3416	1.1660	0.8455	15.6581	9.8242	5.0710	18.4849	16.4588	4.5800	0.0000	0.0000	0.0000	0.3360	0.0000	0.6551	0.3408	2.5140	9.2189
2	50.0000	100.0000	4.1120	0.0000	0.0000	0.6350	1.9518	1.5251	11.7066	6.3266	7.4311	13.3068	13.8660	5.2435	0.0000	0.0000	0.0000	0.3333	0.0000	0.7630	0.3587	1.3053	5.4151
3	100.0000	150.0000	5.0047	0.0000	0.2994	0.9837	2.0074	1.7142	12.1609	3.9278	4.7674	12.7795	13.0620	0.6231	0.0000	0.0000	0.0000	0.2928	0.0000	0.8734	0.3232	0.5458	4.5930
4	150.0000	200.0000	3.4513	0.0000	-0.5130	0.7067	1.4999	1.7577	20.6889	36.4634	11.1863	41.9239	23.5194	11.9234	0.0000	0.0000	0.0000	0.4097	0.0000	1.0900	0.3614	20.7910	27.4529
5	200.0000	250.0000	2.1218	0.0000	0.0000	0.3441	0.8530	0.9247	16.4362	12.4528	10.9804	20.6209	19.7666	12.3926	0.0000	0.0000	0.0000	0.3614	0.0000	1.0607	0.4205	0.1198	3.5165
6	250.0000	300.0000	1.4720	0.0000	0.0000	0.6160	0.2205	0.6355	18.7960	5.3505	3.8906	19.5427	19.1945	5.0822	0.0000	0.0000	0.0000	0.3884	0.0000	1.0641	0.4311	0.3249	2.1947
7	300.0000	350.0000	1.1532	0.0000	0.0000	0.1342	0.1647	0.8543	22.2342	9.7731	8.0987	24.2873	23.6632	9.6794	0.0000	0.0000	0.0000	0.4375	0.0000	1.1851	0.4662	0.0132	1.1243
8	350.0000	400.0000	0.5337	0.0000	0.0000	0.1758	0.0094	0.3485	23.8277	6.5461	9.1755	24.7106	25.5333	8.7248	0.0000	0.0000	0.0000	1.1683	0.0000	2.3312	1.0799	0.0320	0.4268
9	400.0000	450.0000	0.4338	0.0000	0.0000	0.0353	0.0140	0.3845	27.8626	18.8977	15.3618	33.6667	31.8168	18.3344	0.0000	0.0000	0.0000	1.9047	0.0000	3.6979	1.8621	2.8821	1.8563
10	450.0000	500.0000	0.1914	0.0000	0.0000	0.0107	0.0377	0.1431	55.1525	11.2657	6.2939	56.2913	55.5104	10.3921	0.0000	0.0000	0.0000	2.1569	0.0000	3.3351	1.7702	0.0068	3.0251
11	500.0000	550.0000	0.1726	0.0000	0.0000	0.0560	0.0624	0.0542	68.1005	57.2091	2.7787	88.9413	68.1572	2.3754	0.0000	0.0000	0.0000	0.1770	0.0000	1.4051	0.2705	40.3756	40.5050
12	550.0000	600.0000	0.1908	0.0000	0.0000	0.0663	0.0000	0.1246	44.1554	19.2560	9.3756	48.1715	45.1398	18.4828	0.0000	0.0000	0.0000	2.2103	0.0000	4.3572	2.2993	0.0000	0.1496
13	600.0000	650.0000	0.1547	0.0000	0.0000	0.0000	0.0000	0.1547	43.8769	7.5525	7.8581	44.5222	44.5751	2.7111	0.0000	0.0000	0.0000	4.0081	0.0000	5.3731	3.1234	0.0336	0.0940
14	650.0000	700.0000	0.0209	0.0000	0.0000	0.0000	0.0000	0.0209	68.1623	42.8029	40.5211	80.4872	79.2973	42.6455	0.0000	0.0000	0.0000	1.3415	0.0000	3.0123	1.5648	0.0000	15.0217
15	700.0000	750.0000	0.0159	0.0000	0.0000	0.0000	0.0000	0.0159	46.4318	30.3707	23.4915	55.4824	52.0362	29.7752	0.0000	0.0000	0.0000	2.1089	0.0000	3.7186	1.9764	0.0000	3.6928
18	850.0000	900.0000	0.0025	0.0000	0.0000	0.0000	0.0000	0.0025	19.3994	10.1008	5.1945	21.8715	20.0828	8.7398	0.0000	0.0000	0.0000	2.2338	0.0000	4.0479	2.0659	0.0000	0.0000
20	950.0000	1000.0000	0.0449	0.0000	0.0000	0.0000	0.0000	0.0449	35.6372	6.2781	6.5838	36.1860	36.2403	2.7440	0.0000	0.0000	0.0000	2.9478	0.0000	4.5268	2.6279	0.0000	0.0000
