Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	0.0000	50.0000	0.2703	0.0000	0.0000	0.2379	0.0000	0.0325	36.3372	4.8409	4.2279	36.6583	36.5824	4.8192	0.0000	0.0000	0.0000	0.0359	0.0000	0.4520	0.0688	0.0000	0.0000
2	50.0000	100.0000	6.8688	8.0000	3.9267	1.4020	1.5347	0.0054	30.1975	7.6028	6.7734	31.1399	30.9479	7.5081	0.0000	0.0000	0.0000	0.0646	0.0000	0.3550	0.0924	0.5837	1.1369
3	100.0000	150.0000	75.1768	69.0000	48.6539	12.0042	13.6326	0.8861	22.3183	2.1498	0.4502	22.4216	22.3228	0.7208	0.0002	0.0000	0.0000	0.0936	0.0000	0.4211	0.0954	0.0595	1.9766
4	150.0000	200.0000	235.3490	205.0000	147.6478	28.1045	55.6493	3.9474	7.8365	2.2477	1.3199	8.1525	7.9469	1.0876	0.0008	0.0000	0.0000	0.1024	0.0000	0.4935	0.1291	0.0923	1.8969
5	200.0000	250.0000	402.0325	301.0000	256.6395	30.9586	101.4381	12.9963	6.6210	1.9266	3.6401	6.8956	7.5557	1.5857	0.0004	0.0000	0.0000	0.1097	0.0000	0.6079	0.1258	0.6283	3.5300
6	250.0000	300.0000	428.3517	397.0000	321.8708	22.4971	66.5032	17.4806	4.5194	1.3779	1.7262	4.7248	4.8378	0.8800	0.0006	0.0000	0.0000	0.1617	0.0000	0.7605	0.1638	0.3948	1.1984
7	300.0000	350.0000	432.7480	397.0000	348.8318	15.9898	47.6225	20.3039	4.2391	2.3739	2.1372	4.8585	4.7473	1.6643	0.0004	0.0000	0.0000	0.1676	0.0000	0.8176	0.1760	0.0326	1.5898
8	350.0000	400.0000	442.8467	392.0000	376.6103	10.6058	30.8971	24.7336	4.3276	2.1530	1.9572	4.8336	4.7496	0.4697	0.0001	0.0000	0.0000	0.2037	0.0000	0.8845	0.2047	0.2402	1.8685
9	400.0000	450.0000	409.4966	356.0000	363.6533	5.6947	14.7696	25.3789	4.6354	1.3586	1.4682	4.8304	4.8623	0.6735	0.0001	0.0000	0.0000	0.1897	0.0000	0.8835	0.1966	0.0005	1.1433
10	450.0000	500.0000	332.7165	283.0000	298.5139	3.3198	8.3589	22.5240	5.1609	3.2899	3.3890	6.1203	6.1742	3.2283	0.0001	0.0000	0.0000	0.1924	0.0000	0.9220	0.2015	0.0044	1.4519
11	500.0000	550.0000	238.2664	238.0000	215.6250	1.4904	3.3755	17.7755	5.9318	1.5631	1.6576	6.1343	6.1590	0.6900	0.0000	0.0000	0.0000	0.4346	0.0000	1.3856	0.4125	0.0172	0.3743
12	550.0000	600.0000	153.8297	160.0000	137.3320	0.5533	2.1779	13.7664	7.5469	5.2574	4.1451	9.1976	8.6103	4.7397	0.0000	0.0000	0.0000	0.7646	0.0000	2.0189	0.7178	0.0002	1.4184
13	600.0000	650.0000	95.9979	93.0000	87.2242	0.5025	0.7027	7.5686	9.8190	3.6882	4.2553	10.4889	10.7015	0.4763	0.0002	0.0000	0.0000	1.4582	0.0000	3.0737	1.4031	1.2362	1.7082
14	650.0000	700.0000	51.7522	51.0000	46.9298	0.4088	0.4650	3.9485	13.5454	10.3514	7.0352	17.0478	15.2634	9.0048	0.0000	0.0000	0.0000	2.2525	0.0000	4.0884	2.0679	0.0003	0.0015
15	700.0000	750.0000	30.8684	26.0000	28.6457	0.1113	0.2769	1.8345	17.7284	5.9821	6.4106	18.7104	18.8518	2.4702	0.0000	0.0000	0.0000	2.6813	0.0000	4.6876	2.4585	0.0005	0.0035
16	750.0000	800.0000	12.0471	14.0000	10.4923	0.1699	0.1603	1.2246	26.8841	5.2861	7.4646	27.3989	27.9012	5.2867	0.0000	0.0000	0.0000	2.2651	0.0000	4.3188	2.0396	0.0000	0.0006
17	800.0000	850.0000	9.8068	9.0000	8.9656	0.0000	0.0865	0.7547	25.8639	9.9813	7.7354	27.7231	26.9959	8.8283	0.0000	0.0000	0.0000	2.0602	0.0000	3.7436	1.8521	0.0000	0.0025
18	850.0000	900.0000	2.3640	5.0000	1.8934	0.1246	0.0000	0.3460	52.7955	7.5043	12.2539	53.3262	54.1990	11.4736	0.0000	0.0000	0.0000	1.7998	0.0000	3.5372	1.6818	0.0000	0.0000
19	900.0000	950.0000	0.9912	1.0000	0.8484	0.0000	-0.0270	0.1698	65.7058	26.4582	17.1718	70.8328	67.9126	26.1481	0.0000	0.0000	0.0000	1.6366	0.0000	3.3776	1.4914	0.0000	0.0000
20	950.0000	1000.0000	4.5639	7.0000	4.0183	0.0240	0.0535	0.4681	44.6123	4.1633	4.2741	44.8062	44.8166	1.0385	0.0002	0.0000	0.0000	1.5071	0.0000	3.6809	1.2297	0.0029	0.0011
