Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-2.4000	-2.3040	1.2373	0.0000	0.0000	1.2226	0.0000	0.0147	21.8837	3.3467	5.7365	22.1381	22.6231	5.6821	0.0000	0.0000	0.0000	0.1535	0.0000	0.7570	0.1723	0.0000	0.0000
2	-2.3040	-2.2080	1.5286	0.0000	0.0000	1.5257	0.0000	0.0030	17.3333	2.0797	2.1560	17.4577	17.4669	2.0478	0.0000	0.0000	0.0000	0.0923	0.0000	0.6315	0.1185	0.0000	1.3311
3	-2.2080	-2.1120	1.4365	0.0000	0.0000	1.3117	0.0000	0.1248	19.1957	4.9641	5.8183	19.8272	20.0581	5.7512	0.0000	0.0000	0.0000	0.1453	0.0000	0.8534	0.1862	0.5212	0.5212
4	-2.1120	-2.0160	2.0886	0.0000	0.0000	2.0905	0.0000	-0.0020	16.3285	0.9388	1.0941	16.3555	16.3652	0.7157	0.0000	0.0000	0.0000	0.1964	0.0000	0.7813	0.2036	0.0000	0.4368
5	-2.0160	-1.9200	2.2401	0.0000	0.0000	2.2310	0.0000	0.0091	15.5843	1.8278	1.5413	15.6911	15.6603	1.1983	0.0000	0.0000	0.0000	0.2266	0.0000	0.9300	0.2355	0.0000	0.9661
6	-1.9200	-1.8240	2.6337	0.0000	0.0000	2.6014	0.0000	0.0323	12.8720	0.8436	1.3069	12.8996	12.9381	0.6403	0.0000	0.0000	0.0000	0.1573	0.0000	0.8117	0.1678	0.0000	0.7692
7	-1.8240	-1.7280	3.5522	0.0000	0.0000	3.5407	0.0000	0.0115	11.7048	2.4296	3.1141	11.9543	12.1120	2.1287	0.0000	0.0000	0.0000	0.2760	0.0000	1.1047	0.2739	0.0000	2.7933
8	-1.7280	-1.6320	4.7275	0.0000	1.0406	3.6699	0.0000	0.0170	23.6902	1.0957	1.9232	23.7156	23.7682	1.4348	0.0000	0.0000	0.0000	0.1916	0.0000	1.0569	0.2165	0.0000	0.6731
9	-1.6320	-1.5360	3.8873	0.0000	0.0000	3.7678	0.0000	0.1195	11.0645	1.4325	1.3484	11.1568	11.1463	0.4524	0.0000	0.0000	0.0000	0.2655	0.0000	1.3021	0.2852	0.0000	0.0025
10	-1.5360	-1.4400	4.2700	0.0000	0.0000	4.1335	0.0000	0.1366	10.5818	4.2281	3.5881	11.3953	11.1736	4.0802	0.0000	0.0000	0.0000	0.2092	0.0000	1.0640	0.2294	0.0000	1.0466
