Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-3.1400	-3.0144	210.7391	212.0000	201.4156	4.6888	0.0000	4.6347	6.6531	7.0344	13.7696	9.6823	15.2927	0.8993	0.8390	4.3220	0.5983	0.0000	0.0000	0.0000	0.0000	3.0327	13.0634
2	-3.0144	-2.8888	215.0713	239.0000	206.0639	4.7592	0.1199	4.1283	6.6861	4.9820	13.0143	8.3381	14.6313	1.8972	0.8517	4.7507	0.5829	0.0000	0.0000	0.0000	0.0000	1.0450	11.9297
3	-2.8888	-2.7632	219.7594	209.0000	209.4358	5.2590	0.1152	4.9494	6.4459	11.6658	6.1505	13.3282	8.9094	0.6305	0.8452	4.2645	0.5713	0.0000	0.0000	0.0000	0.0000	6.8620	8.3294
4	-2.7632	-2.6376	201.6587	239.0000	192.8888	4.9834	0.0971	3.6893	6.7621	5.5151	13.5095	8.7260	15.1074	1.2594	0.8519	4.2061	0.5630	0.0000	0.0000	0.0000	0.0000	3.7780	12.1990
5	-2.6376	-2.5120	213.9777	223.0000	204.2438	5.1076	0.0807	4.5455	6.5692	19.1986	8.2077	20.2914	10.5129	1.1112	0.8482	4.2088	0.5601	0.0000	0.0000	0.0000	0.0000	3.4730	18.3451
6	-2.5120	-2.3864	210.4205	222.0000	201.5353	5.0476	0.1192	3.7185	6.6123	10.4652	4.5268	12.3791	8.0134	1.3206	0.8402	4.5328	0.5660	0.0000	0.0000	0.0000	0.0000	1.1769	9.2096
7	-2.3864	-2.2608	226.9429	211.0000	218.6564	4.0933	0.0573	4.1359	6.4983	6.4810	12.3416	9.1778	13.9479	3.9014	0.8545	4.7027	0.5348	0.0000	0.0000	0.0000	0.0000	4.1772	9.8908
8	-2.2608	-2.1352	221.0383	238.0000	211.3799	5.9965	0.0281	3.6338	6.6436	9.8026	6.8719	11.8418	9.5582	2.0139	0.8511	4.3754	0.6222	0.0000	0.0000	0.0000	0.0000	2.5953	8.6013
9	-2.1352	-2.0096	222.0037	216.0000	212.4305	5.2444	0.1343	4.1945	6.3884	6.2023	11.8467	8.9039	13.4594	2.6917	0.8493	4.5330	0.6062	0.0000	0.0000	0.0000	0.0000	3.8779	9.8714
10	-2.0096	-1.8840	223.7842	215.0000	213.8760	4.9201	0.0768	4.9112	6.3347	5.9352	9.1557	8.6807	11.1335	1.1968	0.8511	4.4340	0.6182	0.0000	0.0000	0.0000	0.0000	3.3758	7.1590
11	-1.8840	-1.7584	210.1035	189.0000	200.4349	5.4745	0.0000	4.1941	6.4292	7.7402	6.2695	10.0621	8.9801	4.8942	0.8404	3.8743	0.5786	0.0000	0.0000	0.0000	0.0000	2.6552	3.7443
12	-1.7584	-1.6328	224.0228	217.0000	213.1201	5.3063	0.2207	5.3757	6.5203	11.2137	4.8636	12.9715	8.1344	0.3399	0.8563	4.3934	0.5698	0.0000	0.0000	0.0000	0.0000	2.0313	10.0628
13	-1.6328	-1.5072	234.9614	222.0000	225.2480	4.9666	0.0768	4.6700	6.2595	5.3754	7.0804	8.2509	9.4506	2.4175	0.8499	4.5652	0.6048	0.0000	0.0000	0.0000	0.0000	2.0150	4.6441
14	-1.5072	-1.3816	216.8940	251.0000	203.9646	4.5193	4.5769	3.8332	6.7455	9.6311	13.6293	11.7583	15.2072	1.3309	0.8464	4.5106	0.6195	0.0000	0.0000	0.0000	0.0000	2.9812	12.5071
15	-1.3816	-1.2560	210.9989	231.0000	201.3194	4.9522	0.0455	4.6818	6.6975	7.3652	9.8648	9.9550	11.9235	0.2679	0.8432	4.5718	0.5615	0.0000	0.0000	0.0000	0.0000	3.0417	8.6707
16	-1.2560	-1.1304	225.0815	226.0000	214.4979	5.1003	0.0729	5.4104	6.2352	8.3165	11.3176	10.3944	12.9215	1.3322	0.8501	4.2832	0.5095	0.0000	0.0000	0.0000	0.0000	4.9125	9.1528
17	-1.1304	-1.0048	219.2908	214.0000	210.3694	4.9145	-0.0256	4.0325	6.4587	6.2468	6.3260	8.9854	9.0406	1.5733	0.8580	4.3931	0.5327	0.0000	0.0000	0.0000	0.0000	4.1158	4.1102
18	-1.0048	-0.8792	207.5868	215.0000	197.2914	5.2072	0.2606	4.8276	6.5701	12.5976	5.5338	14.2080	8.5901	1.0575	0.8468	4.3272	0.5605	0.0000	0.0000	0.0000	0.0000	8.5689	8.0944
19	-0.8792	-0.7536	215.6329	190.0000	205.6252	5.8431	0.0000	4.1645	6.4740	14.1372	5.2068	15.5490	8.3080	1.5792	0.8603	4.2126	0.5125	0.0000	0.0000	0.0000	0.0000	1.4801	13.3478
20	-0.7536	-0.6280	213.5653	189.0000	203.8168	5.2539	0.1083	4.3862	6.5709	7.8782	10.1855	10.2588	12.1211	4.8538	0.8424	4.2410	0.5068	0.0000	0.0000	0.0000	0.0000	8.5406	2.9760
21	-0.6280	-0.5024	191.7094	205.0000	183.0904	4.7059	0.0465	3.8665	6.8773	7.6321	4.3580	10.2735	8.1418	1.0411	0.8360	4.2842	0.5019	0.0000	0.0000	0.0000	0.0000	3.7577	4.8722
22	-0.5024	-0.3768	211.7335	209.0000	201.3328	4.8901	0.1422	5.3683	6.4700	14.2754	10.2850	15.6732	12.1508	0.3545	0.8533	4.2238	0.5313	0.0000	0.0000	0.0000	0.0000	2.2837	13.4054
