Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	0.0000	50.0000	104.1470	121.0000	39.5692	61.4458	2.0419	1.0902	6.2631	8.7204	8.9897	10.7365	10.9563	3.4091	0.0000	0.0000	0.0000	0.1635	0.0000	0.3669	0.2197	1.2380	8.2745
2	50.0000	100.0000	616.8475	952.0000	477.7873	128.5999	3.6719	6.7884	3.4664	9.0833	6.8989	9.7223	7.7208	0.5059	0.0000	0.0000	0.0000	0.1833	0.0000	0.3843	0.2438	0.4896	9.0427
3	100.0000	150.0000	2562.4623	3823.0000	2234.6060	281.5821	14.7342	31.5400	1.7895	7.0837	7.6559	7.3062	7.8623	0.7670	0.0000	0.0000	0.0000	0.1724	0.0000	0.3658	0.2320	0.5008	7.5867
4	150.0000	200.0000	3215.2653	4720.0000	2912.8189	237.8531	14.8303	49.7631	1.6377	5.8605	6.4420	6.0850	6.6469	0.0534	0.0000	0.0000	0.0000	0.1695	0.0000	0.4546	0.2312	0.2919	6.4139
5	200.0000	250.0000	2786.8196	4248.0000	2577.1184	132.7250	16.3817	60.5945	1.7908	6.5737	5.6793	6.8132	5.9549	0.5042	0.0000	0.0000	0.0000	0.1779	0.0000	0.5955	0.2267	0.1552	6.5269
6	250.0000	300.0000	2217.1918	3376.0000	2095.7220	60.5841	6.3259	54.5598	2.0204	4.9539	6.1531	5.3500	6.4763	0.6942	0.0000	0.0000	0.0000	0.2226	0.0000	0.7194	0.2566	0.2551	6.0959
7	300.0000	350.0000	1711.1809	2458.0000	1626.7490	26.8652	3.7737	53.7930	2.3165	5.6629	6.0289	6.1184	6.4587	1.1125	0.0000	0.0000	0.0000	0.2603	0.0000	0.8077	0.2865	0.3428	5.8478
8	350.0000	400.0000	1364.1822	1928.0000	1306.5189	10.7138	1.8139	45.1355	2.5992	3.4804	5.4132	4.3439	6.0049	0.3254	0.0000	0.0000	0.0000	0.2815	0.0000	0.8690	0.3026	0.0340	5.3272
9	400.0000	450.0000	819.5707	1163.0000	780.6738	4.8240	1.0572	33.0157	3.3472	3.5743	2.5702	4.8969	4.2202	0.9072	0.0000	0.0000	0.0000	0.2978	0.0000	0.9145	0.3190	0.0936	3.3055
10	450.0000	500.0000	382.7222	529.0000	366.1620	1.8498	0.5954	14.1150	4.8446	2.0360	2.9162	5.2551	5.6546	1.1116	0.0000	0.0000	0.0000	0.2792	0.0000	0.8814	0.3095	0.0004	2.5151
11	500.0000	550.0000	140.4135	228.0000	133.8746	0.9462	0.1239	5.4688	7.7513	3.4212	3.4296	8.4727	8.4761	0.3436	0.0000	0.0000	0.0000	1.0033	0.0000	1.9373	0.9690	0.6067	2.4597
12	550.0000	600.0000	79.6259	85.0000	75.8279	0.4769	0.1566	3.1645	10.9318	6.3515	5.4788	12.6430	12.2279	0.9758	0.0000	0.0000	0.0000	2.4130	0.0000	4.2978	2.2209	0.0003	3.1881
13	600.0000	650.0000	35.1865	44.0000	33.5317	0.3246	0.1305	1.1997	16.2294	5.5922	6.8003	17.1658	17.5965	4.1818	0.0000	0.0000	0.0000	2.2974	0.0000	4.3546	2.1589	0.0464	1.2143
14	650.0000	700.0000	18.0931	10.0000	17.0977	0.1537	0.0000	0.8416	22.4365	7.8930	7.1705	23.7844	23.5545	5.6518	0.0000	0.0000	0.0000	2.4090	0.0000	4.4039	2.2714	0.4110	0.0094
15	700.0000	750.0000	5.1269	10.0000	4.6823	0.0467	0.0000	0.3979	41.4158	11.5161	8.8828	42.9871	42.3577	9.2701	0.0000	0.0000	0.0000	3.3266	0.0000	5.1812	2.9622	0.0026	0.7546
16	750.0000	800.0000	8.5581	6.0000	8.0127	0.0915	0.0000	0.4539	36.0982	6.6270	7.4596	36.7015	36.8609	4.5103	0.0000	0.0000	0.0000	2.7107	0.0000	4.5976	2.6329	0.0006	0.0009
17	800.0000	850.0000	2.2178	1.0000	1.9520	0.0536	0.0000	0.2122	54.7250	10.9108	13.1071	55.8021	56.2728	12.2500	0.0000	0.0000	0.0000	2.1149	0.0000	3.6485	2.0074	0.0049	0.0150
18	850.0000	900.0000	0.0293	1.0000	0.0000	0.0040	0.0000	0.0254	31.4790	7.6608	6.1309	32.3977	32.0704	5.8757	0.0000	0.0000	0.0000	2.0910	0.0000	3.9343	2.0345	0.0000	0.4172
19	900.0000	950.0000	1.0844	0.0000	1.0700	0.0078	0.0000	0.0067	98.6683	9.3948	10.5229	99.1145	99.2278	5.2958	0.0000	0.0000	0.0000	1.2500	0.0000	9.0017	1.0589	0.0000	0.0057
20	950.0000	1000.0000	0.0067	0.0000	0.0000	0.0000	0.0000	0.0067	12.6103	5.5569	5.5719	13.7804	13.7864	2.1381	0.0000	0.0000	0.0000	2.2326	0.0000	4.1356	2.1258	0.0000	0.0000
