Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	0.0000	2.0000	1.0514	0.0000	0.9909	0.0565	0.0000	0.0041	94.3169	8.0487	7.0351	94.6597	94.5789	8.0303	0.0000	0.0000	0.0000	0.0557	0.0000	0.5234	0.1378	0.0000	0.0000
2	2.0000	4.0000	2.1447	5.0000	1.9188	0.0857	0.0000	0.1402	63.6526	51.6941	7.9449	81.9996	64.1465	9.3652	0.0000	0.0000	0.0000	0.2414	0.0000	0.8853	0.3810	0.1877	50.8286
3	4.0000	6.0000	9.3066	11.0000	8.9508	0.2446	0.0000	0.1112	56.7195	10.0123	9.0030	57.5964	57.4295	9.9782	0.0000	0.0000	0.0000	0.1441	0.0000	0.5340	0.2151	1.0353	1.0461
4	6.0000	8.0000	8.4655	12.0000	7.7195	0.3225	0.1647	0.2587	26.0489	25.0846	18.4036	36.1632	31.8941	25.0687	0.0000	0.0000	0.0000	0.1724	0.0000	0.4534	0.2034	0.0882	5.0309
5	8.0000	10.0000	19.8612	26.0000	18.2459	0.7942	0.0241	0.7970	17.2775	37.8545	25.8960	41.6110	31.1307	37.1846	0.0000	0.0000	0.0000	0.2037	0.0000	0.6190	0.2410	1.6686	7.0383
6	10.0000	12.0000	50.8695	67.0000	46.5752	3.1215	0.0861	1.0867	12.9124	38.8667	26.9182	40.9554	29.8550	37.9956	0.0000	0.0000	0.0000	0.1848	0.0000	0.6067	0.2324	0.1693	8.1527
7	12.0000	14.0000	106.4475	162.0000	96.1822	6.8241	0.6205	2.8206	8.4363	35.9678	25.8644	36.9439	27.2055	35.1506	0.0000	0.0000	0.0000	0.3519	0.0000	0.7151	0.3420	0.8656	7.5244
8	14.0000	16.0000	207.1409	281.0000	189.1094	12.2076	0.6896	5.1343	6.4987	30.9718	24.0514	31.6462	24.9139	30.2590	0.0000	0.0000	0.0000	0.2388	0.0000	0.7070	0.2902	1.2149	6.4441
9	16.0000	18.0000	411.8405	545.0000	380.1896	21.8612	1.2619	8.5277	4.7216	25.1198	21.1619	25.5597	21.6822	24.7289	0.0000	0.0000	0.0000	0.2333	0.0000	0.6767	0.2854	1.3585	5.4602
10	18.0000	20.0000	576.4087	814.0000	528.8048	33.1857	2.1512	12.2671	3.8911	21.9902	19.0796	22.3318	19.4723	21.3866	0.0000	0.0000	0.0000	0.2441	0.0000	0.6803	0.2887	0.3706	5.8230
11	20.0000	22.0000	854.4972	1082.0000	787.9481	44.1514	2.5877	19.8100	3.1897	18.2454	16.9866	18.5221	17.2835	17.3880	0.0000	0.0000	0.0000	0.2551	0.0000	0.6857	0.2953	0.2784	7.5690
12	22.0000	24.0000	960.1769	1399.0000	878.3223	56.5596	4.5851	20.7099	2.9519	15.5076	14.2410	15.7860	14.5438	13.7332	0.0000	0.0000	0.0000	0.2487	0.0000	0.6733	0.2977	0.2381	7.1570
13	24.0000	26.0000	1177.4849	1593.0000	1080.8018	66.5520	4.6955	25.4357	2.6960	12.9895	12.9597	13.2664	13.2371	12.1244	0.0000	0.0000	0.0000	0.2377	0.0000	0.6496	0.2799	0.1124	5.9250
14	26.0000	28.0000	1324.4256	1846.0000	1212.5318	76.9218	5.3477	29.6243	2.5301	11.5391	11.7347	11.8132	12.0044	9.9427	0.0000	0.0000	0.0000	0.2358	0.0000	0.6624	0.2784	0.7333	6.2911
