Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
1	-5.0000	-4.8000	21.9407	12.0000	20.5826	0.0225	0.0765	1.2591	19.4669	6.2654	5.1842	20.4503	20.1453	5.8472	0.0000	0.0000	0.0000	0.6440	0.0000	1.5898	0.5993	0.0000	1.6345
2	-4.8000	-4.6000	27.3568	28.0000	25.1865	0.1462	0.2372	1.7868	17.4513	2.4700	2.9564	17.6253	17.7000	2.7048	0.0000	0.0000	0.0000	0.3341	0.0000	1.1109	0.3006	0.0006	0.0011
3	-4.6000	-4.4000	34.6901	35.0000	31.9680	0.1085	0.1089	2.5046	16.2437	1.3629	1.9657	16.3008	16.3622	1.5132	0.0006	0.0000	0.0000	0.3492	0.0000	1.1654	0.3289	0.0000	0.5189
4	-4.4000	-4.2000	41.6023	47.0000	38.6731	0.0645	0.2255	2.6392	15.0584	1.5118	3.0619	15.1341	15.3666	2.8048	0.0000	0.0000	0.0000	0.2953	0.0000	1.0429	0.2724	0.0003	0.9109
5	-4.2000	-4.0000	57.0222	51.0000	53.8300	0.2202	0.1853	2.7866	12.6155	1.3942	2.7132	12.6923	12.9040	2.3513	0.0000	0.0000	0.0000	0.3732	0.0000	1.2548	0.3702	0.0001	0.3046
6	-4.0000	-3.8000	66.0735	63.0000	60.7956	0.1898	1.2782	3.8100	11.8700	2.8205	1.3421	12.2005	11.9456	2.4785	0.0002	0.0000	0.0000	0.3461	0.0000	1.2611	0.3190	0.0002	0.0717
7	-3.8000	-3.6000	62.0983	71.0000	55.8208	0.2977	1.0502	4.9297	12.5492	5.9969	3.3125	13.9085	12.9790	5.5325	0.0000	0.0000	0.0000	0.3320	0.0000	1.1963	0.3037	0.0002	3.0588
8	-3.6000	-3.4000	69.5697	67.0000	62.9865	0.5807	1.5207	4.4818	11.0860	3.2684	3.9363	11.5577	11.7641	3.3302	0.0000	0.0000	0.0000	0.3216	0.0000	1.1574	0.3140	0.0250	1.6952
9	-3.4000	-3.2000	69.6078	79.0000	61.8729	0.9142	2.3805	4.4402	11.1310	5.0767	3.8291	12.2341	11.7712	4.7663	0.0001	0.0000	0.0000	0.4266	0.0000	1.2059	0.3634	0.5424	1.1347
10	-3.2000	-3.0000	57.4952	82.0000	49.1825	1.2165	3.3257	3.7706	11.4482	2.5889	1.6770	11.7373	11.5704	1.3093	0.0003	0.0000	0.0000	0.3678	0.0000	1.0429	0.3713	0.0006	1.9046
11	-3.0000	-2.8000	76.1037	79.0000	63.9191	2.4732	5.7223	3.9892	10.4099	5.7078	1.6714	11.8720	10.5432	3.8768	0.0000	0.0000	0.0000	0.3363	0.0000	1.1052	0.3303	0.8055	3.9316
12	-2.8000	-2.6000	99.3092	62.0000	76.5794	3.5973	14.1320	5.0005	11.0105	3.0273	2.3511	11.4191	11.2587	2.5150	0.0001	0.0000	0.0000	0.3908	0.0000	1.0914	0.3857	0.0407	1.1604
13	-2.6000	-2.4000	88.4043	86.0000	71.7463	3.8711	7.9439	4.8430	9.8365	4.5497	1.2644	10.8378	9.9175	2.0194	0.0006	0.0000	0.0000	0.2475	0.0000	0.9326	0.2520	0.0446	3.9530
14	-2.4000	-2.2000	89.2022	83.0000	71.1825	3.4560	9.2645	5.2993	9.5385	2.7097	1.7571	9.9159	9.6990	2.2370	0.0003	0.0000	0.0000	0.2080	0.0000	0.8920	0.2283	0.0026	1.2030
15	-2.2000	-2.0000	92.3695	93.0000	75.5795	3.9401	8.2022	4.6478	10.3606	1.2750	2.9744	10.4387	10.7791	0.9610	0.0002	0.0000	0.0000	0.2324	0.0000	0.9540	0.2456	0.0005	2.6279
16	-2.0000	-1.8000	86.0055	67.0000	66.6086	4.7245	10.2548	4.4177	9.3255	2.3569	2.7518	9.6187	9.7230	2.5228	0.0002	0.0000	0.0000	0.3059	0.0000	1.0064	0.3016	0.0126	0.1361
17	-1.8000	-1.6000	79.6500	79.0000	56.9561	5.6037	13.1808	3.9094	9.3202	1.1501	1.3485	9.3909	9.4172	0.5938	0.0009	0.0000	0.0000	0.1918	0.0000	0.7508	0.2072	0.0003	0.9090
18	-1.6000	-1.4000	74.9835	78.0000	55.5118	5.3381	10.8833	3.2503	10.2728	4.8156	4.0716	11.3455	11.0502	4.7194	0.0002	0.0000	0.0000	0.2099	0.0000	0.8970	0.2375	0.0652	1.9624
19	-1.4000	-1.2000	62.0969	62.0000	43.3315	4.9068	11.0008	2.8578	10.4992	5.7926	3.2524	11.9911	10.9914	5.6806	0.0003	0.0000	0.0000	0.3612	0.0000	1.0117	0.3609	0.0020	0.0066
20	-1.2000	-1.0000	64.5586	48.0000	45.4214	5.1680	10.7825	3.1867	10.2446	1.1610	1.8957	10.3102	10.4185	0.6897	0.0007	0.0000	0.0000	0.3708	0.0000	1.0252	0.3971	0.0003	1.3334
21	-1.0000	-0.8000	57.7234	47.0000	39.9178	4.6797	9.9224	3.2035	11.1464	3.6334	4.3368	11.7236	11.9603	4.2264	0.0015	0.0000	0.0000	0.2662	0.0000	0.8932	0.2470	0.0005	0.1459
22	-0.8000	-0.6000	46.7040	44.0000	38.0517	4.3776	2.1609	2.1138	19.2601	5.9392	5.0839	20.1550	19.9197	5.7613	0.0003	0.0000	0.0000	0.5099	0.0000	1.2498	0.5066	0.0085	0.0587
23	-0.6000	-0.4000	47.0079	32.0000	33.2578	3.8995	7.4086	2.4420	12.7258	1.1753	3.0180	12.7800	13.0788	0.9769	0.0000	0.0000	0.0000	0.2711	0.0000	0.9657	0.2918	2.6568	0.1680
24	-0.4000	-0.2000	55.4585	27.0000	27.1293	4.1927	22.2735	1.8630	27.2186	18.6732	13.7499	33.0081	30.4944	18.5695	0.0005	0.0000	0.0000	0.1616	0.0000	0.6124	0.1726	2.2497	4.2814
