Bin	BinLow	BinHigh	MC_Total	Data	DYJets	TT	Nonprompt	Others	Stat_pct	SystUp_pct	SystDn_pct	TotalUp_pct	TotalDn_pct	Pileup_pct	ElectronID_pct	ElectronReco_pct	ElectronTrig_pct	MuonID_pct	MuonReco_pct	MuonTrig_pct	MuonIso_pct	JER_pct	JES_pct
2	-2.4000	-2.3000	177.4823	261.0000	170.2529	4.2315	0.2756	2.7222	7.0462	4.8139	6.3239	8.5336	9.4679	0.2546	0.0000	0.0000	0.0000	0.7489	0.0000	0.7410	0.6355	0.2853	6.2038
3	-2.3000	-2.2000	219.0309	323.0000	210.6202	4.6227	0.6214	3.1666	6.5566	5.0887	3.2656	8.2996	7.3248	1.1308	0.0000	0.0000	0.0000	0.7957	0.0000	0.8405	0.6608	0.2595	4.7791
4	-2.2000	-2.1000	233.3535	367.0000	221.7901	7.0057	0.7083	3.8494	6.2869	3.5799	9.2769	7.2347	11.2065	1.8467	0.0000	0.0000	0.0000	0.7324	0.0000	0.7833	0.6259	1.0862	8.9709
5	-2.1000	-2.0000	246.8873	433.0000	235.5620	7.0020	0.3972	3.9261	6.1205	3.2193	3.3901	6.9155	6.9967	1.3282	0.0000	0.0000	0.0000	0.2478	0.0000	0.8705	0.2732	0.6474	3.1904
6	-2.0000	-1.9000	287.8178	382.0000	273.1449	9.1703	0.5450	4.9576	5.6361	5.1024	6.4821	7.6026	8.5897	0.2216	0.0000	0.0000	0.0000	0.1881	0.0000	0.8399	0.2516	1.1607	6.4066
7	-1.9000	-1.8000	331.2276	474.0000	313.4339	10.6695	0.9186	6.2056	5.3335	3.6758	3.9716	6.4775	6.6498	0.1579	0.0000	0.0000	0.0000	0.2200	0.0000	0.8377	0.2644	0.1745	3.8630
8	-1.8000	-1.7000	349.2144	477.0000	326.0880	11.5978	6.4433	5.0852	5.3365	4.6562	4.8283	7.0822	7.1966	1.3588	0.0000	0.0000	0.0000	0.2314	0.0000	0.9172	0.2899	0.4273	4.5852
9	-1.7000	-1.6000	360.5141	566.0000	338.3749	12.7987	1.0931	8.2474	5.0539	3.3377	7.4852	6.0566	9.0317	1.0343	0.0000	0.0000	0.0000	0.2152	0.0000	0.8765	0.2678	0.2266	7.4228
10	-1.6000	-1.5000	383.3104	576.0000	359.4605	15.3496	1.5612	6.9392	4.8475	6.5512	3.9506	8.1497	6.2534	1.4243	0.0000	0.0000	0.0000	0.2117	0.0000	0.8956	0.2715	0.6271	6.3689
11	-1.5000	-1.4000	355.6204	595.0000	328.5089	18.3557	1.9596	6.7961	4.9942	4.8708	5.2382	6.9761	7.2374	1.1516	0.0000	0.0000	0.0000	0.1900	0.0000	0.8494	0.2501	0.6959	4.9814
12	-1.4000	-1.3000	399.0893	583.0000	371.2587	19.3371	1.4597	7.0338	4.7904	3.9598	6.8685	6.2151	8.3740	0.6325	0.0000	0.0000	0.0000	0.2063	0.0000	0.8838	0.2620	1.2710	6.6840
13	-1.3000	-1.2000	378.2101	596.0000	346.7098	21.2382	1.7800	8.4821	4.8141	5.4458	6.3094	7.2686	7.9363	1.2943	0.0000	0.0000	0.0000	0.1770	0.0000	0.7983	0.2290	0.3515	6.1157
14	-1.2000	-1.1000	395.9777	594.0000	363.9152	22.8214	1.1832	8.0579	4.9019	4.2843	3.5104	6.5103	6.0292	1.7894	0.0000	0.0000	0.0000	0.3151	0.0000	0.7539	0.3516	0.1870	3.7886
15	-1.1000	-1.0000	357.7509	563.0000	324.3990	23.3485	1.4539	8.5494	4.8464	8.2850	4.4998	9.5984	6.6133	0.1192	0.0000	0.0000	0.0000	0.2407	0.0000	0.6633	0.2916	0.3081	8.2440
16	-1.0000	-0.9000	409.6224	554.0000	374.6832	24.7097	1.4291	8.8004	4.6107	5.6371	4.7695	7.2826	6.6338	1.7637	0.0000	0.0000	0.0000	0.3048	0.0000	0.7206	0.3467	0.4633	5.2649
17	-0.9000	-0.8000	357.4317	500.0000	320.2822	26.7429	1.7769	8.6297	4.8496	6.8652	5.9680	8.4053	7.6900	1.3547	0.0000	0.0000	0.0000	0.1423	0.0000	0.4349	0.2037	0.1067	6.7116
18	-0.8000	-0.7000	389.6462	535.0000	352.6404	28.6880	0.8993	7.4186	4.7169	4.5710	6.0925	6.5684	7.7050	0.9456	0.0000	0.0000	0.0000	0.1459	0.0000	0.4310	0.2080	0.8024	5.9440
19	-0.7000	-0.6000	379.5056	531.0000	339.2466	28.8219	1.8034	9.6337	4.6690	4.9470	6.6870	6.8024	8.1557	1.4150	0.0000	0.0000	0.0000	0.1643	0.0000	0.4387	0.2184	1.3487	6.3740
20	-0.6000	-0.5000	386.5918	481.0000	344.7231	30.7749	1.8731	9.2205	4.6589	7.7722	6.2592	9.0616	7.8028	1.7626	0.0000	0.0000	0.0000	0.1496	0.0000	0.4098	0.2088	0.3502	7.6884
21	-0.5000	-0.4000	375.9612	492.0000	334.2831	29.1481	1.8558	10.6741	4.7524	6.2402	6.0024	7.8438	7.6560	0.8927	0.0000	0.0000	0.0000	0.1506	0.0000	0.4103	0.2098	0.3649	6.1638
22	-0.4000	-0.3000	352.1592	511.0000	310.9169	29.4076	1.4873	10.3473	4.8397	7.0160	6.0688	8.5234	7.7623	0.7873	0.0000	0.0000	0.0000	0.1439	0.0000	0.3887	0.2023	0.4992	6.9385
23	-0.3000	-0.2000	278.4310	432.0000	240.4537	27.9258	1.6583	8.3931	5.2342	7.8619	8.2685	9.4449	9.7860	1.4044	0.0000	0.0000	0.0000	0.1546	0.0000	0.4098	0.2120	0.4913	8.2025
24	-0.2000	-0.1000	354.9015	492.0000	313.2571	29.4443	2.0031	10.1970	4.8302	7.3726	5.9904	8.8140	7.6952	0.4951	0.0000	0.0000	0.0000	0.1435	0.0000	0.3852	0.2033	0.3524	7.3416
25	-0.1000	0.0000	360.0376	486.0000	319.1410	29.2409	1.1320	10.5237	4.8155	5.5422	5.8688	7.3420	7.5915	1.0116	0.0000	0.0000	0.0000	0.1533	0.0000	0.4060	0.2132	0.3968	5.8019
26	0.0000	0.1000	335.6885	521.0000	293.4146	31.4353	1.3595	9.4792	4.8898	7.4271	9.3166	8.8923	10.5219	1.1153	0.0000	0.0000	0.0000	0.1696	0.0000	0.4159	0.2236	0.7907	9.2022
27	0.1000	0.2000	381.2990	469.0000	336.6861	31.8496	1.6602	11.1031	4.6411	6.8507	7.2320	8.2748	8.5931	0.8171	0.0000	0.0000	0.0000	0.1533	0.0000	0.3912	0.2116	0.0978	7.1697
28	0.2000	0.3000	295.2294	423.0000	255.3435	28.7123	1.4648	9.7088	5.2164	5.9840	4.8794	7.9385	7.1428	1.9850	0.0000	0.0000	0.0000	0.1392	0.0000	0.3738	0.1995	0.3067	5.6276
29	0.3000	0.4000	351.0373	478.0000	307.1233	30.1698	2.0508	11.6935	4.8621	5.8010	4.6713	7.5692	6.7425	1.0414	0.0000	0.0000	0.0000	0.1492	0.0000	0.4030	0.2097	0.9128	5.6610
30	0.4000	0.5000	327.7914	505.0000	284.4914	30.1291	1.5985	11.5724	4.8952	6.4811	7.3811	8.1220	8.8569	2.1651	0.0000	0.0000	0.0000	0.1512	0.0000	0.3946	0.2064	1.0609	7.0787
31	0.5000	0.6000	338.2724	540.0000	299.3442	28.6417	1.3678	8.9187	4.9512	7.1539	9.5475	8.7001	10.7550	2.3101	0.0000	0.0000	0.0000	0.1475	0.0000	0.4016	0.2065	0.8950	9.3091
32	0.6000	0.7000	387.0891	541.0000	347.1240	28.8544	1.3687	9.7420	4.6875	6.0430	7.6392	7.6479	8.9627	0.7014	0.0000	0.0000	0.0000	0.1518	0.0000	0.4189	0.2086	0.3245	7.5922
33	0.7000	0.8000	393.4944	541.0000	353.8163	28.5731	1.7009	9.4041	4.6636	6.7762	8.4341	8.2259	9.6375	1.4605	0.0000	0.0000	0.0000	0.1389	0.0000	0.4229	0.2007	0.7469	8.2923
34	0.8000	0.9000	356.6260	520.0000	319.8285	25.9057	1.6713	9.2205	4.8738	6.3651	5.6297	8.0167	7.4463	1.9632	0.0000	0.0000	0.0000	0.1559	0.0000	0.4564	0.2132	0.3057	6.0243
35	0.9000	1.0000	403.1731	529.0000	367.7299	25.5614	1.0363	8.8454	4.6525	5.6122	6.5231	7.2899	8.0122	0.7437	0.0000	0.0000	0.0000	0.2840	0.0000	0.7097	0.3337	0.1563	6.4251
36	1.0000	1.1000	385.5410	534.0000	352.5690	22.8344	1.5118	8.6257	4.7356	6.9806	6.1521	8.4353	7.7637	0.2246	0.0000	0.0000	0.0000	0.2414	0.0000	0.6826	0.2927	1.0604	6.8516
37	1.1000	1.2000	360.1677	571.0000	328.6254	22.6746	1.0764	7.7912	4.9050	7.5968	4.2863	9.0427	6.5139	0.8630	0.0000	0.0000	0.0000	0.2546	0.0000	0.6747	0.3039	0.7537	7.5187
38	1.2000	1.3000	409.5928	591.0000	379.5809	20.2416	1.0961	8.6741	4.6577	4.8683	4.7659	6.7375	6.6640	0.7988	0.0000	0.0000	0.0000	0.1932	0.0000	0.8986	0.2615	0.4395	4.6993
39	1.3000	1.4000	395.8531	635.0000	365.7317	20.1857	1.3405	8.5952	4.7538	4.9693	8.5940	6.8769	9.8211	1.7788	0.0000	0.0000	0.0000	0.1805	0.0000	0.8591	0.2370	0.7749	8.3229
40	1.4000	1.5000	348.6918	597.0000	322.4580	17.0123	1.3159	7.9057	5.0870	4.3047	5.8135	6.6639	7.7249	0.4607	0.0000	0.0000	0.0000	0.1904	0.0000	0.8555	0.2471	1.2744	5.5801
41	1.5000	1.6000	342.2821	553.0000	317.9432	16.1565	1.7003	6.4821	5.1591	5.5148	6.2091	7.5518	8.0727	2.9794	0.0000	0.0000	0.0000	0.2075	0.0000	0.8516	0.2694	0.4322	5.5504
42	1.6000	1.7000	316.0534	483.0000	294.9387	13.8578	1.0821	6.1748	5.2662	4.5514	7.1303	6.9605	8.8642	1.0746	0.0000	0.0000	0.0000	0.1996	0.0000	0.8237	0.2543	0.5679	7.0423
43	1.7000	1.8000	306.8594	473.0000	289.3310	11.2543	0.7504	5.5236	5.3954	7.9540	5.3795	9.6113	7.6190	1.0924	0.0000	0.0000	0.0000	0.1790	0.0000	0.8700	0.2471	0.6777	7.8672
44	1.8000	1.9000	303.1861	484.0000	286.2320	11.0632	1.0435	4.8475	5.5515	6.1701	4.8650	8.3000	7.3816	2.9261	0.0000	0.0000	0.0000	0.1767	0.0000	0.8645	0.2503	0.0590	5.3541
